"file","n_before","n_after_cleaning","n_removed_mass_or_isotopologue"
"RC2_0034_ICR-1_p08.corems.csv",9811,4132,5679
"RC2_0034_ICR-2_p08.corems.csv",11221,4608,6613
"RC2_0034_ICR-3_p08.corems.csv",11235,4649,6586
"RC2_0035_ICR-1_p08.corems.csv",11331,4672,6659
"RC2_0035_ICR-2_p08.corems.csv",10657,4404,6253
"RC2_0035_ICR-3_p08.corems.csv",11643,4849,6794
"RC2_0036_ICR-1_p08.corems.csv",11019,4586,6433
"RC2_0036_ICR-2_p08.corems.csv",11373,4693,6680
"RC2_0036_ICR-3_p08.corems.csv",9619,4118,5501
"RC2_0037_ICR-1_p08.corems.csv",12617,4821,7796
"RC2_0037_ICR-2_p08.corems.csv",11685,4560,7125
"RC2_0037_ICR-3_p08.corems.csv",11779,4554,7225
"RC2_0038_ICR-1_p08.corems.csv",11675,4606,7069
"RC2_0038_ICR-2_p08.corems.csv",10469,4116,6353
"RC2_0038_ICR-3_p08.corems.csv",11750,4386,7364
"RC2_0039_ICR-1_p08.corems.csv",11456,4710,6746
"RC2_0039_ICR-2_p08.corems.csv",10495,4254,6241
"RC2_0039_ICR-3_p08.corems.csv",12430,4852,7578
"RC2_0040_ICR-1_p08.corems.csv",10683,4385,6298
"RC2_0040_ICR-2_p08.corems.csv",10103,4196,5907
"RC2_0040_ICR-3_p08.corems.csv",11908,4683,7225
"RC2_0041_ICR-1_p08.corems.csv",11423,4692,6731
"RC2_0041_ICR-2_p08.corems.csv",11183,4606,6577
"RC2_0041_ICR-3_p08.corems.csv",9139,3847,5292
"RC2_0042_ICR-1_p08.corems.csv",9575,4177,5398
"RC2_0042_ICR-2_p08.corems.csv",11001,4610,6391
"RC2_0042_ICR-3_p08.corems.csv",9398,3991,5407
"RC2_0043_ICR-1_p08.corems.csv",9787,4031,5756
"RC2_0043_ICR-2_p08.corems.csv",9851,3950,5901
"RC2_0043_ICR-3_p08.corems.csv",7925,3245,4680
"RC2_0044_ICR-1_p08.corems.csv",10454,4206,6248
"RC2_0044_ICR-2_p08.corems.csv",7555,3177,4378
"RC2_0044_ICR-3_p08.corems.csv",10413,4207,6206
"RC2_0045_ICR-1_p08.corems.csv",11130,4587,6543
"RC2_0045_ICR-2_p08.corems.csv",11553,4703,6850
"RC2_0045_ICR-3_p08.corems.csv",10871,4283,6588
"RC2_0046_ICR-1_p08.corems.csv",10832,4595,6237
"RC2_0046_ICR-2_p08.corems.csv",10356,4367,5989
"RC2_0046_ICR-3_p08.corems.csv",11017,4697,6320
"RC2_0048_ICR-1_p08.corems.csv",10519,4595,5924
"RC2_0048_ICR-2_p08.corems.csv",9832,4217,5615
"RC2_0048_ICR-3_p08.corems.csv",10910,4794,6116
"RC2_0049_ICR-1_p08.corems.csv",9754,4266,5488
"RC2_0049_ICR-2_p08.corems.csv",10579,4549,6030
"RC2_0049_ICR-3_p08.corems.csv",10831,4789,6042
"RC2_0050_ICR-1_p08.corems.csv",10909,4370,6539
"RC2_0050_ICR-2_p08.corems.csv",11004,4479,6525
"RC2_0050_ICR-3_p08.corems.csv",11153,4596,6557
"RC2_0051_ICR-1_p08.corems.csv",11242,4508,6734
"RC2_0051_ICR-2_p08.corems.csv",9808,4124,5684
"RC2_0051_ICR-3_p08.corems.csv",11424,4746,6678
"RC2_0052_ICR-1_p08.corems.csv",11557,4657,6900
"RC2_0052_ICR-2_p08.corems.csv",11237,4601,6636
"RC2_0052_ICR-3_p08.corems.csv",9744,3936,5808
"RC2_0053_ICR-1_p08.corems.csv",11180,4677,6503
"RC2_0053_ICR-2_p08.corems.csv",10937,4694,6243
"RC2_0053_ICR-3_p08.corems.csv",9757,4135,5622
"RC2_0054_ICR-1_p08.corems.csv",10043,4354,5689
"RC2_0054_ICR-2_p08.corems.csv",11469,4841,6628
"RC2_0054_ICR-3_p08.corems.csv",10853,4782,6071
"RC2_0055_ICR-1_p08.corems.csv",10269,4202,6067
"RC2_0055_ICR-2_p08.corems.csv",11428,4781,6647
"RC2_0055_ICR-3_p08.corems.csv",11881,4904,6977
"RC2_0056_ICR-1_p08.corems.csv",11994,4681,7313
"RC2_0056_ICR-2_p08.corems.csv",10327,4154,6173
"RC2_0056_ICR-3_p08.corems.csv",10711,4299,6412
"RC2_0057_ICR-1_p08.corems.csv",10359,4066,6293
"RC2_0057_ICR-2_p08.corems.csv",10956,4446,6510
"RC2_0057_ICR-3_p08.corems.csv",11280,4485,6795
"RC2_0058_ICR-1_p08.corems.csv",11320,4751,6569
"RC2_0058_ICR-2_p08.corems.csv",9875,4232,5643
"RC2_0058_ICR-3_p08.corems.csv",10191,4256,5935
"RC2_0059_ICR-1_p08.corems.csv",10669,4656,6013
"RC2_0059_ICR-2_p08.corems.csv",10876,4803,6073
"RC2_0059_ICR-3_p08.corems.csv",9471,4211,5260
"RC2_0060_ICR-1_p08.corems.csv",10729,4706,6023
"RC2_0060_ICR-2_p08.corems.csv",10941,4767,6174
"RC2_0060_ICR-3_p08.corems.csv",11188,4880,6308
"RC2_0061_ICR-1_p08.corems.csv",9853,4056,5797
"RC2_0061_ICR-2_p08.corems.csv",9567,3853,5714
"RC2_0061_ICR-3_p08.corems.csv",9471,3951,5520
"RC2_0062_ICR-1_p08.corems.csv",9987,4075,5912
"RC2_0062_ICR-2_p08.corems.csv",11394,4650,6744
"RC2_0062_ICR-3_p08.corems.csv",10620,4262,6358
"RC2_0063_ICR-1_p08.corems.csv",10741,4303,6438
"RC2_0063_ICR-2_p08.corems.csv",11349,4606,6743
"RC2_0063_ICR-3_p08.corems.csv",10772,4356,6416
"RC2_0064_ICR-1_p08.corems.csv",10720,4467,6253
"RC2_0064_ICR-2_p08.corems.csv",10050,4238,5812
"RC2_0064_ICR-3_p08.corems.csv",10927,4565,6362
"RC2_0065_ICR-1_p08.corems.csv",10011,4572,5439
"RC2_0065_ICR-2_p08.corems.csv",10136,4686,5450
"RC2_0065_ICR-3_p08.corems.csv",9924,4486,5438
"RC2_0066_ICR-1_p08.corems.csv",10223,4664,5559
"RC2_0066_ICR-2_p08.corems.csv",10268,4663,5605
"RC2_0066_ICR-3_p08.corems.csv",9776,4415,5361
"RC2_0067_ICR-1_p08.corems.csv",9618,3923,5695
"RC2_0067_ICR-2_p08.corems.csv",7136,2874,4262
"RC2_0067_ICR-3_p08.corems.csv",7046,2813,4233
"RC2_0068_ICR-1_p08.corems.csv",10482,4213,6269
"RC2_0068_ICR-2_p08.corems.csv",10168,4088,6080
"RC2_0068_ICR-3_p08.corems.csv",10979,4388,6591
"RC2_0069_ICR-1_p08.corems.csv",11518,4711,6807
"RC2_0069_ICR-2_p08.corems.csv",10198,4110,6088
"RC2_0069_ICR-3_p08.corems.csv",11786,4662,7124
"RC2_0070_ICR-1_p08.corems.csv",11191,4658,6533
"RC2_0070_ICR-2_p08.corems.csv",6770,2782,3988
"RC2_0070_ICR-3_p08.corems.csv",11090,4648,6442
"RC2_0071_ICR-1_p08.corems.csv",10370,4820,5550
"RC2_0071_ICR-2_p08.corems.csv",10069,4607,5462
"RC2_0071_ICR-3_p08.corems.csv",9315,4297,5018
"RC2_0072_ICR-1_p08.corems.csv",9925,4493,5432
"RC2_0072_ICR-2_p08.corems.csv",8279,3731,4548
"RC2_0072_ICR-3_p08.corems.csv",10708,4751,5957
"RC2_0073_ICR-1_p08.corems.csv",9851,4426,5425
"RC2_0073_ICR-2_p08.corems.csv",10270,4777,5493
"RC2_0073_ICR-3_p08.corems.csv",9809,4345,5464
"RC2_0074_ICR-1_p08.corems.csv",10287,4737,5550
"RC2_0074_ICR-2_p08.corems.csv",9589,4356,5233
"RC2_0074_ICR-3_p08.corems.csv",9367,4243,5124
"RC2_0075_ICR-1_p08.corems.csv",10344,4315,6029
"RC2_0075_ICR-2_p08.corems.csv",11086,4594,6492
"RC2_0075_ICR-3_p08.corems.csv",9869,4097,5772
"RC2_0076_ICR-1_p08.corems.csv",11291,4502,6789
"RC2_0076_ICR-2_p08.corems.csv",11316,4601,6715
"RC2_0076_ICR-3_p08.corems.csv",11302,4420,6882
"RC2_0077_ICR-1_p08.corems.csv",10817,4359,6458
"RC2_0077_ICR-2_p08.corems.csv",11779,4746,7033
"RC2_0077_ICR-3_p08.corems.csv",10786,4322,6464
"RC2_0078_ICR-1_p08.corems.csv",9472,3866,5606
"RC2_0078_ICR-2_p08.corems.csv",9208,3662,5546
"RC2_0078_ICR-3_p08.corems.csv",8328,3306,5022
"RC2_0079_ICR-1_p08.corems.csv",8942,3676,5266
"RC2_0079_ICR-2_p08.corems.csv",9092,3690,5402
"RC2_0079_ICR-3_p08.corems.csv",8758,3564,5194
"RC2_0080_ICR-1_p08.corems.csv",10540,4315,6225
"RC2_0080_ICR-2_p08.corems.csv",8695,3552,5143
"RC2_0080_ICR-3_p08.corems.csv",10667,4337,6330
"RC2_0081_ICR-1_p08.corems.csv",10957,4416,6541
