Parent_ID,Site_ID,stream_order,basin_area_km2,basin_area_log10,n_reps,mean_richness,se_richness,mean_normalized_transformations,se_normalized_transformations
RC2_0098,T02,7,13461.462,4.129092229579795,3,4349.333333333333,33.19805884552757,6.742170667250937,0.14505429764948277
RC2_0099,T03,7,8977.068899999998,3.953134558454579,3,4384.666666666667,88.66854634599076,7.209227831948105,0.3245569426812521
RC2_0100,T42,6,2465.9001000000003,3.391975478221769,3,4381.333333333333,204.05582024969976,6.879106457918062,0.3045268610559706
RC2_0101,T06,3,206.20349999999996,2.314296032517752,3,3145,31,7.638794862222942,1.241530128863938
RC2_0103,T42,6,2465.9001000000003,3.391975478221769,3,4122.333333333333,163.43228295263793,7.763444197024103,0.6654055076732969
RC2_0104,T03,7,8977.068899999998,3.953134558454579,3,3850,141.02954773143583,7.5017869350779645,0.31601603900372593
RC2_0105,T02,7,13461.462,4.129092229579795,3,4344.333333333333,15.709162223930905,6.42832610631321,0.05780018430027706
RC2_0106,T07,7,14144.724900000001,4.1505945053049365,3,4232.666666666667,30.55232306133929,7.296995344032414,0.26627718845386805
RC2_0107,T06,3,206.20349999999996,2.314296032517752,3,3106.6666666666665,78.31631020703442,6.23020929909638,1.1528561999728768
RC2_0108,T05P,4,383.86440000000005,2.584177837044565,3,4196,47.46577714522328,6.38350419033329,0.15970769418188932
RC2_0109,T42,6,2465.9001000000003,3.391975478221769,3,4329.333333333333,189.03644563358088,7.2195964154648,0.2597846992017267
RC2_0110,T03,7,8977.068899999998,3.953134558454579,3,4093.6666666666665,179.95585878517855,7.048276233334386,0.3851635534610074
RC2_0111,T02,7,13461.462,4.129092229579795,3,3842.3333333333335,71.88030173683038,7.464609148548962,0.18788645532939297
RC2_0112,T07,7,14144.724900000001,4.1505945053049365,3,4048,176.78235206037962,7.073867393821632,0.5072582294301299
RC2_0113,T06,3,206.20349999999996,2.314296032517752,3,3279.3333333333335,94.43928090459912,7.23046458520123,0.8272624341829022
RC2_0114,T05P,4,383.86440000000005,2.584177837044565,3,3514.3333333333335,202.84997192780457,7.636583359553495,0.3699577061821235
RC2_0115,T42,6,2465.9001000000003,3.391975478221769,3,3792,257.3719746462954,8.073682503474254,0.48852878053702753
RC2_0116,T03,7,8977.068899999998,3.953134558454579,3,3751,21.779194965226182,7.322396935914433,0.5613782634270955
RC2_0117,T02,7,13461.462,4.129092229579795,3,4270.333333333333,80.63566897540511,7.003172229902707,0.12157399550361017
RC2_0118,T07,7,14144.724900000001,4.1505945053049365,3,3709.3333333333335,19.91928155777155,7.816519284448357,0.22885433862218385
RC2_0119,T06,3,206.20349999999996,2.314296032517752,3,3309,87.42997197757758,7.7379833426721545,0.06850930890693102
RC2_0120,T05P,4,383.86440000000005,2.584177837044565,3,3901.6666666666665,362.20359529475195,6.8520224383261095,0.4475820511159965
RC2_0121,T42,6,2465.9001000000003,3.391975478221769,3,4100.333333333333,230.10818711592552,7.3661753535443255,0.41211189065274384
RC2_0122,T03,7,8977.068899999998,3.953134558454579,3,4330,94.32567695666611,6.846031217017932,0.2899190732167244
RC2_0123,T02,7,13461.462,4.129092229579795,3,4111.333333333333,212.27052969684178,6.686036760045143,0.5117520493320388
RC2_0124,T07,7,14144.724900000001,4.1505945053049365,3,4096.666666666667,306.1793229102478,6.7673651519664055,0.7063394497711196
RC2_0125,T06,3,206.20349999999996,2.314296032517752,3,3550,46.918368826434424,7.740681149262015,0.2134526845678288
RC2_0126,T05P,4,383.86440000000005,2.584177837044565,2,3637,145.99999999999997,5.981473261594162,1.2183681341235229
RC2_0127,T42,6,2465.9001000000003,3.391975478221769,3,4010.6666666666665,366.6480298293962,7.272928070728583,1.0545344827379797
RC2_0128,T03,7,8977.068899999998,3.953134558454579,3,4053.6666666666665,182.91831813984928,7.3578459351854555,0.4517708358887958
RC2_0129,T02,7,13461.462,4.129092229579795,3,3852,63.68935023481817,6.806555174023041,0.9078673803465284
