Sample_ID,Parent_ID,your_site_4digit,replicate
RC2_0068_ICR-3,RC2_0068,0068,3
RC2_0069_ICR-1,RC2_0069,0069,1
RC2_0069_ICR-2,RC2_0069,0069,2
RC2_0069_ICR-3,RC2_0069,0069,3
RC2_0070_ICR-1,RC2_0070,0070,1
RC2_0070_ICR-2,RC2_0070,0070,2
RC2_0070_ICR-3,RC2_0070,0070,3
RC2_0071_ICR-1,RC2_0071,0071,1
RC2_0071_ICR-2,RC2_0071,0071,2
RC2_0071_ICR-3,RC2_0071,0071,3
RC2_0072_ICR-1,RC2_0072,0072,1
RC2_0072_ICR-2,RC2_0072,0072,2
RC2_0072_ICR-3,RC2_0072,0072,3
RC2_0073_ICR-1,RC2_0073,0073,1
RC2_0073_ICR-2,RC2_0073,0073,2
RC2_0073_ICR-3,RC2_0073,0073,3
RC2_0074_ICR-1,RC2_0074,0074,1
RC2_0074_ICR-2,RC2_0074,0074,2
RC2_0074_ICR-3,RC2_0074,0074,3
RC2_0075_ICR-1,RC2_0075,0075,1
RC2_0075_ICR-2,RC2_0075,0075,2
RC2_0075_ICR-3,RC2_0075,0075,3
RC2_0076_ICR-1,RC2_0076,0076,1
RC2_0076_ICR-2,RC2_0076,0076,2
RC2_0076_ICR-3,RC2_0076,0076,3
RC2_0077_ICR-1,RC2_0077,0077,1
RC2_0077_ICR-2,RC2_0077,0077,2
RC2_0077_ICR-3,RC2_0077,0077,3
RC2_0078_ICR-1,RC2_0078,0078,1
RC2_0078_ICR-2,RC2_0078,0078,2
RC2_0078_ICR-3,RC2_0078,0078,3
RC2_0079_ICR-1,RC2_0079,0079,1
RC2_0079_ICR-2,RC2_0079,0079,2
RC2_0079_ICR-3,RC2_0079,0079,3
RC2_0080_ICR-1,RC2_0080,0080,1
RC2_0080_ICR-2,RC2_0080,0080,2
RC2_0080_ICR-3,RC2_0080,0080,3
RC2_0081_ICR-1,RC2_0081,0081,1
RC2_0081_ICR-2,RC2_0081,0081,2
RC2_0081_ICR-3,RC2_0081,0081,3
RC2_0082_ICR-1,RC2_0082,0082,1
RC2_0082_ICR-2,RC2_0082,0082,2
RC2_0082_ICR-3,RC2_0082,0082,3
RC2_0083_ICR-1,RC2_0083,0083,1
RC2_0083_ICR-2,RC2_0083,0083,2
RC2_0083_ICR-3,RC2_0083,0083,3
RC2_0084_ICR-1,RC2_0084,0084,1
