SampleID,Parent_ID,treatment,sample_treat_rep
EC_085_SIR-W4_p05,EC_085,WET,EC_085_W4
EC_085_SIR-W5_p06,EC_085,WET,EC_085_W5
EC_088_SIR-D1_p09,EC_088,DRY,EC_088_D1
EC_088_SIR-D2_p07,EC_088,DRY,EC_088_D2
EC_088_SIR-D3_p05,EC_088,DRY,EC_088_D3
EC_088_SIR-D4_p07,EC_088,DRY,EC_088_D4
EC_088_SIR-D5_p07,EC_088,DRY,EC_088_D5
EC_088_SIR-W1_p1,EC_088,WET,EC_088_W1
EC_088_SIR-W2_p1,EC_088,WET,EC_088_W2
EC_088_SIR-W3_p1,EC_088,WET,EC_088_W3
EC_088_SIR-W4_p11,EC_088,WET,EC_088_W4
EC_088_SIR-W5_p11,EC_088,WET,EC_088_W5
EC_089_SIR-D1_p08,EC_089,DRY,EC_089_D1
EC_089_SIR-D2_p09,EC_089,DRY,EC_089_D2
EC_089_SIR-D3_p09,EC_089,DRY,EC_089_D3
EC_089_SIR-D4_p1,EC_089,DRY,EC_089_D4
EC_089_SIR-D5_p09,EC_089,DRY,EC_089_D5
EC_089_SIR-W1_p1,EC_089,WET,EC_089_W1
EC_089_SIR-W2_p09,EC_089,WET,EC_089_W2
EC_089_SIR-W3_p1,EC_089,WET,EC_089_W3
EC_089_SIR-W4_p09,EC_089,WET,EC_089_W4
EC_089_SIR-W5_p1,EC_089,WET,EC_089_W5
EC_090_SIR-D1_p1,EC_090,DRY,EC_090_D1
EC_090_SIR-D2_p09,EC_090,DRY,EC_090_D2
EC_090_SIR-D3_p09,EC_090,DRY,EC_090_D3
EC_090_SIR-D4_p1,EC_090,DRY,EC_090_D4
EC_090_SIR-D5_p09,EC_090,DRY,EC_090_D5
EC_090_SIR-W1_p09,EC_090,WET,EC_090_W1
EC_090_SIR-W2_p1,EC_090,WET,EC_090_W2
EC_090_SIR-W3_p06,EC_090,WET,EC_090_W3
EC_090_SIR-W4_p05,EC_090,WET,EC_090_W4
EC_090_SIR-W5_p05,EC_090,WET,EC_090_W5
EC_091_SIR-D1_p05,EC_091,DRY,EC_091_D1
EC_091_SIR-D2_p07,EC_091,DRY,EC_091_D2
EC_091_SIR-D3_p08,EC_091,DRY,EC_091_D3
EC_091_SIR-D4_p08,EC_091,DRY,EC_091_D4
EC_091_SIR-D5_p1,EC_091,DRY,EC_091_D5
EC_091_SIR-W1_p11,EC_091,WET,EC_091_W1
EC_091_SIR-W2_p07,EC_091,WET,EC_091_W2
EC_091_SIR-W3_p06,EC_091,WET,EC_091_W3
EC_091_SIR-W4_p06,EC_091,WET,EC_091_W4
EC_091_SIR-W5_p07,EC_091,WET,EC_091_W5
EC_092_SIR-D1_p08,EC_092,DRY,EC_092_D1
EC_092_SIR-D2_p08,EC_092,DRY,EC_092_D2
EC_092_SIR-D3_p1,EC_092,DRY,EC_092_D3
EC_092_SIR-D4_p1,EC_092,DRY,EC_092_D4
EC_092_SIR-D5_p09,EC_092,DRY,EC_092_D5
EC_092_SIR-W1_p1,EC_092,WET,EC_092_W1
EC_092_SIR-W2_p1,EC_092,WET,EC_092_W2
EC_092_SIR-W3_p1,EC_092,WET,EC_092_W3
EC_092_SIR-W4_p11,EC_092,WET,EC_092_W4
EC_092_SIR-W5_p11,EC_092,WET,EC_092_W5
EC_093_SIR-D1_p1,EC_093,DRY,EC_093_D1
EC_093_SIR-D2_p1,EC_093,DRY,EC_093_D2
EC_093_SIR-D3_p08,EC_093,DRY,EC_093_D3
EC_093_SIR-D4_p11,EC_093,DRY,EC_093_D4
EC_093_SIR-D5_p1,EC_093,DRY,EC_093_D5
EC_093_SIR-W1_p09,EC_093,WET,EC_093_W1
EC_093_SIR-W2_p08,EC_093,WET,EC_093_W2
EC_093_SIR-W3_p1,EC_093,WET,EC_093_W3
EC_093_SIR-W4_p1,EC_093,WET,EC_093_W4
EC_093_SIR-W5_p1,EC_093,WET,EC_093_W5
EC_094_SIR-D1_p11,EC_094,DRY,EC_094_D1
EC_094_SIR-D2_p1,EC_094,DRY,EC_094_D2
EC_094_SIR-D3_p11,EC_094,DRY,EC_094_D3
EC_094_SIR-D4_p1,EC_094,DRY,EC_094_D4
EC_094_SIR-D5_p1,EC_094,DRY,EC_094_D5
EC_094_SIR-W1_p05,EC_094,WET,EC_094_W1
EC_094_SIR-W2_p06,EC_094,WET,EC_094_W2
EC_094_SIR-W3_p07,EC_094,WET,EC_094_W3
EC_094_SIR-W4_p07,EC_094,WET,EC_094_W4
EC_094_SIR-W5_p09,EC_094,WET,EC_094_W5
EC_095_SIR-D1_p08,EC_095,DRY,EC_095_D1
EC_095_SIR-D2_p09,EC_095,DRY,EC_095_D2
EC_095_SIR-D3_p08,EC_095,DRY,EC_095_D3
EC_095_SIR-D4_p1,EC_095,DRY,EC_095_D4
EC_095_SIR-D5_p08,EC_095,DRY,EC_095_D5
EC_095_SIR-W1_p1,EC_095,WET,EC_095_W1
EC_095_SIR-W2_p09,EC_095,WET,EC_095_W2
EC_095_SIR-W3_p08,EC_095,WET,EC_095_W3
EC_095_SIR-W4_p08,EC_095,WET,EC_095_W4
EC_095_SIR-W5_p11,EC_095,WET,EC_095_W5
