SampleID,num_peak
RC2_0068_ICR-3,4388
RC2_0069_ICR-1,4711
RC2_0069_ICR-2,4110
RC2_0069_ICR-3,4662
RC2_0070_ICR-1,4658
RC2_0070_ICR-2,2782
RC2_0070_ICR-3,4648
RC2_0071_ICR-1,4820
RC2_0071_ICR-2,4607
RC2_0071_ICR-3,4297
RC2_0072_ICR-1,4493
RC2_0072_ICR-2,3731
RC2_0072_ICR-3,4751
RC2_0073_ICR-1,4426
RC2_0073_ICR-2,4777
RC2_0073_ICR-3,4345
RC2_0074_ICR-1,4737
RC2_0074_ICR-2,4356
RC2_0074_ICR-3,4243
RC2_0075_ICR-1,4315
RC2_0075_ICR-2,4594
RC2_0075_ICR-3,4097
RC2_0076_ICR-1,4502
RC2_0076_ICR-2,4601
RC2_0076_ICR-3,4420
RC2_0077_ICR-1,4359
RC2_0077_ICR-2,4746
RC2_0077_ICR-3,4322
RC2_0078_ICR-1,3866
RC2_0078_ICR-2,3662
RC2_0078_ICR-3,3306
RC2_0079_ICR-1,3676
RC2_0079_ICR-2,3690
RC2_0079_ICR-3,3564
RC2_0080_ICR-1,4315
RC2_0080_ICR-2,3552
RC2_0080_ICR-3,4337
RC2_0081_ICR-1,4416
RC2_0081_ICR-2,3839
RC2_0081_ICR-3,4536
RC2_0082_ICR-1,4884
RC2_0082_ICR-2,4701
RC2_0082_ICR-3,4624
RC2_0083_ICR-1,4817
RC2_0083_ICR-2,4516
RC2_0083_ICR-3,4369
RC2_0084_ICR-1,4304
RC2_0084_ICR-2,5031
RC2_0084_ICR-3,4831
RC2_0085_ICR-1,3586
RC2_0085_ICR-2,3552
RC2_0085_ICR-3,3761
RC2_0086_ICR-1,4186
RC2_0086_ICR-2,4577
RC2_0086_ICR-3,4129
RC2_0087_ICR-1,4612
RC2_0087_ICR-2,4347
RC2_0087_ICR-3,4856
RC2_0088_ICR-1,4276
RC2_0088_ICR-2,4676
RC2_0088_ICR-3,4614
RC2_0089_ICR-1,4742
RC2_0089_ICR-2,4526
RC2_0089_ICR-3,4740
RC2_0090_ICR-1,4497
RC2_0090_ICR-2,4366
RC2_0090_ICR-3,4628
RC2_0091_ICR-1,2827
RC2_0091_ICR-2,2513
RC2_0091_ICR-3,2819
RC2_0092_ICR-1,2967
RC2_0092_ICR-2,3915
RC2_0092_ICR-3,3277
RC2_0093_ICR-1,3867
RC2_0093_ICR-2,4085
RC2_0093_ICR-3,4738
RC2_0094_ICR-1,4354
RC2_0094_ICR-2,4046
RC2_0094_ICR-3,4340
RC2_0095_ICR-1,4108
RC2_0095_ICR-2,4465
RC2_0095_ICR-3,4211
RC2_0096_ICR-1,3641
RC2_0096_ICR-2,4549
RC2_0096_ICR-3,4219
RC2_0097_ICR-1,4247
RC2_0097_ICR-2,4095
RC2_0097_ICR-3,3893
RC2_0098_ICR-1,4349
RC2_0098_ICR-2,4407
RC2_0098_ICR-3,4292
RC2_0099_ICR-1,4541
RC2_0099_ICR-2,4234
RC2_0099_ICR-3,4379
RC2_0100_ICR-1,4789
RC2_0100_ICR-2,4161
RC2_0100_ICR-3,4194
RC2_0101_ICR-1,3099
RC2_0101_ICR-2,3132
RC2_0101_ICR-3,3204
RC2_0103_ICR-1,3900
RC2_0103_ICR-2,4026
RC2_0103_ICR-3,4441
RC2_0104_ICR-1,3896
RC2_0104_ICR-2,3586
RC2_0104_ICR-3,4068
RC2_0105_ICR-1,4313
RC2_0105_ICR-2,4362
RC2_0105_ICR-3,4358
RC2_0106_ICR-1,4184
RC2_0106_ICR-2,4289
RC2_0106_ICR-3,4225
RC2_0107_ICR-1,2962
RC2_0107_ICR-2,3127
RC2_0107_ICR-3,3231
RC2_0108_ICR-1,4133
RC2_0108_ICR-2,4289
RC2_0108_ICR-3,4166
RC2_0109_ICR-1,4271
RC2_0109_ICR-2,4682
RC2_0109_ICR-3,4035
RC2_0110_ICR-1,4285
RC2_0110_ICR-2,3734
RC2_0110_ICR-3,4262
RC2_0111_ICR-1,3802
RC2_0111_ICR-2,3982
RC2_0111_ICR-3,3743
RC2_0112_ICR-1,3702
RC2_0112_ICR-2,4284
RC2_0112_ICR-3,4158
RC2_0113_ICR-1,3285
RC2_0113_ICR-2,3113
RC2_0113_ICR-3,3440
RC2_0114_ICR-1,3920
RC2_0114_ICR-2,3307
RC2_0114_ICR-3,3316
RC2_0115_ICR-1,4272
RC2_0115_ICR-2,3713
RC2_0115_ICR-3,3391
RC2_0116_ICR-1,3740
RC2_0116_ICR-2,3793
RC2_0116_ICR-3,3720
RC2_0117_ICR-1,4156
RC2_0117_ICR-2,4229
RC2_0117_ICR-3,4426
RC2_0118_ICR-1,3709
RC2_0118_ICR-2,3675
RC2_0118_ICR-3,3744
RC2_0119_ICR-1,3333
RC2_0119_ICR-2,3447
RC2_0119_ICR-3,3147
RC2_0120_ICR-1,3846
RC2_0120_ICR-2,3304
RC2_0120_ICR-3,4555
RC2_0121_ICR-1,4141
RC2_0121_ICR-2,4477
RC2_0121_ICR-3,3683
RC2_0122_ICR-1,4148
RC2_0122_ICR-2,4464
RC2_0122_ICR-3,4378
RC2_0123_ICR-1,4312
RC2_0123_ICR-2,4335
RC2_0123_ICR-3,3687
RC2_0124_ICR-1,4542
RC2_0124_ICR-2,3510
RC2_0124_ICR-3,4238
RC2_0125_ICR-1,3640
RC2_0125_ICR-2,3482
RC2_0125_ICR-3,3528
RC2_0126_ICR-1,3783
RC2_0126_ICR-2,3491
RC2_0127_ICR-1,3309
RC2_0127_ICR-2,4546
RC2_0127_ICR-3,4177
RC2_0128_ICR-1,3909
RC2_0128_ICR-2,4417
RC2_0128_ICR-3,3835
RC2_0129_ICR-1,3755
RC2_0129_ICR-2,3829
RC2_0129_ICR-3,3972
RC2_0130_ICR-1,4085
RC2_0130_ICR-2,4154
RC2_0130_ICR-3,4196
RC2_0131_ICR-1,3449
RC2_0131_ICR-2,3824
RC2_0131_ICR-3,3271
RC2_0132_ICR-1,3723
RC2_0132_ICR-2,3293
RC2_0132_ICR-3,4014
RC2_0133_ICR-1,2951
RC2_0133_ICR-2,3996
RC2_0133_ICR-3,3330
RC2_0134_ICR-1,3499
RC2_0134_ICR-2,3770
RC2_0134_ICR-3,4181
RC2_0135_ICR-1,4301
RC2_0135_ICR-2,3753
RC2_0135_ICR-3,4262
RC2_0136_ICR-1,4167
RC2_0136_ICR-2,4121
RC2_0136_ICR-3,4346
RC2_0137_ICR-1,3437
RC2_0137_ICR-2,3615
RC2_0137_ICR-3,4608
RC2_0138_ICR-1,3938
RC2_0138_ICR-2,4176
RC2_0138_ICR-3,4113
RC2_0139_ICR-1,4134
RC2_0139_ICR-2,3701
RC2_0139_ICR-3,4031
RC2_0140_ICR-1,3507
RC2_0140_ICR-2,4137
RC2_0140_ICR-3,4216
RC2_0141_ICR-1,4187
RC2_0141_ICR-2,4308
RC2_0141_ICR-3,4298
RC2_0142_ICR-1,4242
RC2_0142_ICR-2,4281
RC2_0142_ICR-3,3920
RC2_0143_ICR-1,4097
RC2_0143_ICR-2,3914
RC2_0143_ICR-3,4143
RC2_0144_ICR-1,3886
RC2_0144_ICR-2,4342
RC2_0144_ICR-3,4234
RC2_0145_ICR-1,4169
RC2_0145_ICR-2,4401
RC2_0145_ICR-3,3834
RC2_0146_ICR-1,3257
RC2_0146_ICR-2,4352
RC2_0146_ICR-3,4324
RC2_0147_ICR-1,3900
RC2_0147_ICR-2,4531
RC2_0147_ICR-3,3440
RC2_0148_ICR-1,4200
RC2_0148_ICR-2,3491
