"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
240,238.963397,238.963098466808,238.963080565117,3022097,NA,466032.8,21.94,-1,0.0749140447459857,0.998982207571514,0,0.599389324542908,12,0.307692307692308,0.0769230769230769,"S2 O1","de-protonated",0,NA,"C13 H4 O1 S2",13,4,1,NA,NA,2,NA,NA,NA,NA,NA
287,247.061638,247.061296489526,247.061196952488,3064592,NA,505317,21.93,-1,0.402884142560569,0.97097752397675,0,0.58258651438605,8,0.923076923076923,0.384615384615385,"O5","de-protonated",0,NA,"C13 H12 O5",13,12,5,NA,NA,NA,NA,NA,NA,NA,NA
290,247.082779,247.082437377331,247.082326320587,3058969.5,NA,504602.9,21.89,-1,0.449472634024082,0.964006454779668,0,0.578403872867801,3,1.6,0.7,"O7","de-protonated",0,NA,"C10 H16 O7",10,16,7,NA,NA,NA,NA,NA,NA,NA,NA
297,248.020463,248.020116401052,248.020060415296,1246910.4,NA,518508,7.46,-1,0.225730754549737,0.990797005038594,0,0.594478203023156,9,0.636363636363636,0.545454545454545,"N1 O6","de-protonated",0,NA,"C11 H7 O6 N1",11,7,6,1,NA,NA,NA,NA,NA,NA,NA
300,249.040924,249.040571985476,249.040461507581,3567241.8,NA,447426.5,25.93,-1,0.443614237213656,0.964922068780452,0,0.578953241268271,8,0.833333333333333,0.5,"O6","de-protonated",0,NA,"C12 H10 O6",12,10,6,NA,NA,NA,NA,NA,NA,NA,NA
309,250.036177,250.035819703678,250.035710479774,1739850.9,NA,438866.9,11.38,-1,0.436833217753549,0.965967943726091,0,0.579580766235655,8,0.818181818181818,0.545454545454545,"N1 O6","de-protonated",0,NA,"C11 H9 O6 N1",11,9,6,1,NA,NA,NA,NA,NA,NA,NA
310,250.07256,250.072202510594,250.072095989158,1467739.3,NA,415320.8,9.21,-1,0.42596290101175,0.967613211207953,0,0.580567926724772,7,1.08333333333333,0.416666666666667,"N1 O5","de-protonated",0,NA,"C12 H13 O5 N1",12,13,5,1,NA,NA,NA,NA,NA,NA,NA
320,251.092974,251.092611095267,251.092497081443,8098857,NA,453966.7,61.5,-1,0.454071010429807,0.481639987334391,0.875929598413485,0.639355831766029,6,1.23076923076923,0.384615384615385,"O5","de-protonated",0,NA,"C13 H16 O5",13,16,5,NA,NA,NA,NA,NA,NA,NA,NA
326,252.979154,252.97878108533,252.978730629595,4578177,NA,428764,33.69,-1,0.19944654922198,0.992808152139418,0,0.595684891283651,12,0.428571428571429,0.0714285714285714,"S2 O1","de-protonated",0,NA,"C14 H6 O1 S2",14,6,1,NA,NA,2,NA,NA,NA,NA,NA
327,253.035836,253.035462784519,253.035376127153,4994971,NA,401265.3,36.98,-1,0.34247134586185,0.978943349683783,0,0.58736600981027,7,0.909090909090909,0.636363636363636,"O7","de-protonated",0,NA,"C11 H10 O7",11,10,7,NA,NA,NA,NA,NA,NA,NA,NA
