"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
190,221.009678,221.009258574437,221.009161378625,1306326.1,NA,640078.7,8.4,-1,0.43978182183723,0.96551500434429,0,0.579309002606574,8,0.6,0.6,"O6","de-protonated",0,NA,"C10 H6 O6",10,6,6,NA,NA,NA,NA,NA,NA,NA,NA
194,221.095329,221.094909131026,221.094819557016,1254005.9,NA,454677.1,7.97,-1,0.405138440714592,0.970656656209963,0,0.582393993725978,1,2.11111111111111,0.444444444444444,"P1 O4","de-protonated",0,NA,"C9 H19 O4 P1",9,19,4,NA,1,NA,NA,NA,NA,NA,NA
197,222.995789,222.995359292448,222.995439866526,1157692.8,NA,431093.9,7.16,-1,-0.361326125587923,0.976589071335168,0,0.585953442801101,12,0.384615384615385,0.153846153846154,"P1 O2","de-protonated",0,NA,"C13 H5 O2 P1",13,5,2,NA,1,NA,NA,NA,NA,NA,NA
208,227.12944,227.128988892761,227.128882590828,1986538,NA,436166.7,13.96,-1,0.468024728141588,0.961033686621695,0,0.576620211973017,3,1.66666666666667,0.333333333333333,"O4","de-protonated",0,NA,"C12 H20 O4",12,20,4,NA,NA,NA,NA,NA,NA,NA,NA
212,229.145082,229.144620457892,229.144532655306,2606333.5,NA,538600.5,18.96,-1,0.383175567730893,0.973710805163044,0,0.584226483097827,2,1.83333333333333,0.333333333333333,"O4","de-protonated",0,NA,"C12 H22 O4",12,22,4,NA,NA,NA,NA,NA,NA,NA,NA
214,231.087996,231.087524399532,231.087411701015,3640318.5,NA,507091.9,27.46,-1,0.487687823040614,0.957762303724591,0,0.574657382234754,3,1.6,0.6,"O6","de-protonated",0,NA,"C10 H16 O6",10,16,6,NA,NA,NA,NA,NA,NA,NA,NA
216,233.046106,233.045624262503,233.04554688801,1430030.4,NA,516939.3,9.28,-1,0.332014468318411,0.980196964617217,0,0.58811817877033,8,0.833333333333333,0.416666666666667,"O5","de-protonated",0,NA,"C12 H10 O5",12,10,5,NA,NA,NA,NA,NA,NA,NA,NA
217,233.15527,233.154787697367,233.154703416162,3608378.5,NA,475812.3,27.19,-1,0.361481896304267,0.97656912008874,0,0.585941472053244,5,1.46666666666667,0.133333333333333,"O2","de-protonated",0,NA,"C15 H22 O2",15,22,2,NA,NA,NA,NA,NA,NA,NA,NA
220,235.025381,235.024889015904,235.024811443103,1778223.9,NA,559761,12.06,-1,0.330062175025392,0.980426881805951,0,0.58825612908357,8,0.727272727272727,0.545454545454545,"O6","de-protonated",0,NA,"C11 H8 O6",11,8,6,NA,NA,NA,NA,NA,NA,NA,NA
221,235.061798,235.061305827375,235.061196952488,2571838.8,NA,485657.1,18.54,-1,0.46317677584818,0.961821226094719,0,0.577092735656831,7,1,0.416666666666667,"O5","de-protonated",0,NA,"C12 H12 O5",12,12,5,NA,NA,NA,NA,NA,NA,NA,NA
