"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
185,219.030299,219.029991618959,219.029896823532,1604464.5,NA,539025.3,10.82,-1,0.432796748908492,0.966583391150373,0,0.579950034690223,8,0.727272727272727,0.454545454545455,"O5","de-protonated",0,NA,"C11 H8 O5",11,8,5,NA,NA,NA,NA,NA,NA,NA,NA
203,225.077297,225.076958997596,225.076847016966,3643644.8,NA,487365.3,27.29,-1,0.497521767488307,0.956080070259837,0,0.573648042155902,5,1.27272727272727,0.454545454545455,"O5","de-protonated",0,NA,"C11 H14 O5",11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
222,229.14497,229.144611399328,229.144532655306,8948647,NA,449354.3,70.05,-1,0.343643467700097,0.489400254938198,0.884369916155675,0.647388119425189,2,1.83333333333333,0.333333333333333,"O4","de-protonated",0,NA,"C12 H22 O4",12,22,4,NA,NA,NA,NA,NA,NA,NA,NA
229,231.030341,231.029972852007,231.029896823532,1182029.9,NA,497558,7.14,-1,0.329085008075931,0.98054147150715,0,0.58832488290429,9,0.666666666666667,0.416666666666667,"O5","de-protonated",0,NA,"C12 H8 O5",12,8,5,NA,NA,NA,NA,NA,NA,NA,NA
230,231.033701,231.033332834992,231.033268126902,1470927.4,NA,542846,9.48,-1,0.280081268504978,0.985866986114206,0,0.591520191668524,4,1.33333333333333,0.555555555555556,"S1 O5","de-protonated",0,NA,"C9 H12 O5 S1",9,12,5,NA,NA,1,NA,NA,NA,NA,NA
231,231.051499,231.051130744865,231.051026191631,2045655,NA,494703.8,14.13,-1,0.452511447008535,0.963527131387671,0,0.578116278832603,4,1.33333333333333,0.777777777777778,"O7","de-protonated",0,NA,"C9 H12 O7",9,12,7,NA,NA,NA,NA,NA,NA,NA,NA
234,231.087868,231.087499560696,231.087411701015,7489254.5,NA,451397.6,58.23,-1,0.380201069425077,0.974112065171106,0,0.584467239102664,3,1.6,0.6,"O6","de-protonated",0,NA,"C10 H16 O6",10,16,6,NA,NA,NA,NA,NA,NA,NA,NA
235,231.124257,231.123888376426,231.1237972104,4726518.5,NA,459971.9,35.85,-1,0.394446732967379,0.972163499739547,0,0.583298099843728,2,1.81818181818182,0.454545454545455,"O5","de-protonated",0,NA,"C11 H20 O5",11,20,5,NA,NA,NA,NA,NA,NA,NA,NA
236,232.044236,232.043862717749,232.043773240379,2510723.5,NA,472373,17.9,-1,0.385605563084254,0.973380801795533,0,0.58402848107732,8,0.916666666666667,0.166666666666667,"N1 S1 O2","de-protonated",0,NA,"C12 H11 O2 S1 N1",12,11,2,1,NA,1,NA,NA,NA,NA,NA
237,233.045982,233.045603645013,233.04554688801,2353974.8,NA,437588.8,16.62,-1,0.243544680462894,0.98929525850211,0,0.593577155101266,8,0.833333333333333,0.416666666666667,"O5","de-protonated",0,NA,"C12 H10 O5",12,10,5,NA,NA,NA,NA,NA,NA,NA,NA
239,233.067097,233.066718538089,233.066676256109,1575231.9,NA,518997.2,10.32,-1,0.18141580927545,0.994046011683181,0,0.596427607009909,3,1.55555555555556,0.777777777777778,"O7","de-protonated",0,NA,"C9 H14 O7",9,14,7,NA,NA,NA,NA,NA,NA,NA,NA
240,233.082416,233.082037460515,233.081932397394,2201158.5,NA,488827.2,15.39,-1,0.450756177954866,0.963804361491757,0,0.578282616895054,7,1.07692307692308,0.307692307692308,"O4","de-protonated",0,NA,"C13 H14 O4",13,14,4,NA,NA,NA,NA,NA,NA,NA,NA
241,233.103524,233.103145353626,233.103061765493,1562959.8,NA,464859.6,10.22,-1,0.358588738655954,0.97693834083955,0,0.58616300450373,2,1.8,0.6,"O6","de-protonated",0,NA,"C10 H18 O6",10,18,6,NA,NA,NA,NA,NA,NA,NA,NA
242,233.155131,233.154752092294,233.154703416162,4468838,NA,465856.7,33.75,-1,0.208771817906634,0.992122627488086,0,0.595273576492852,5,1.46666666666667,0.133333333333333,"O2","de-protonated",0,NA,"C15 H22 O2",15,22,2,NA,NA,NA,NA,NA,NA,NA,NA
243,235.025316,235.024927621873,235.024811443103,3746713.8,NA,452487.7,27.69,-1,0.49432555403174,0.956630185412545,0,0.573978111247527,8,0.727272727272727,0.545454545454545,"O6","de-protonated",0,NA,"C11 H8 O6",11,8,6,NA,NA,NA,NA,NA,NA,NA,NA
245,235.061696,235.061307437649,235.061196952488,4217769.5,NA,444975.3,31.48,-1,0.470027221864826,0.960706182716626,0,0.576423709629975,7,1,0.416666666666667,"O5","de-protonated",0,NA,"C12 H12 O5",12,12,5,NA,NA,NA,NA,NA,NA,NA,NA
247,235.098064,235.097675253485,235.097582461872,2278073.8,NA,475126.8,15.88,-1,0.394694034514264,0.972129075309146,0,0.583277445185488,6,1.23076923076923,0.307692307692308,"O4","de-protonated",0,NA,"C13 H16 O4",13,16,4,NA,NA,NA,NA,NA,NA,NA,NA
248,236.056879,236.056485398147,236.056445924681,1849185.3,NA,472511.4,12.43,-1,0.167220454675372,0.994939058303408,0,0.596963434982045,7,1,0.454545454545455,"N1 O5","de-protonated",0,NA,"C11 H11 O5 N1",11,11,5,1,NA,NA,NA,NA,NA,NA,NA
250,237.004547,237.004148599256,237.004075998197,1825286,NA,459244.2,12.24,-1,0.306328312523855,0.9831175267366,0,0.58987051604196,8,0.6,0.7,"O7","de-protonated",0,NA,"C10 H6 O7",10,6,7,NA,NA,NA,NA,NA,NA,NA,NA
251,237.040925,237.040526415041,237.040461507581,5845270,NA,437743.6,44.56,-1,0.273824390700578,0.986487143881942,0,0.591892286329165,7,0.909090909090909,0.545454545454545,"O6","de-protonated",0,NA,"C11 H10 O6",11,10,6,NA,NA,NA,NA,NA,NA,NA,NA
252,237.052192,237.051793357986,237.051694896873,1264667.3,NA,548277.3,7.73,-1,0.415357134710212,0.969181082901843,0,0.581508649741106,7,1,0.5,"N2 O5","de-protonated",0,NA,"C10 H10 O5 N2",10,10,5,2,NA,NA,NA,NA,NA,NA,NA
255,237.077312,237.076913230781,237.076847016966,6855974.5,NA,454036.6,52.69,-1,0.279292628366173,0.985945903121404,0,0.591567541872843,6,1.16666666666667,0.416666666666667,"O5","de-protonated",0,NA,"C12 H14 O5",12,14,5,NA,NA,NA,NA,NA,NA,NA,NA
258,237.11374,237.113341046314,237.11323252635,2069814.6,NA,458207.2,14.2,-1,0.457671479103347,0.962706375840073,0,0.577623825504044,5,1.38461538461538,0.307692307692308,"O4","de-protonated",0,NA,"C13 H18 O4",13,18,4,NA,NA,NA,NA,NA,NA,NA,NA
