"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
229,208.098085,208.097877182206,208.097916814493,1236640.1,NA,440945.1,7.94,-1,-0.190450188969723,0.993440234710726,0,0.596064140826436,5,1.36363636363636,0.272727272727273,"N1 O3","de-protonated",0,NA,"C11 H15 O3 N1",11,15,3,1,NA,NA,NA,NA,NA,NA,NA
238,210.041026,210.040813375351,210.040795860203,1410102.4,NA,554306.7,9.39,-1,0.0833892671806468,0.998739043265082,0,0.599243425959049,6,1,0.555555555555556,"N1 O5","de-protonated",0,NA,"C9 H9 O5 N1",9,9,5,1,NA,NA,NA,NA,NA,NA,NA
243,211.025087,211.024871940774,211.024811443103,2015499.1,NA,527561.5,14.39,-1,0.286685107997389,0.985197679255698,0,0.591118607553419,6,0.888888888888889,0.666666666666667,"O6","de-protonated",0,NA,"C9 H8 O6",9,8,6,NA,NA,NA,NA,NA,NA,NA,NA
244,211.061505,211.061289850676,211.061196952488,4332824,NA,507527.1,33.75,-1,0.440148115328849,0.96545853958881,0,0.579275123753286,5,1.2,0.5,"O5","de-protonated",0,NA,"C10 H12 O5",10,12,5,NA,NA,NA,NA,NA,NA,NA,NA
245,211.097837,211.09762176079,211.097582461872,2639140.5,NA,461024.9,19.6,-1,0.186164699668573,0.993731210642477,0,0.596238726385486,4,1.45454545454545,0.363636363636364,"O4","de-protonated",0,NA,"C11 H16 O4",11,16,4,NA,NA,NA,NA,NA,NA,NA,NA
246,211.134262,211.134046670674,211.133967971256,1255473.3,NA,479236.7,8.04,-1,0.372746359425168,0.975104676747631,0,0.585062806048579,3,1.66666666666667,0.25,"O3","de-protonated",0,NA,"C12 H20 O3",12,20,3,NA,NA,NA,NA,NA,NA,NA,NA
253,213.015634,213.015414016141,213.015309387489,1261767,NA,647244.1,8.09,-1,0.491179025768262,0.957168592016168,0,0.574301155209701,6,0.857142857142857,0.857142857142857,"N2 O6","de-protonated",0,NA,"C7 H6 O6 N2",7,6,6,2,NA,NA,NA,NA,NA,NA,NA
254,213.040761,213.040540953977,213.040461507581,1958608,NA,573781.2,13.91,-1,0.372916933833636,0.975082172904352,0,0.585049303742611,5,1.11111111111111,0.666666666666667,"O6","de-protonated",0,NA,"C9 H10 O6",9,10,6,NA,NA,NA,NA,NA,NA,NA,NA
255,213.07711,213.076889864049,213.076847016966,5015005,NA,450600.7,39.44,-1,0.201087467963145,0.992689760850535,0,0.595613856510321,4,1.4,0.5,"O5","de-protonated",0,NA,"C10 H14 O5",10,14,5,NA,NA,NA,NA,NA,NA,NA,NA
256,213.113496,213.11327577403,213.11323252635,1461737.8,NA,577599.1,9.76,-1,0.202932870401872,0.992555474363572,0,0.595533284618143,3,1.63636363636364,0.363636363636364,"O4","de-protonated",0,NA,"C11 H18 O4",11,18,4,NA,NA,NA,NA,NA,NA,NA,NA
