"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
6168,594.315181,594.313383073542,594.313114106336,1966064,NA,194910.4,7.6,-1,0.452568183283223,0.963518153723399,0,0.57811089223404,4,1.81481481481481,0.481481481481481,"N1 O13","de-protonated",0,NA,"C27 H49 O13 N1",27,49,13,1,NA,NA,NA,NA,NA,NA,NA
6171,595.059469,595.05766814594,595.057687264832,2091566.9,NA,190884.9,8.22,-1,-0.0321294754817161,0.999812707482875,0,0.599887624489725,15,0.833333333333333,0.75,"O18","de-protonated",0,NA,"C24 H20 O18",24,20,18,NA,NA,NA,NA,NA,NA,NA,NA
6172,595.074938,595.073137085094,595.072943406117,2172976,NA,171827.8,8.63,-1,0.32547098567523,0.980962441023871,0,0.588577464614322,19,0.714285714285714,0.535714285714286,"O15","de-protonated",0,NA,"C28 H20 O15",28,20,15,NA,NA,NA,NA,NA,NA,NA,NA
6173,595.096059,595.094258002016,595.094072774216,3760690,NA,189161.4,16.53,-1,0.311258015457862,0.982574579361879,0,0.589544747617127,14,0.96,0.68,"O17","de-protonated",0,NA,"C25 H24 O17",25,24,17,NA,NA,NA,NA,NA,NA,NA,NA
6174,595.132521,595.130719858596,595.1304582836,5258805,NA,185335.5,23.99,-1,0.439525471542739,0.482777247585844,0.779247987650237,0.601365543611602,13,1.07692307692308,0.615384615384615,"O16","de-protonated",0,NA,"C26 H28 O16",26,28,16,NA,NA,NA,NA,NA,NA,NA,NA
6176,595.168981,595.167179715183,595.167333050355,5871160,NA,176430.5,27.04,-1,-0.257633716676457,0.494014277169314,0.753652554121787,0.597869587950303,16,1.1,0.233333333333333,"N2 S1 P1 O7","de-protonated",0,NA,"C30 H33 O7 S1 N2 P1",30,33,7,2,1,1,NA,NA,NA,NA,NA
6177,595.197029,595.195227604858,595.194987093891,5177914.5,NA,166102.9,23.58,-1,0.404087688774918,0.485403212800879,0.766236582456902,0.597736560663288,11,1.32142857142857,0.428571428571429,"P1 O12","de-protonated",0,NA,"C28 H37 O12 P1",28,37,12,NA,1,NA,NA,NA,NA,NA,NA
6178,595.205134,595.203332572978,595.203229302369,5187131,NA,181836.6,23.63,-1,0.173504785889488,0.497276288131339,0.766236582456902,0.604860405861564,11,1.28571428571429,0.5,"O14","de-protonated",0,NA,"C28 H36 O14",28,36,14,NA,NA,NA,NA,NA,NA,NA,NA
6179,595.233448,595.231646461606,595.231372603276,5311037.5,NA,168604.5,24.25,-1,0.460087191861868,0.976034488579952,0.970948610181193,0.974000137220449,10,1.41379310344828,0.379310344827586,"P1 O11","de-protonated",0,NA,"C29 H41 O11 P1",29,41,11,NA,1,NA,NA,NA,NA,NA,NA
6180,595.241264,595.239462430863,595.239614811753,4680254,NA,159775.8,21.11,-1,-0.255999242189532,0.494089535994881,0.759892473118277,0.600410710844239,10,1.37931034482759,0.448275862068966,"O13","de-protonated",0,NA,"C29 H40 O13",29,40,13,NA,NA,NA,NA,NA,NA,NA,NA
6181,595.253688,595.251886381994,595.251988907038,2146879,NA,174264.9,8.5,-1,-0.172238054388061,0.994631614381945,0,0.596778968629167,23,0.948717948717949,0.0512820512820513,"N2 P1 O2","de-protonated",0,NA,"C39 H37 O2 N2 P1",39,37,2,2,1,NA,NA,NA,NA,NA,NA
6182,595.269376,595.267574320286,595.267625170879,2287680.3,NA,180377.9,9.2,-1,-0.085424756906205,0.998676774571489,0,0.599206064742893,22,0.975609756097561,0.0487804878048781,"S1 O2","de-protonated",0,NA,"C41 H40 O2 S1",41,40,2,NA,NA,1,NA,NA,NA,NA,NA
6183,595.277759,595.275957287313,595.276000321137,2430017,NA,175163.5,9.91,-1,-0.072292222239219,0.999052168630591,0,0.599431301178354,9,1.46666666666667,0.4,"O12","de-protonated",0,NA,"C30 H44 O12",30,44,12,NA,NA,NA,NA,NA,NA,NA,NA
6184,595.290917,595.289115235557,595.288887480759,2003010.1,NA,188962.9,7.78,-1,0.382595411978034,0.973789300675545,0,0.584273580405327,4,1.81481481481481,0.444444444444444,"P1 O12","de-protonated",0,NA,"C27 H49 O12 P1",27,49,12,NA,1,NA,NA,NA,NA,NA,NA
6186,595.405662,595.403859784215,595.403784293945,2780747.5,NA,189571.4,11.65,-1,0.126788361439642,0.997087409846821,0,0.598252445908093,5,1.76470588235294,0.176470588235294,"S1 O6","de-protonated",0,NA,"C34 H60 O6 S1",34,60,6,NA,NA,1,NA,NA,NA,NA,NA
6187,595.481538,595.479735485763,595.479546493529,10444370,NA,166734.3,49.8,-1,0.317378212471883,0.490944440921091,0.723929522638802,0.584138473608175,3,1.97142857142857,0.0285714285714286,"N2 S1 P1 O1","de-protonated",0,NA,"C35 H69 O1 S1 N2 P1",35,69,1,2,1,1,NA,NA,NA,NA,NA
6188,596.163655,596.161849802706,596.162092765178,1905289.6,NA,192874.6,7.29,-1,-0.407544315534288,0.970312356623012,0,0.582187413973807,12,1.19230769230769,0.576923076923077,"N1 O15","de-protonated",0,NA,"C26 H31 O15 N1",26,31,15,1,NA,NA,NA,NA,NA,NA,NA
6189,596.171769,596.16996377079,596.169976077911,1887882.3,NA,188047.3,7.21,-1,-0.0206436440096515,0.999922676810539,0,0.599953606086323,15,1.16129032258065,0.161290322580645,"N1 S2 P1 O5","de-protonated",0,NA,"C31 H36 O5 S2 N1 P1",31,36,5,1,1,2,NA,NA,NA,NA,NA
