"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S","15N"
3884,487.13894,487.137465409611,487.137339274626,29250356,NA,207235.7,147.3,-1,0.258931054983461,0.493601026791455,0.896629686223046,0.654812490564092,21,0.75,0.09375,"S1 O3","de-protonated",0,NA,"C32 H24 O3 S1",32,24,3,NA,NA,1,NA,NA,NA,NA,NA,NA
3885,487.146924,487.14544937239,487.145552233633,8706870,NA,216175.5,42.39,-1,-0.211150942777363,0.495971397848048,0.85154837932281,0.638202190437953,3,2.0625,0.4375,"N4 S2 P1 O7","de-protonated",0,NA,"C16 H33 O7 S2 N4 P1",16,33,7,4,1,2,NA,NA,NA,NA,NA,NA
3886,487.156619,487.155144327193,487.155097339355,8510266,NA,208314.9,41.39,-1,0.0964535472692746,0.997102819988979,0.950871317069392,0.978610218821144,21,0.75,0.15625,"O5","de-protonated",0,NA,"C32 H24 O5",32,24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3887,487.162133,487.160658301487,487.160808374918,10314556,NA,206834.3,50.6,-1,-0.308057274942247,0.98862928250396,0.997653477459792,0.992238960486292,7,1.65,0.2,"N4 S2 P1 O4","de-protonated",0,NA,"C20 H33 O4 S2 N4 P1",20,33,4,4,1,2,NA,NA,NA,NA,NA,NA
3888,487.175259,487.173784240294,487.17372478401,21660480,NA,207746.7,108.54,-1,0.122043288867958,0.332433683199132,0.703115790895168,0.480706526277546,20,0.848484848484849,0.0606060606060606,"S1 O2","de-protonated",0,NA,"C33 H28 O2 S1",33,28,2,NA,NA,1,NA,NA,NA,NA,NA,NA
3889,487.183329,487.181854202672,487.181937743017,4854595.5,NA,212648.2,22.72,-1,-0.171476687897873,0.994678844422311,0,0.596807306653386,2,2.17647058823529,0.352941176470588,"N4 S2 P1 O6","de-protonated",0,NA,"C17 H37 O6 S2 N4 P1",17,37,6,4,1,2,NA,NA,NA,NA,NA,NA
3890,487.193002,487.191527157577,487.19148284874,4504391,NA,209032.6,20.93,-1,0.0909474791576398,0.499250141529854,0.73553288925895,0.593763240621492,20,0.848484848484849,0.121212121212121,"O4","de-protonated",0,NA,"C33 H28 O4",33,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3891,487.198623,487.197148131372,487.197356075554,5627721.5,NA,208612.7,26.66,-1,-0.426817139884996,0.483742659619584,0.779247987650237,0.601944790831845,11,1.23076923076923,0.346153846153846,"O9","de-protonated",0,NA,"C26 H32 O9",26,32,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3892,487.211752,487.210277070165,487.210110293395,9388878,NA,201069.6,45.87,-1,0.342309749506033,0.972466100019145,0.96571252933884,0.969764671747023,19,0.941176470588235,0.0294117647058824,"S1 O1","de-protonated",0,NA,"C34 H32 O1 S1",34,32,1,NA,NA,1,NA,NA,NA,NA,NA,NA
3893,487.21992,487.218445032087,487.218485443654,3728209.3,NA,214001.9,16.96,-1,-0.0829434190342997,0.998752482462843,0,0.599251489477706,6,1.56521739130435,0.478260869565217,"O11","de-protonated",0,NA,"C23 H36 O11",23,36,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
