"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
205,220.147478,220.147113730739,220.147189483499,1320346.6,NA,568114.9,8.54,-1,-0.344100509122052,0.978744686257374,0,0.587246811754424,0,2.4,0.2,"N1 P1 O2","de-protonated",0,NA,"C10 H24 O2 N1 P1",10,24,2,1,1,NA,NA,NA,NA,NA,NA
212,223.098047,223.097667623737,223.097582461872,1152927.9,NA,658797.7,7.14,-1,0.381724735370314,0.973906892527919,0,0.584344135516751,5,1.33333333333333,0.333333333333333,"O4","de-protonated",0,NA,"C12 H16 O4",12,16,4,NA,NA,NA,NA,NA,NA,NA,NA
213,225.040945,225.040555676041,225.040461507581,2269011,NA,512976.7,16.34,-1,0.418451239294768,0.968727498248409,0,0.581236498949045,6,1,0.6,"O6","de-protonated",0,NA,"C10 H10 O6",10,10,6,NA,NA,NA,NA,NA,NA,NA,NA
219,228.161009,228.16060370122,228.160517072405,1893822.9,NA,488816,13.22,-1,0.379683635813024,0.974181564495507,0,0.584508938697304,2,1.91666666666667,0.25,"N1 O3","de-protonated",0,NA,"C12 H23 O3 N1",12,23,3,1,NA,NA,NA,NA,NA,NA,NA
227,232.094426,232.094000562006,232.093894062501,1248629.6,NA,521819,7.82,-1,0.458863885200169,0.962515488102352,0,0.577509292861411,3,1.875,0.625,"N3 O5","de-protonated",0,NA,"C8 H15 O5 N3",8,15,5,3,NA,NA,NA,NA,NA,NA,NA
243,239.020262,239.019801101518,239.019726062675,2118110.5,NA,469586.4,14.87,-1,0.313944142845687,0.982275214889411,0,0.589365128933647,7,0.8,0.7,"O7","de-protonated",0,NA,"C10 H8 O7",10,8,7,NA,NA,NA,NA,NA,NA,NA,NA
246,239.093074,239.092612728718,239.092497081443,5269499,NA,485361.7,40.67,-1,0.483692613621968,0.958436976815648,0,0.575062186089389,5,1.33333333333333,0.416666666666667,"O5","de-protonated",0,NA,"C12 H16 O5",12,16,5,NA,NA,NA,NA,NA,NA,NA,NA
251,241.072341,241.071869594812,241.071761636537,3307272.3,NA,459901.8,24.44,-1,0.447826297952906,0.964264887572758,0,0.578558932543655,5,1.27272727272727,0.545454545454545,"O6","de-protonated",0,NA,"C11 H14 O6",11,14,6,NA,NA,NA,NA,NA,NA,NA,NA
255,241.145104,241.144632222263,241.144532655306,1946405.1,NA,538503.8,13.37,-1,0.412893280669151,0.969540017897696,0,0.581724010738617,3,1.69230769230769,0.307692307692308,"O4","de-protonated",0,NA,"C13 H22 O4",13,22,4,NA,NA,NA,NA,NA,NA,NA,NA
258,242.067588,242.067111499117,242.06701060873,1685908.1,NA,487851.1,11.25,-1,0.416787015855996,0.968971859441734,0,0.58138311566504,5,1.3,0.6,"N1 O6","de-protonated",0,NA,"C10 H13 O6 N1",10,13,6,1,NA,NA,NA,NA,NA,NA,NA
264,243.124368,243.123886088372,243.1237972104,1957690.5,NA,510878.8,13.45,-1,0.365566733289511,0.97604300834694,0,0.585625805008164,3,1.66666666666667,0.416666666666667,"O5","de-protonated",0,NA,"C12 H20 O5",12,20,5,NA,NA,NA,NA,NA,NA,NA,NA
272,245.049509,245.049017231592,245.048918191379,3502401.3,NA,484652.2,26.01,-1,0.404165067439099,0.970795408878789,0,0.582477245327274,4,1.4,0.5,"S1 O5","de-protonated",0,NA,"C10 H14 O5 S1",10,14,5,NA,NA,1,NA,NA,NA,NA,NA
273,245.067256,245.066764140727,245.066676256109,1792840.5,NA,559472.3,12.11,-1,0.358615129960672,0.97693498559854,0,0.586160991359124,4,1.4,0.7,"O7","de-protonated",0,NA,"C10 H14 O7",10,14,7,NA,NA,NA,NA,NA,NA,NA,NA
275,245.103641,245.103148954435,245.103061765493,5015895,NA,464864.1,38.07,-1,0.355723591278194,0.977301198867919,0,0.586380719320751,3,1.63636363636364,0.545454545454545,"O6","de-protonated",0,NA,"C11 H18 O6",11,18,6,NA,NA,NA,NA,NA,NA,NA,NA
276,245.140036,245.139543768091,245.139447274878,2146150,NA,465403.1,14.88,-1,0.393625810265635,0.972277626395669,0,0.583366575837401,2,1.83333333333333,0.416666666666667,"O5","de-protonated",0,NA,"C12 H22 O5",12,22,5,NA,NA,NA,NA,NA,NA,NA,NA
278,246.110144,246.109646801109,246.109544126979,2750703,NA,475819.3,19.76,-1,0.417188739249177,0.968912957129972,0,0.581347774277983,3,1.88888888888889,0.555555555555556,"N3 O5","de-protonated",0,NA,"C9 H17 O5 N3",9,17,5,3,NA,NA,NA,NA,NA,NA,NA
279,247.082906,247.082403820538,247.082326320587,2727547,NA,461981.2,19.57,-1,0.31366044074388,0.982306950195368,0,0.589384170117221,3,1.6,0.7,"O7","de-protonated",0,NA,"C10 H16 O7",10,16,7,NA,NA,NA,NA,NA,NA,NA,NA
280,247.098194,247.097691742263,247.097582461872,1917057.3,NA,516361.2,13.02,-1,0.44225601224905,0.965132754597982,0,0.579079652758789,7,1.14285714285714,0.285714285714286,"O4","de-protonated",0,NA,"C14 H16 O4",14,16,4,NA,NA,NA,NA,NA,NA,NA,NA
282,247.119327,247.118824634062,247.118711829971,1261449.9,NA,547124,7.73,-1,0.456477332693475,0.96289708219475,0,0.57773824931685,2,1.81818181818182,0.545454545454545,"O6","de-protonated",0,NA,"C11 H20 O6",11,20,6,NA,NA,NA,NA,NA,NA,NA,NA
286,249.041073,249.040560794664,249.040461507581,1967261,NA,458875.9,13.42,-1,0.398678522133661,0.971571629225936,0,0.582942977535562,8,0.833333333333333,0.5,"O6","de-protonated",0,NA,"C12 H10 O6",12,10,6,NA,NA,NA,NA,NA,NA,NA,NA
287,249.077478,249.07696560827,249.076847016966,2961324,NA,453422.7,21.46,-1,0.476123355415956,0.959701261755072,0,0.575820757053043,7,1.07692307692308,0.384615384615385,"O5","de-protonated",0,NA,"C13 H14 O5",13,14,5,NA,NA,NA,NA,NA,NA,NA,NA
289,249.113838,249.113325422105,249.11323252635,2691515,NA,442714.4,19.28,-1,0.372905744856478,0.975083649363196,0,0.585050189617918,6,1.28571428571429,0.285714285714286,"O4","de-protonated",0,NA,"C14 H18 O4",14,18,4,NA,NA,NA,NA,NA,NA,NA,NA
290,249.150252,249.149739235665,249.149618035734,1980361.9,NA,510308,13.53,-1,0.486454410130323,0.957971132226159,0,0.574782679335695,5,1.46666666666667,0.2,"O3","de-protonated",0,NA,"C15 H22 O3",15,22,3,NA,NA,NA,NA,NA,NA,NA,NA
291,250.14549,250.144972140016,250.144867007927,1645412.1,NA,544571.2,10.82,-1,0.420284814402644,0.968457215155856,0,0.581074329093513,5,1.5,0.214285714285714,"N1 O3","de-protonated",0,NA,"C14 H21 O3 N1",14,21,3,1,NA,NA,NA,NA,NA,NA,NA
298,251.093102,251.092579288214,251.092497081443,3839724.3,NA,400415.9,28.35,-1,0.327396364449192,0.980738724629791,0,0.588443234777874,6,1.23076923076923,0.384615384615385,"O5","de-protonated",0,NA,"C13 H16 O5",13,16,5,NA,NA,NA,NA,NA,NA,NA,NA
299,251.096497,251.095974270832,251.095868384814,1428461.5,NA,523361.8,9,-1,0.421695581224193,0.968248504471036,0,0.580949102682621,1,2,0.5,"S1 O5","de-protonated",0,NA,"C10 H20 O5 S1",10,20,5,NA,NA,1,NA,NA,NA,NA,NA
302,252.052006,252.051478378597,252.051360544252,1183098.3,NA,475383.6,7.03,-1,0.467501323521118,0.961119076259319,0,0.576671445755591,7,1,0.545454545454545,"N1 O6","de-protonated",0,NA,"C11 H11 O6 N1",11,11,6,1,NA,NA,NA,NA,NA,NA,NA
304,252.979248,252.97871563109,252.978730629595,1373180.5,NA,590152.7,8.55,-1,-0.0592876114868169,0.99936240742831,0,0.599617444456986,12,0.428571428571429,0.0714285714285714,"S2 O1","de-protonated",0,NA,"C14 H6 O1 S2",14,6,1,NA,NA,2,NA,NA,NA,NA,NA
305,253.03596,253.035427340723,253.035376127153,1820436.3,NA,448514.9,12.14,-1,0.202396876964986,0.992594602136302,0,0.595556761281781,7,0.909090909090909,0.636363636363636,"O7","de-protonated",0,NA,"C11 H10 O7",11,10,7,NA,NA,NA,NA,NA,NA,NA,NA
306,253.072419,253.071886154052,253.071761636537,2919971.5,NA,463495.5,20.96,-1,0.492024529393478,0.957024224851136,0,0.574214534910681,6,1.16666666666667,0.5,"O6","de-protonated",0,NA,"C12 H14 O6",12,14,6,NA,NA,NA,NA,NA,NA,NA,NA
307,253.108738,253.108204968097,253.108147145922,2530866.5,NA,438188.8,17.84,-1,0.228448496761959,0.99057512132297,0,0.594345072793782,5,1.38461538461538,0.384615384615385,"O5","de-protonated",0,NA,"C13 H18 O5",13,18,5,NA,NA,NA,NA,NA,NA,NA,NA
308,253.14515,253.144616781667,253.144532655306,11973186,NA,440487.5,93.62,-1,0.33232541123861,0.978292951164111,0.999106753274489,0.986618472008262,4,1.57142857142857,0.285714285714286,"O4","de-protonated",0,NA,"C14 H22 O4",14,22,4,NA,NA,NA,NA,NA,NA,NA,NA
310,255.051655,255.051112020304,255.051026191631,2878816.3,NA,446416.1,20.63,-1,0.336515693254682,0.979661907256519,0,0.587797144353912,6,1.09090909090909,0.636363636363636,"O7","de-protonated",0,NA,"C11 H12 O7",11,12,7,NA,NA,NA,NA,NA,NA,NA,NA
312,255.088075,255.087531833832,255.087411701015,4563311.5,NA,470413.6,34.15,-1,0.47094765006636,0.960555217035099,0,0.57633313022106,5,1.33333333333333,0.5,"O6","de-protonated",0,NA,"C12 H16 O6",12,16,6,NA,NA,NA,NA,NA,NA,NA,NA
313,255.124434,255.123890647673,255.123797210399,2499455,NA,522494.8,17.58,-1,0.366242877764329,0.975955380750471,0,0.585573228450282,4,1.53846153846154,0.384615384615385,"O5","de-protonated",0,NA,"C13 H20 O5",13,20,5,NA,NA,NA,NA,NA,NA,NA,NA
315,257.06734,257.066786699936,257.066676256109,3087026,NA,468516.5,22.29,-1,0.429631054167858,0.967062343730168,0,0.580237406238101,5,1.27272727272727,0.636363636363636,"O7","de-protonated",0,NA,"C11 H14 O7",11,14,7,NA,NA,NA,NA,NA,NA,NA,NA
318,257.140061,257.139507327602,257.139447274877,2860752.8,NA,448586.1,20.48,-1,0.233541471308355,0.990152304175694,0,0.594091382505416,3,1.69230769230769,0.384615384615385,"O5","de-protonated",0,NA,"C13 H22 O5",13,22,5,NA,NA,NA,NA,NA,NA,NA,NA
322,258.171751,258.171192045318,258.171081756455,1291013.6,NA,394368.1,7.82,-1,0.427192940828387,0.967428980589982,0,0.580457388353989,2,1.92307692307692,0.307692307692308,"N1 O4","de-protonated",0,NA,"C13 H25 O4 N1",13,25,4,1,NA,NA,NA,NA,NA,NA,NA
323,259.082978,259.082414379809,259.082326320587,3909640.8,NA,450210.2,28.68,-1,0.339888958195901,0.979256401344994,0,0.587553840806996,4,1.45454545454545,0.636363636363636,"O7","de-protonated",0,NA,"C11 H16 O7",11,16,7,NA,NA,NA,NA,NA,NA,NA,NA
324,259.119388,259.118824193389,259.118711829971,7021592,NA,417191.4,53.47,-1,0.433636832240963,0.966455740767325,0,0.579873444460395,3,1.66666666666667,0.5,"O6","de-protonated",0,NA,"C12 H20 O6",12,20,6,NA,NA,NA,NA,NA,NA,NA,NA
325,259.15574,259.155176007265,259.155097339355,1772071.6,NA,485960.5,11.65,-1,0.303555324803419,0.98341925836172,0,0.590051555017032,2,1.84615384615385,0.384615384615385,"O5","de-protonated",0,NA,"C13 H24 O5",13,24,5,NA,NA,NA,NA,NA,NA,NA,NA
329,261.062283,261.061709245708,261.061590875681,1831764.6,NA,508433.7,12.12,-1,0.453418010553365,0.963383556643855,0,0.578030133986313,4,1.4,0.8,"O8","de-protonated",0,NA,"C10 H14 O8",10,14,8,NA,NA,NA,NA,NA,NA,NA,NA
330,261.07748,261.076906167899,261.076847016965,2623323,NA,437523.4,18.42,-1,0.226565219567691,0.990729154312471,0,0.594437492587482,8,1,0.357142857142857,"O5","de-protonated",0,NA,"C14 H14 O5",14,14,5,NA,NA,NA,NA,NA,NA,NA,NA
332,261.09862,261.098046059661,261.097976385065,2904420.3,NA,476742.1,20.66,-1,0.266852303043058,0.987162129132163,0,0.592297277479298,3,1.63636363636364,0.636363636363636,"O7","de-protonated",0,NA,"C11 H18 O7",11,18,7,NA,NA,NA,NA,NA,NA,NA,NA
333,261.113914,261.113339981356,261.11323252635,2119530.8,NA,478223.8,14.41,-1,0.411526465658724,0.969738271958477,0,0.581842963175086,7,1.2,0.266666666666667,"O4","de-protonated",0,NA,"C15 H18 O4",15,18,4,NA,NA,NA,NA,NA,NA,NA,NA
337,263.02043,263.019846219936,263.019726062675,2949275.8,NA,393098.5,21.01,-1,0.456837451233341,0.962839619404795,0,0.577703771642877,9,0.666666666666667,0.583333333333333,"O7","de-protonated",0,NA,"C12 H8 O7",12,8,7,NA,NA,NA,NA,NA,NA,NA,NA
338,263.056739,263.056155034033,263.056111572059,3049131.3,NA,418890.8,21.81,-1,0.165219403571785,0.995059159625434,0,0.59703549577526,8,0.923076923076923,0.461538461538462,"O6","de-protonated",0,NA,"C13 H12 O6",13,12,6,NA,NA,NA,NA,NA,NA,NA,NA
340,263.093173,263.09258884749,263.092497081443,4059835,NA,400026.2,29.86,-1,0.348797656442841,0.978166858223301,0,0.58690011493398,7,1.14285714285714,0.357142857142857,"O5","de-protonated",0,NA,"C14 H16 O5",14,16,5,NA,NA,NA,NA,NA,NA,NA,NA
342,263.129578,263.128993661095,263.128882590828,2935498.5,NA,392801.1,20.9,-1,0.422113552493646,0.968186543613582,0,0.580911926168149,6,1.33333333333333,0.266666666666667,"O4","de-protonated",0,NA,"C15 H20 O4",15,20,4,NA,NA,NA,NA,NA,NA,NA,NA
351,265.072409,265.071814713742,265.071761636537,3613711,NA,436334.6,26.1,-1,0.200237115240817,0.992751232616072,0,0.595650739569643,7,1.07692307692308,0.461538461538462,"O6","de-protonated",0,NA,"C13 H14 O6",13,14,6,NA,NA,NA,NA,NA,NA,NA,NA
353,265.108872,265.10827752705,265.108147145921,4523550.5,NA,428661.2,33.3,-1,0.491803554137662,0.957061977565826,0,0.574237186539495,6,1.28571428571429,0.357142857142857,"O5","de-protonated",0,NA,"C14 H18 O5",14,18,5,NA,NA,NA,NA,NA,NA,NA,NA
355,265.14523,265.144635340896,265.144532655306,1724462.4,NA,435465.8,11.16,-1,0.387281568948179,0.97315204332863,0,0.583891225997178,5,1.46666666666667,0.266666666666667,"O4","de-protonated",0,NA,"C15 H22 O4",15,22,4,NA,NA,NA,NA,NA,NA,NA,NA
356,265.148577,265.14798232376,265.147903958676,9471536,NA,421072,72.43,-1,0.295552341364866,0.979394444369995,0.994028187821132,0.98524794175045,0,2.16666666666667,0.333333333333333,"S1 O4","de-protonated",0,NA,"C12 H26 O4 S1",12,26,4,NA,NA,1,NA,NA,NA,NA,NA
360,267.015304,267.014699766061,267.014640682247,2177878.8,NA,458611.8,14.74,-1,0.221275561989325,0.991155099103262,0,0.594693059461957,8,0.727272727272727,0.727272727272727,"O8","de-protonated",0,NA,"C11 H8 O8",11,8,8,NA,NA,NA,NA,NA,NA,NA,NA
361,267.051718,267.051113579621,267.051026191631,2758502.5,NA,409038.7,19.33,-1,0.327233303841105,0.980757720364665,0,0.588454632218799,7,1,0.583333333333333,"O7","de-protonated",0,NA,"C12 H12 O7",12,12,7,NA,NA,NA,NA,NA,NA,NA,NA
362,267.088139,267.087534393144,267.087411701015,6702454.5,NA,416947.4,50.52,-1,0.45937069030294,0.96243421668388,0,0.577460530010328,6,1.23076923076923,0.461538461538462,"O6","de-protonated",0,NA,"C13 H16 O6",13,16,6,NA,NA,NA,NA,NA,NA,NA,NA
363,267.124478,267.123873207087,267.123797210399,4023686,NA,426660.4,29.34,-1,0.284499877769893,0.985420831043676,0,0.591252498626206,5,1.42857142857143,0.357142857142857,"O5","de-protonated",0,NA,"C14 H20 O5",14,20,5,NA,NA,NA,NA,NA,NA,NA,NA
367,269.030988,269.030373445699,269.030290746725,1434561.3,NA,499272.1,8.86,-1,0.307396515663558,0.983000587304718,0,0.589800352382831,7,0.909090909090909,0.727272727272727,"O8","de-protonated",0,NA,"C11 H10 O8",11,10,8,NA,NA,NA,NA,NA,NA,NA,NA
368,269.067336,269.066721259596,269.066676256109,5567697,NA,418539.9,41.54,-1,0.167257749857485,0.994936806293108,0,0.596962083775865,6,1.16666666666667,0.583333333333333,"O7","de-protonated",0,NA,"C12 H14 O7",12,14,7,NA,NA,NA,NA,NA,NA,NA,NA
369,269.103791,269.103176072945,269.103061765493,8412385,NA,415667.3,64.04,-1,0.424772022615521,0.483895551767144,0.875929598413485,0.640709170425681,5,1.38461538461538,0.461538461538462,"O6","de-protonated",0,NA,"C13 H18 O6",13,18,6,NA,NA,NA,NA,NA,NA,NA,NA
370,269.131914,269.131298928954,269.1312050664,10235117,NA,403391.9,78.45,-1,0.348761320123504,0.988104310939063,0.990530863780886,0.989074932075792,4,1.64285714285714,0.214285714285714,"P1 O3","de-protonated",0,NA,"C14 H23 O3 P1",14,23,3,NA,1,NA,NA,NA,NA,NA,NA
371,269.14016,269.139544886735,269.139447274877,8473841,NA,393218.1,64.52,-1,0.362681346744818,0.488207609555679,0.867648864333947,0.639984111466986,4,1.57142857142857,0.357142857142857,"O5","de-protonated",0,NA,"C14 H22 O5",14,22,5,NA,NA,NA,NA,NA,NA,NA,NA
376,271.046644,271.046019125479,271.045940811203,2030638.5,NA,420168.6,13.46,-1,0.288933589951816,0.984966339371946,0,0.590979803623167,6,1.09090909090909,0.727272727272727,"O8","de-protonated",0,NA,"C11 H12 O8",11,12,8,NA,NA,NA,NA,NA,NA,NA,NA
377,271.065321,271.064696029852,271.064568255857,1503542.8,NA,501007.3,9.32,-1,0.471378446041825,0.960484465963133,0,0.57629067957788,5,1.33333333333333,0.416666666666667,"S1 O5","de-protonated",0,NA,"C12 H16 O5 S1",12,16,5,NA,NA,1,NA,NA,NA,NA,NA
379,271.083008,271.082382939295,271.082326320587,6553662.5,NA,420533.6,48.94,-1,0.208861670865474,0.992115872176219,0,0.595269523305732,5,1.33333333333333,0.583333333333333,"O7","de-protonated",0,NA,"C12 H16 O7",12,16,7,NA,NA,NA,NA,NA,NA,NA,NA
380,271.119452,271.1188267527,271.118711829971,6458446.5,NA,417089.7,48.2,-1,0.423883428064601,0.967923537754139,0,0.580754122652483,4,1.53846153846154,0.461538461538462,"O6","de-protonated",0,NA,"C13 H20 O6",13,20,6,NA,NA,NA,NA,NA,NA,NA,NA
382,271.155773,271.155147566736,271.155097339355,2755166,NA,409493,19.14,-1,0.185234873247978,0.99379348075456,0,0.596276088452736,3,1.71428571428571,0.357142857142857,"O5","de-protonated",0,NA,"C14 H24 O5",14,24,5,NA,NA,NA,NA,NA,NA,NA,NA
383,272.151093,272.150462470667,272.150346311549,1351952.4,NA,444787.5,8.13,-1,0.426819661552966,0.967484941354597,0,0.580490964812758,3,1.76923076923077,0.384615384615385,"N1 O5","de-protonated",0,NA,"C13 H23 O5 N1",13,23,5,1,NA,NA,NA,NA,NA,NA,NA
386,273.062332,273.061696805096,273.061590875681,2548126.5,NA,452610.7,17.51,-1,0.387932316713489,0.973062969754441,0,0.583837781852664,5,1.27272727272727,0.727272727272727,"O8","de-protonated",0,NA,"C11 H14 O8",11,14,8,NA,NA,NA,NA,NA,NA,NA,NA
387,273.077489,273.076853727492,273.076847016965,1236133,NA,472270.6,7.22,-1,0.0245737653082321,0.999890434595153,0,0.599934260757092,9,0.933333333333333,0.333333333333333,"O5","de-protonated",0,NA,"C15 H14 O5",15,14,5,NA,NA,NA,NA,NA,NA,NA,NA
388,273.098703,273.098067618875,273.097976385065,6750126.5,NA,394195,50.48,-1,0.334069888662719,0.979953495924154,0,0.587972097554493,4,1.5,0.583333333333333,"O7","de-protonated",0,NA,"C12 H18 O7",12,18,7,NA,NA,NA,NA,NA,NA,NA,NA
390,273.135046,273.134410432798,273.134361894449,9055166,NA,408469.9,68.56,-1,0.177708687863548,0.983368385838642,0.985551941912007,0.984241808267988,3,1.69230769230769,0.461538461538462,"O6","de-protonated",0,NA,"C13 H22 O6",13,22,6,NA,NA,NA,NA,NA,NA,NA,NA
396,275.02039,275.01974477978,275.019726062675,1642231,NA,400761.6,10.4,-1,0.0680573195409383,0.999159919268373,0,0.599495951561024,10,0.615384615384615,0.538461538461538,"O7","de-protonated",0,NA,"C13 H8 O7",13,8,7,NA,NA,NA,NA,NA,NA,NA,NA
399,275.056888,275.056242592909,275.056111572059,1863943,NA,449145.5,12.14,-1,0.476342261527514,0.959664954879854,0,0.575798972927912,9,0.857142857142857,0.428571428571429,"O6","de-protonated",0,NA,"C14 H12 O6",14,12,6,NA,NA,NA,NA,NA,NA,NA,NA
401,275.093203,275.092557406976,275.092497081443,4545303,NA,390811.3,33.17,-1,0.219291811616314,0.991312290668137,0,0.594787374400882,8,1.06666666666667,0.333333333333333,"O5","de-protonated",0,NA,"C15 H16 O5",15,16,5,NA,NA,NA,NA,NA,NA,NA,NA
404,275.129563,275.128917220811,275.128882590828,1765158.9,NA,440019,11.36,-1,0.125868222734323,0.997129470899774,0,0.598277682539864,7,1.25,0.25,"O4","de-protonated",0,NA,"C16 H20 O4",16,20,4,NA,NA,NA,NA,NA,NA,NA,NA
405,275.150738,275.150092112395,275.150011958927,1751088.1,NA,388004.4,11.25,-1,0.291308246188158,0.984720115182824,0,0.590832069109694,2,1.84615384615385,0.461538461538462,"O6","de-protonated",0,NA,"C13 H24 O6",13,24,6,NA,NA,NA,NA,NA,NA,NA,NA
408,276.109545,276.108894203274,276.108875421736,1329108.3,NA,488766.3,7.94,-1,0.0680222178494666,0.999160785252416,0,0.59949647115145,3,1.72727272727273,0.636363636363636,"N1 O7","de-protonated",0,NA,"C11 H19 O7 N1",11,19,7,1,NA,NA,NA,NA,NA,NA,NA
411,277.072487,277.071831272982,277.071761636537,5499514.5,NA,379159.6,40.65,-1,0.25132999612206,0.988603906191249,0,0.593162343714749,8,1,0.428571428571429,"O6","de-protonated",0,NA,"C14 H14 O6",14,14,6,NA,NA,NA,NA,NA,NA,NA,NA
414,277.1089,277.108244086546,277.108147145921,5881482.5,NA,387010.3,43.65,-1,0.349829573085526,0.978038911698934,0,0.58682334701936,7,1.2,0.333333333333333,"O5","de-protonated",0,NA,"C15 H18 O5",15,18,5,NA,NA,NA,NA,NA,NA,NA,NA
416,277.145284,277.144627900259,277.144532655306,4041370.5,NA,419430,29.21,-1,0.343665279738202,0.97879784734006,0,0.587278708404036,6,1.375,0.25,"O4","de-protonated",0,NA,"C16 H22 O4",16,22,4,NA,NA,NA,NA,NA,NA,NA,NA
421,279.015369,279.014703325368,279.014640682247,2175439.5,NA,405945.8,14.41,-1,0.224515534233366,0.990895375619301,0,0.594537225371581,9,0.666666666666667,0.666666666666667,"O8","de-protonated",0,NA,"C12 H8 O8",12,8,8,NA,NA,NA,NA,NA,NA,NA,NA
422,279.051809,279.051143138794,279.051026191631,2869215.5,NA,439839.3,19.79,-1,0.419088811426949,0.968633640674009,0,0.581180184404406,8,0.923076923076923,0.538461538461538,"O7","de-protonated",0,NA,"C13 H12 O7",13,12,7,NA,NA,NA,NA,NA,NA,NA,NA
424,279.088118,279.087451952891,279.087411701015,5940719.5,NA,386807.5,43.62,-1,0.144226768141315,0.996232734454235,0,0.597739640672541,7,1.14285714285714,0.428571428571429,"O6","de-protonated",0,NA,"C14 H16 O6",14,16,6,NA,NA,NA,NA,NA,NA,NA,NA
426,279.12449,279.123823766665,279.123797210399,6916607.5,NA,390673.4,51.2,-1,0.0951415310708798,0.499179445373615,0.859523230357577,0.6433169593672,6,1.33333333333333,0.333333333333333,"O5","de-protonated",0,NA,"C15 H20 O5",15,20,5,NA,NA,NA,NA,NA,NA,NA,NA
429,279.160898,279.160231580255,279.160182719784,1623055.5,NA,491177.3,10.12,-1,0.175026647859071,0.994456861727764,0,0.596674117036658,5,1.5,0.25,"O4","de-protonated",0,NA,"C16 H24 O4",16,24,4,NA,NA,NA,NA,NA,NA,NA,NA
430,280.083374,280.08270285715,280.082660673208,1473700.8,NA,398594.5,8.96,-1,0.150612471637463,0.995892455971568,0,0.597535473582941,7,1.15384615384615,0.461538461538462,"N1 O6","de-protonated",0,NA,"C13 H15 O6 N1",13,15,6,1,NA,NA,NA,NA,NA,NA,NA
433,281.030998,281.030322005287,281.030290746725,3288901.3,NA,432475.4,23.04,-1,0.111228444319206,0.997757676932973,0,0.598654606159784,8,0.833333333333333,0.666666666666667,"O8","de-protonated",0,NA,"C12 H10 O8",12,10,8,NA,NA,NA,NA,NA,NA,NA,NA
434,281.067411,281.066734818851,281.066676256109,6649173.5,NA,379294.7,49.11,-1,0.208358894787876,0.99215363502975,0,0.59529218101785,7,1.07692307692308,0.538461538461538,"O7","de-protonated",0,NA,"C13 H14 O7",13,14,7,NA,NA,NA,NA,NA,NA,NA,NA
