Site_ID,Site_Name,Parent_ID,Field_Staff,Date,Time_Zone,Time_Arriving,Time_Leaving,Latitude,Longitude,Notes
T03,Yakima at Union Gap,RC2_0134,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,PST,9:05:00,9:32:00,46.530817,-120.470337,Cool (51 degrees F) with high clouds. Substantial POM in river so relatively turbid. River is lower than recent past with substantially more exposed gravel bars and shoreline upstream than we typically see. 
T02,Yakima at Mabton,RC2_0135,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,PST,7:45:00,8:15:00,46.232095,-119.999901,Cold (~45 degrees F) with high clouds and sun breaking through.River is quite high and turbid
T07,Yakima at Kiona,RC2_0136,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,PST,6:35:00,7:09:00,46.255319,-119.47405,Cold with high clouds (approximately 43 degrees F). River is high. Water is very murky and turbid. 
T06,American River,RC2_0137,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,12:50:00,13:25:00,46.97777,-121.16953,Cloudy with sun breaking through and slight down-canyon breeze. Leaves are really starting to accumulate along shoreline and in-stream behind rocks. Biofilm on channel substrate. 
T05P,Little Naches at Nile,RC2_0138,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,12:10:00,12:38:00,46.98904,-121.09921,Sunny with cloudy skies with slight up-canyon breeze. 
T42,Naches River Craig Road 2,RC2_0139,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,11:00:00,11:27:00,46.72895,-120.71431,Sun with lots of clouds; 62 degrees F; and no wind. River is very shallow throughout the reach.
T03,Yakima at Union Gap,RC2_0140,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,9:40:00,10:10:00,46.530817,-120.470337,Blue sky with scattered clouds. Wind has died down here compared to Mabton. River appears less turbid than usual. 
T02,Yakima at Mabton,RC2_0141,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,8:00:00,8:37:00,46.232095,-119.999901,Clearing sky; cloudy with sunshine; and 60 degrees F. Extremely windy; coming from the southwest. River stage is high with choppy waves and very clear for this site. 
T07,Yakima at Kiona,RC2_0142,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,PST,6:40:00,7:20:00,46.255319,-119.47405,Cloudy; windy; and 52 degrees F. 
T06,American River,RC2_0143,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,14:08:00,14:44:00,46.97777,-121.16953,Overcast; rainy; and cool. River is rising due to rain; and has risen approximately 4-8 inches since last week. Rapids are more turbulent than they've been in months.
T05P,Little Naches at Nile,RC2_0144,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,13:25:00,13:55:00,46.98904,-121.09921,Cold and rainy with a steady drizzle. River is relatively clear and swift; and perhaps higher than last week
T42,Naches River Craig Road 2,RC2_0145,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,12:05:00,12:40:00,46.72895,-120.71431,Thick film of sediment on exposed shoreline indicates river had risen at least one foot earlier today and then quickly receded. River remains shallow but temp continues to decrease. Overcast but no rain or sun.
T03,Yakima at Union Gap,RC2_0146,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,10:25:00,11:28:00,46.530817,-120.470337,Overcast but clearing and rain has stopped.
T02,Yakima at Mabton,RC2_0147,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,8:18:00,9:32:00,46.232095,-119.999901,Overcast and sprinkling off and on. 51 degrees F. River is high and turbid but flowing languidly. Appears to have risen laterally by one foot or more since arrived. Raining upstream.
T07,Yakima at Kiona,RC2_0148,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,PST,7:08:00,7:38:00,46.255319,-119.47405,Cloudy and cool with rain predicted today. Water level has risen due to rain in the upper basin. 
T06,American River,RC2_0149,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,14:12:00,14:35:00,46.97777,-121.16953,Very High Water; light snowfall very strong current
T05P,Little Naches at Nile,RC2_0150,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,13:40:00,14:00:00,46.98904,-121.09921,"Water is high and there is high turbidity. light snow
"
T42,Naches River Craig Road 2,RC2_0151,Lupita_Renteria; Sophia McKever, 2021-11-18,PST,12:30:00,12:57:00,46.72895,-120.71431,Super high water and water was turbid. Cloudy
