Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,RC2_0023_Water,10.58052/IEPRS00CK,Liquid>aqueous,-9999,4.237,-9999,-9999,-9999,6.367,1.913,0.547,8.04,TRUE
N/A,RC2_0024_Water,10.58052/IEPRS00CL,Liquid>aqueous,-9999,4.64,-9999,-9999,-9999,7.993,1.907,0.647,17.8,TRUE
N/A,RC2_0025_Water,10.58052/IEPRS00CA,Liquid>aqueous,4.903,0.467,0.42,-9999,-9999,1.95,0.85,0.173,19.2,TRUE
N/A,RC2_0026_Water,10.58052/IEPRS00CB,Liquid>aqueous,5.94,0.577,0.763,-9999,-9999,1.027,1.307,0.257,10.1,TRUE
N/A,RC2_0027_Water,10.58052/IEPRS00CC,Liquid>aqueous,5.8,0.79,0.17,-9999,-9999,1.945,1.213,0.137,9.44,TRUE
N/A,RC2_0028_Water,10.58052/IEPRS00CD,Liquid>aqueous,9.643,2.013,0.557,-9999,-9999,2.53,1.557,0.243,8.9,TRUE
N/A,RC2_0029_Water,10.58052/IEPRS00CE,Liquid>aqueous,12.53,2.347,1.067,-9999,-9999,3.323,1.793,0.43,8.13,TRUE
N/A,RC2_0030_Water,10.58052/IEPRS00CF,Liquid>aqueous,13.08,2.817,1.577,-9999,-9999,4.58,1.81,0.513,19.8,TRUE
N/A,RC2_0031_Water,10.58052/IEPRS00C4,Liquid>aqueous,4.66,-9999,0.423,-9999,-9999,1.723,0.77,0.12,8.39,TRUE
N/A,RC2_0032_Water,10.58052/IEPRS00C5,Liquid>aqueous,5.623,0.517,0.743,-9999,-9999,0.98,1.243,0.2,6.4,TRUE
N/A,RC2_0033_Water,10.58052/IEPRS00C6,Liquid>aqueous,6.097,1.107,-9999,-9999,-9999,2.293,1.117,-9999,10.8,TRUE
N/A,RC2_0034_Water,10.58052/IEPRS00C7,Liquid>aqueous,9.143,2.05,0.355,-9999,-9999,2.5,1.337,0.157,16.1,TRUE
N/A,RC2_0035_Water,10.58052/IEPRS00C8,Liquid>aqueous,12.59,3.35,1.35,-9999,-9999,4.79,1.553,0.367,122,TRUE
N/A,RC2_0036_Water,10.58052/IEPRS00C9,Liquid>aqueous,14.05,3.627,1.6,-9999,-9999,5.74,1.585,0.43,36.5,TRUE
N/A,RC2_0037_Water,10.58052/IEPRS00BY,Liquid>aqueous,3.39,-9999,0.317,-9999,-9999,1.457,1.58,0.12,42.6,TRUE
