Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,RC2_0154_Water,10.58052/IEPRS00FQ,Liquid>aqueous,11.6,-9999,-9999,-9999,-9999,-9999,2.143,0.26,41.1,TRUE
N/A,RC2_0155_Water,10.58052/IEPRS00G0,Liquid>aqueous,4.947,1.385,0.255,-9999,-9999,2.055,0.82,0.137,5.57,TRUE
N/A,RC2_0156_Water,10.58052/IEPRS00FZ,Liquid>aqueous,5.957,1.41,0.375,-9999,-9999,1.055,1.75,0.193,1.67,TRUE
N/A,RC2_0157_Water,10.58052/IEPRS00FY,Liquid>aqueous,5.51,1.735,-9999,-9999,-9999,2.87,1.37,0.685,2.21,TRUE
N/A,RC2_0158_Water,10.58052/IEPRS00FX,Liquid>aqueous,9.753,4.193,0.803,-9999,-9999,3.445,1.41,0.34,6.71,TRUE
N/A,RC2_0159_Water,10.58052/IEPRS00FW,Liquid>aqueous,13.49,-9999,-9999,-9999,-9999,-9999,1.64,0.657,26.4,TRUE
N/A,RC2_0160_Water,10.58052/IEPRS00FV,Liquid>aqueous,13.07,5.7,2.4,-9999,-9999,6.23,1.653,0.66,28.9,TRUE
N/A,RC2_0163_Water,10.58052/IEPRS00G1,Liquid>aqueous,6.27,1.93,-9999,-9999,-9999,2.58,1.06,0.11,2.55,TRUE
N/A,RC2_0164_Water,10.58052/IEPRS00G2,Liquid>aqueous,12.213,5.72,0.957,-9999,-9999,3.8,1.097,0.317,5.43,TRUE
N/A,RC2_0165_Water,10.58052/IEPRS00G3,Liquid>aqueous,17.335,8.03,3.067,-9999,-9999,7.913,1.2,0.86,3.72,TRUE
N/A,RC2_0166_Water,10.58052/IEPRS00G4,Liquid>aqueous,20.097,6.737,3.43,-9999,-9999,9.037,1.247,0.997,6.5,TRUE
N/A,RC2_0167_Water,10.58052/IEPRS00G5,Liquid>aqueous,21.71,7.593,4.213,-9999,-9999,10.743,1.743,1.267,-9999,TRUE
N/A,RC2_0177_Water,10.58052/IEPRS00G6,Liquid>aqueous,15.977,6.19,3.303,0.04,-9999,6.78,3.127,1.035,63,TRUE
N/A,RC2_0178_Water,10.58052/IEPRS00G7,Liquid>aqueous,19.97,7.643,4.113,0.04,-9999,10.057,1.883,1.22,7.05,TRUE
N/A,RC2_0179_Water,10.58052/IEPRS00GA,Liquid>aqueous,11.237,5.457,0.657,-9999,-9999,3.85,1.347,0.257,4.76,TRUE
N/A,RC2_0183_Water,10.58052/IEPRS00G9,Liquid>aqueous,15.063,7.807,2.01,-9999,-9999,5.847,1.5,0.677,10.5,TRUE
N/A,RC2_0184_Water,10.58052/IEPRS00G8,Liquid>aqueous,15.577,7.653,2.477,-9999,-9999,6.703,1.53,0.737,13.2,TRUE
N/A,RC2_0187_Water,10.58052/IEPRS00GB,Liquid>aqueous,16.087,2.44,-9999,0.04,-9999,3.183,1.563,-9999,4.53,TRUE
N/A,RC2_0188_Water,10.58052/IEPRS00GC,Liquid>aqueous,15.52,7.183,1.517,-9999,-9999,4.103,3.127,0.727,51.5,TRUE
N/A,RC2_0189_Water,10.58052/IEPRS00GD,Liquid>aqueous,15.075,7.857,2.233,-9999,-9999,7.007,1.877,1.075,5.77,TRUE
N/A,RC2_0190_Water,10.58052/IEPRS00GE,Liquid>aqueous,12.32,7.735,3,-9999,-9999,8.305,1.527,0.85,28.7,TRUE
N/A,RC2_0191_Water,10.58052/IEPRS00GF,Liquid>aqueous,18.44,8.46,2.657,0.05,-9999,8.423,1.383,0.933,16.5,TRUE
N/A,RC2_0192_Water,10.58052/IEPRS00GG,Liquid>aqueous,16.48,8.07,2.147,0.04,-9999,6.49,1.46,0.783,81,TRUE
N/A,RC2_0193_Water,10.58052/IEPRS00GH,Liquid>aqueous,6.4,1.5,0.303,-9999,-9999,2.74,3.363,0.257,91.7,TRUE
N/A,RC2_0194_Water,10.58052/IEPRS00GI,Liquid>aqueous,9.257,4.427,0.56,-9999,-9999,2.957,2.82,0.323,98.6,TRUE
N/A,RC2_0195_Water,10.58052/IEPRS00L9,Liquid>aqueous,7.333,0.975,0.235,-9999,-9999,1.045,1.653,0.167,15,TRUE
N/A,RC2_0196_Water,10.58052/IEPRS00LA,Liquid>aqueous,6.353,2.01,0.143,-9999,-9999,2.7,1.723,0.175,6.51,TRUE
N/A,RC2_0197_Water,10.58052/IEPRS00LB,Liquid>aqueous,10.61,4.425,0.495,-9999,-9999,2.685,1.75,0.253,7.09,TRUE
N/A,RC2_0198_Water,10.58052/IEPRS00LC,Liquid>aqueous,13.573,5.325,1.47,-9999,-9999,4.73,1.823,0.563,10.3,TRUE
N/A,RC2_0199_Water,10.58052/IEPRS00LD,Liquid>aqueous,13.497,5.933,1.817,-9999,-9999,5.54,1.657,0.583,29.8,TRUE
N/A,RC2_0200_Water,10.58052/IEPRS00LE,Liquid>aqueous,6.787,0.923,0.283,-9999,-9999,1.92,0.867,0.147,3.64,TRUE
N/A,RC2_0201_Water,10.58052/IEPRS00LF,Liquid>aqueous,7.35,1.03,0.13,-9999,-9999,0.963,2.333,0.15,5.24,TRUE
N/A,RC2_0202_Water,10.58052/IEPRS00LG,Liquid>aqueous,7.787,1.767,-9999,-9999,-9999,2.683,2,0.123,8.57,TRUE
N/A,RC2_0203_Water,10.58052/IEPRS00LH,Liquid>aqueous,11.297,4.677,0.293,-9999,-9999,2.87,1.803,0.2,9.41,TRUE
N/A,RC2_0204_Water,10.58052/IEPRS00LI,Liquid>aqueous,15.8,6.48,1.41,-9999,-9999,5.043,1.763,0.44,19.2,TRUE
N/A,RC2_0205_Water,10.58052/IEPRS00LJ,Liquid>aqueous,16.567,5.68,1.533,-9999,-9999,5.277,1.737,0.687,10.6,TRUE
N/A,RC2_0206_Water,10.58052/IEPRS00LK,Liquid>aqueous,6.23,-9999,-9999,-9999,-9999,-9999,0.717,0.157,5.79,FALSE
N/A,RC2_0207_Water,10.58052/IEPRS00LL,Liquid>aqueous,7.067,-9999,-9999,-9999,-9999,-9999,1.703,0.17,12.15,FALSE
N/A,RC2_0208_Water,10.58052/IEPRS00LM,Liquid>aqueous,7.063,-9999,-9999,-9999,-9999,-9999,1.433,0.147,16.52,FALSE
N/A,RC2_0209_Water,10.58052/IEPRS00LN,Liquid>aqueous,9.583,-9999,-9999,-9999,-9999,-9999,1.58,0.207,7.1,FALSE
N/A,RC2_0210_Water,10.58052/IEPRS00LO,Liquid>aqueous,13.687,-9999,-9999,-9999,-9999,-9999,1.723,0.41,4.04,FALSE
N/A,RC2_0211_Water,10.58052/IEPRS00LP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,1.747,0.467,22.87,TRUE
#End_Data,,,,,,,,,,,,,
