Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
ICR_Typical,ICR_T_DP_003,MethodID_DataProcessing,User completes data processing using provided instructions; Formularity; and R script. Columns in FTICR output are as follows: Mass (measured ionic mass; m/z). Columns C. H. O. N. C13. S. P. Na (atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn 2006 and modified as described in Tfaily et al. 2017.) El_Comp (function group(s) that are known. NeutralMass (zero-charge or neutral molecular mass. Calculated from observed ionic mass by balancing charge with protons or electrons). Error_ppm (parts per million error calculated as [expected molecular mass - measured molecular mass]/expected molecular mass * 1e6). Candidates (possible known molecules the analyzed molecule could be. Assigned by checking against a known database. Value of -1 when molecule was not checked against database). All remaining columns identified by kit/sample ID and replicate number and contain the spectra for each sample where the numerical value is the peak intensity at the particular molecular mass.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
IC_Method_QA_QC,Cl_CV_030,MethodID_DataProcessing,"Chloride coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
IC_Method_QA_QC,NO3_CV_030,MethodID_DataProcessing,"Nitrate coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
IC_Method_QA_QC,NO2_CV_030,MethodID_DataProcessing,"Nitrite coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
IC_Method_QA_QC,PO4_CV_030,MethodID_DataProcessing,"Phosphate coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
Ion_Frozen_Method,FRZ_ION_001,MethodID_Storage,Ion samples were stored at -20 degC after collection. They thawed during shipment to PNNL-Sequim. They were stored at -80 degC upon receiving.,N/A,Pacific Northwest National Laboratory (PNNL)
Ion_Vial_Break_Method,VB_ION_002,MethodID_Inspection,Ion vial broke during freezing. Sample was transferred to new vial when thawed for analysis.,N/A,Pacific Northwest National Laboratory (PNNL)
Ions_Typical,ION_T_IN_001,MethodID_Inspection,Vials are not broken and are frozen as expected. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
Ions_Typical,ION_T_ST_001,MethodID_Storage,Vials were placed on blue ice after collection in the field and then frozen at -20 degC until they were transferred or shipped to PNNL – Sequim Campus. Vials were shipped or transfered frozen and placed under blue ice while in transit. Once arriving to PNNL – Sequim Campus they were stored at -20 degC or -80 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
Ions_Typical,ION_T_PRES_001,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept on ice upon collection and later frozen at -20 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
Ions_Typical,ION_T_PREP_001,MethodID_Preparation,Samples were thawed morning of instrument run or overnight at 4 degC (refrigerator). Samples were diluted if needed (high metals or salts).,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
