SampleID,Group,Transformation,Formula,Counts,Perc_Counts
RC2_0003_ICR.3_p08,Other,random,uracil_(_H)_C4H3N2O2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,cytosine (-H),1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,thymidine 5_ monophosphate (-H2O),1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,cytosine_(_H)_C4H4N3O,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C5H7O3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H24N4O_1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H17N3O6S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,guanine (-H),1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C5H7O4P1S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C11H13N5O2S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H13N5O6P1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H13N6O5P1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H13N1O1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,uracil (-H),1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,Arginine,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C11H14N2O6S2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C11H8N2O4S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H16N4O5S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H14N2O6,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C10H16Cl_1O6N3S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C14H10O2S2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H10O7S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H11O10N1S2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H10O_1Cl1N5,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H4N2O1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C4H6N1O2S_1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H10O5P1N3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C12H17N3O7S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,S2O32,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C12H11O4,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,O_1H4N2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,O3P1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C13H14O2N4,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,NO3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,N3O2C6H14,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H12O7N1P1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C13H16N4O2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C7H16N1O1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C3H8O1N2S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H4O7P2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C4H10N2O_1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C19H26O_1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C8H12N2O3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C8H10N2O2S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C18H34N6O4S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C18H28O18,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C18H26O_1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,C6H5N2,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H_1O3S1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H_1O_1F1,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H_1O_2Cl3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H_1O_3Cl3,1,2.47121e-05
RC2_0003_ICR.3_p08,Other,random,H_1S1,1,2.47121e-05
