Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,June_P_1_S_12_so_R1,June_P_1_D_12_so_R2,June_P_1_D_12_so_R1,June_P_2_S_12_so_R1,June_P_2_M_12_so_R1,June_P_2_M_12_so_R2,June_P_2_D_12_so_R2,June_P_2_D_12_so_R1,June_P_3_D_12_so_R1,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_E_1_M_12_pw_R2,July_E_1_M_12_pw_R1,July_S_1_D_12_pw_R2,July_S_1_D_12_pw_R1,Aug_E_3_D_12_pw_R1,Aug_E_3_M_12_pw_R1,June_E_1_S_12_so_R1,Aug_E_3_S_12_pw_R2,Aug_E_3_S_12_pw_R1,July_S_1_M_11_pw_R2,July_S_1_M_11_pw_R1,Aug_S_1_D_12_pw_R2,Aug_S_1_D_12_pw_R1,June_S_2_3_S_12_pw_R1,Aug_S_1_M_12_pw_R1,July_S_3_M_11_pw_R1,July_S_1_S_12_pw_R2,July_S_1_S_12_pw_R1,June_S_1_D_12_pw_R1,July_S_3_D_11_pw_R1,June_E_1_D_12_so_R1,June_E_1_2_3_M_12_pw_R1,June_E_1_2_3_S_12_pw_R1,June_E_1_2_3_D_12_pw_R1,July_E_1_S_11_pw_R1,July_E_1_M_11_pw_R1,July_E_1_D_11_pw_R2,July_E_1_D_11_pw_R1,July_E_3_S_11_pw_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_P_1_S_12_so_R1,July_P_1_M_12_so_R1,July_P_1_D_12_so_R1,July_P_2_S_12_so_R2,July_P_2_S_12_so_R1,July_P_2_M_12_so_R1,July_P_2_D_12_so_R1,July_P_3_S_12_so_R1,July_P_3_M_12_so_R2,July_P_3_M_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_P_1_S_12_so_R1,Aug_P_1_M_12_so_R1,Aug_P_1_D_12_so_R1,Aug_P_2_S_12_so_R1,Aug_P_2_M_12_so_R1,Aug_P_2_D_12_so_R2,Aug_P_2_D_12_so_R1,Aug_P_3_S_12_so_R1,Aug_P_3_M_12_so_R2,Aug_P_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
522.2061131,0,0,0,0,1,0,0,0,CHO,NA,523.2134431,-0.147495529,NA,6.562188264,6.587894239,6.457418377,6.297040517,6.387463508,0,0,0,6.388249075,0,0,0,0,0,0,0,0,6.39795269,0,6.464814223,6.450183189,6.331795026,6.40623058,6.428054896,6.448698175,0,6.51009806,6.469195193,6.610931034,6.542338695,6.299419102,6.653979331,6.423218586,6.561608198,6.601187323,6.674351671,6.546723438,6.546938592,6.621108951,0,6.262488798,6.317664332,6.480292922,6.433231952,6.565962219,6.477498319,6.506744437,6.39795269,0,0,0,0,0,0,0,0,0,6.527172272,0,0,0,0,6.203629088,6.307201131,6.510485465,6.257924302,6.382026738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.544997717,6.30404931,6.280110387,0,6.354875137,6.45001827,0,6.244698417,6.24143478,6.408346405,0,0,0,0,0,6.338820312,0,0,0,0,0,0,0,0,0,0,0
522.2091918,0,0,0,0,0,0,0,0,,NA,523.2165218,0,NA,0,0,0,0,0,0,0,0,0,6.405537763,6.413733507,6.305719031,6.315493178,0,0,6.50594076,6.365765882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.227601493,6.402398959,6.442628533,6.329411264,6.244194535,6.295779116,0,6.310088192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.560785069,0,0,0,0,0,6.388254795,6.302525473,6.360658439,6.33080132,0,0,0,0,0
522.213585,29,33,8,1,0,0,0,0,CHNO,NA,523.220915,0.467135644,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.220273246,0,0,0,0,0
522.2206012,0,0,0,0,1,0,0,0,CHNOS,NA,523.2279312,-0.368161631,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.255708173,6.509945605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.207049979,0,0,0,0,0,0,0,0,0,6.57361542,6.336124978,6.225812642,6.303340431,6.248635759,0,0,0,6.207238017,0,0,0,0,0,0,6.281083342,0,0,0,0,0,0,0,0,0,0,0,0,6.589408998,0,0,0,0,0,6.317916903,6.21546746,6.342247743,0,0,6.268575843,0,0,0
522.2304115,0,0,0,0,0,0,0,0,,NA,523.2377415,0,NA,0,6.33702445,0,6.335255009,0,0,6.287960218,0,0,0,0,0,0,0,6.320266043,6.532313722,6.45824519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.267640748,0,0,0,0,0,0,6.356467962,0,0,0,0,0,0,6.346085136,0,0,0,0,6.68823592,0,6.234840733,6.310796533,6.418057139,6.340700015,0,0,0,0,0,0,0,0,0,0,6.518196196,0,0,6.231559371,0,0,0,0,0,0,6.637040843,6.510160409,6.763584573,6.205076846,0,0,0,0,6.313618547,6.290620024,0,6.589192779,6.538262541,0,6.348634257,0,0
522.2425221,0,0,0,0,1,0,0,0,CHO,NA,523.2498521,-0.102561753,NA,6.506343975,6.668110947,6.45974001,6.241073854,6.450377884,0,6.287846232,6.281310568,6.389430976,6.294166437,0,0,6.379659392,0,6.250869313,0,0,6.573719715,0,6.675020552,6.538122592,6.539859356,6.477459221,6.543272408,6.551141918,0,6.626020073,6.570530892,6.574002603,6.561431632,6.333015083,6.612719078,6.49456218,6.579421667,6.587494976,6.691155033,6.64259919,6.547065451,6.66939871,0,6.465871455,6.365539049,6.48585056,6.529746527,6.619222086,6.643489442,6.639964299,6.573719715,0,0,0,0,0,0,0,0,0,6.433145297,0,0,6.261883288,0,6.214349318,6.217013335,6.491976695,6.2279382,6.378135937,6.285761222,0,0,6.443591753,0,0,0,0,0,6.252286526,0,0,0,6.284716665,0,0,0,6.388052865,6.640147936,6.412433414,6.467543142,0,6.464677711,6.520503026,6.279018166,6.203852375,6.326625738,6.336557849,0,0,0,0,0,6.363773447,0,0,0,0,6.310259651,0,0,6.305095404,0,0,0
522.249649,30,37,7,1,0,0,0,0,CHNO,NA,523.256979,-0.147329132,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.301360672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.2569663,28,44,5,0,0,1,1,0,CHOSP,NA,523.2642963,-0.886388847,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.285428824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.297455304,0,0,0,0,0,0,0,6.220689522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333884473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.2635864,0,0,0,0,0,0,0,0,,NA,523.2709164,0,NA,0,0,0,6.415181008,0,0,0,0,0,0,0,0,0,0,0,0,6.344972249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.409724764,0,0,0,0,0,0,0,0,0,6.439834969,0,0,6.503481666,0,0,0,6.392666323,0,0,0,0,0,0,0,0,0,0,6.421887327,0,0,0,0,0,0,6.45754197,0,0,7.025236496,6.886302105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.2789579,0,0,0,0,1,0,0,0,CHO,NA,523.2862879,-0.006620944,NA,6.492116779,6.473582139,0,6.30746493,6.305917432,0,0,0,6.282732066,0,0,0,6.335771182,0,6.260863158,0,6.267520151,6.491382539,0,6.501639527,6.473147504,6.358704143,0,6.321252079,6.376368847,0,6.551482203,6.257836044,6.449770705,6.484428443,0,0,6.412603295,6.347430487,6.485306349,6.552470671,6.411777488,6.519320294,6.594112213,0,6.437993795,6.416482036,6.420178783,6.550892536,6.535696258,6.491419311,6.542991336,6.491382539,0,0,0,0,0,0,6.210769144,0,6.258089425,6.357349775,0,0,6.222695822,0,0,0,0,0,0,6.32441114,0,0,6.473000697,0,0,0,6.31261839,0,6.214901256,6.333607722,0,6.373633785,6.342158233,0,0,0,6.294383129,6.545506957,0,6.466330275,0,6.570438849,6.430661248,6.269083364,0,0,6.338399314,0,0,0,0,0,0,0,0,6.311020768,0,0,6.21947269,0,6.341321831,0,0,0
