Formula,mf,Group,Transformation
C5H12N2S2,164.044192,Other,random
C6H12O5,164.068475,Other,random
C7H8O1N4,164.069811,Other,random
C10H12O2,164.08373,Other,random
C12H20,164.1565,Other,random
C3H8N3O3P1,165.03033,Other,random
C5H12N1O3P1,165.055482,Other,random
C9H11N1O2,165.078979,Other,random
C8H10N2S1,166.05647,Other,random
C9H10O3,166.062995,Other,random
C5H13N1O3P1,166.063307,Other,random
C10H14O2,166.09938,Other,random
C9H13N1O2,167.094629,Other,random
C6H3N1O3S1,168.983366,Other,random
C4H10O5P1,169.026588,Other,random
C1O6P2,169.917016,Other,random
C3H7O6P1,169.998028,Other,random
C6H10O_1Cl1N5,171.0676,Other,random
C10H8N2O1,172.063663,Other,random
C7H12N2O3,172.084793,Other,random
C9H16O3,172.109945,Other,random
C8H15N1O3,173.105194,Other,random
C6H6O6,174.01644,Other,random
C7H10O5,174.052825,Other,random
C8H14O4,174.08921,Other,random
C6H14O2N4,174.111676,Other,random
C9H5N1O3,175.026944,Other,random
C7H13N1O4,175.084459,Other,random
H2O7P2,175.927581,Other,random
C4O8,175.95932,Other,random
C6H8O6,176.03209,Other,random
C10H8O3,176.047345,Other,random
C7H12O5,176.068475,Other,random
C9H7N1O3,177.042594,Other,random
C7H7N5O1,177.06506,Other,random
H4O7P2,177.943231,Other,random
C9H9N1O3,179.058244,Other,random
C6H3Cl3,179.93,Other,random
glucose_C6H12O6,180.06339,Other,random
C10H12O3,180.078645,Other,random
C10H15O2N1,181.110279,Other,random
C5H12Cl1O1N2P1,182.0376,Other,random
C8H10O1N2S1,182.051385,Other,random
C13H10O1,182.073165,Other,random
C10H14O3,182.094295,Other,random
C12H22O1,182.167065,Other,random
C7H9O3N3,183.064392,Other,random
C8H13N3O2,183.100777,Other,random
C7H4O4S1,183.983032,Other,random
C7H4O6,184.00079,Other,random
C4H9O6P1,184.013678,Other,random
C8H12N2O3,184.084793,Other,random
C10H24N4O_1,184.205181,Other,random
C10H11O_1N5,185.10653,Other,random
C11H6O3,186.031695,Other,random
C8H14N2O3,186.100443,Other,random
C8H13N1O4,187.084459,Other,random
C7H13N3O3,187.095692,Other,random
C8H12O1S2,188.032959,Other,random
C11H8O3,188.047345,Other,random
C12H12O2,188.08373,Other,random
C10H7N1O3,189.042594,Other,random
C10H10O2N2,190.074228,Other,random
C14H22,190.17215,Other,random
C10H8O4,192.04226,Other,random
C7H12O6,192.06339,Other,random
C11H12O3,192.078645,Other,random
C12H16O2,192.11503,Other,random
C7H3N3O4,193.012357,Other,random
C9H7N1O4,193.037509,Other,random
C9H11O2N3,193.085127,Other,random
C5H7O4P1S1,193.98027,Other,random
C9H6O5,194.021525,Other,random
C9H8N1O4,194.045334,Other,random
C11H18N2O1,194.141913,Other,random
C15H30O_1,194.239835,Other,random
C9H9N1O4,195.053159,Other,random
C7H9O2N5,195.075625,Other,random
C9H13O2N3,195.100777,Other,random
C6H12O7,196.058305,Other,random
C8H10N2O2S1,198.0463,Other,random
C8H13N3O3,199.095692,Other,random
C3H6O6P2,199.963966,Other,random
C4H9O7P1,200.008593,Other,random
C12H8O3,200.047345,Other,random
C12H24O2,200.17763,Other,random
C9H15N1O4,201.100109,Other,random
C10H11N5,201.101445,Other,random
C8H14N2O2S1,202.0776,Other,random
C8H14N2O4,202.095358,Other,random
C10H18O4,202.12051,Other,random
C11H9N1O3,203.058244,Other,random
glcnac_C8H13N1O5,203.079374,Other,random
C10H13N5,203.117095,Other,random
C10H4O5,204.005875,Other,random
C11H8O4,204.04226,Other,random
C15H24,204.1878,Other,random
C10H11N3S1,205.067369,Other,random
C9H11O1N5,205.09636,Other,random
C1H4O8P2,205.938146,Other,random
C6H6O8,206.00627,Other,random
C11H10O4,206.05791,Other,random
C10H10O3N2,206.069143,Other,random
C8H14O6,206.07904,Other,random
C14H8O2,208.05243,Other,random
C6H11O6P1,210.029328,Other,random
C14H26O1,210.198365,Other,random
C5H10N1O6P1,211.024577,Other,random
C5H9O7P1,212.008593,Other,random
C12H20O3,212.141245,Other,random
C5H10O7P1,213.016418,Other,random
C13H10O3,214.062995,Other,random
C12H10N2O2,214.074228,Other,random
C12H8S2,216.006744,Other,random
C11H4Cl1N1O2,216.993,Other,random
C8H11N1O6,217.058639,Other,random
C6H3I1O1,217.9228,Other,random
C6H7N2O5P1,218.009261,Other,random
C12H10O4,218.05791,Other,random
C15H22O1,218.167065,Other,random
C12H11O4,219.065735,Other,random
C4H11O2Cl2N2P1,219.9935,Other,random
C8H12O7,220.058305,Other,random
C13H16O3,220.109945,Other,random
C14H20O2,220.14633,Other,random
C16H28,220.2191,Other,random
C8H15O6N1,221.089939,Other,random
C15H26O1,222.198365,Other,random
C17H34O_1,222.271135,Other,random
C12H17O3N1,223.120844,Other,random
C3H2N2O6P2,223.938814,Other,random
C12H8N4O1,224.069811,Other,random
C12H16O4,224.10486,Other,random
C15H28O1,224.214015,Other,random
C6H10O7S1,226.014727,Other,random
C14H26O2,226.19328,Other,random
C18H26O_1,226.208535,Other,random
C10H16N2O4,228.111008,Other,random
C19H32O_2,228.26057,Other,random
C5H11O8P1,230.019158,Other,random
C8H10N2O6,230.053888,Other,random
C9H14N2O5,230.090273,Other,random
C8H12N2O4S1,232.05178,Other,random
C19H36O_2,232.29187,Other,random
C15H22O2,234.16198,Other,random
C19H38O_2,234.30752,Other,random
C6H10O5P1N3,235.03581,Other,random
C8H12O8,236.05322,Other,random
C19H26O_1,238.208535,Other,random
C6H10N1O7P1,239.019492,Other,random
H3O9P3,239.898999,Other,random
C11H12O6,240.06339,Other,random
C18H24,240.1878,Other,random
C16H32O1,240.245315,Other,random
C6H12O7N1P1,241.035142,Other,random
C6H11O8P1,242.019158,Other,random
C11H18N2O4,242.126658,Other,random
C18H26,242.20345,Other,random
C12H20O5,244.131075,Other,random
C10H15O6N1,245.089939,Other,random
C9H14N2O4S1,246.06743,Other,random
C15H18O3,246.125595,Other,random
C8H12N2O5S1,248.046695,Other,random
C16H24O2,248.17763,Other,random
C7H8N1O5P1S1,248.986084,Other,random
C7H12O5N3P1,249.05146,Other,random
C9H15N1O5S1,249.067096,Other,random
C10H12N5O3,250.094015,Other,random
C15H8O4,252.04226,Other,random
C17H16O2,252.11503,Other,random
C15H24O3,252.172545,Other,random
C20H28O_1,252.224185,Other,random
C13H6N2O4,254.032758,Other,random
C10H10O4N2S1,254.03613,Other,random
C18H22O1,254.167065,Other,random
C16H17O2N1,255.125929,Other,random
C18H24O1,256.182715,Other,random
C7H8N5O4P1,257.031393,Other,random
H5O10P3,257.909564,Other,random
C10H14N2O6,258.085188,Other,random
C13H14O2N4,258.111676,Other,random
C7H4Cl4O2,259.8965,Other,random
C13H16N4O2,260.127326,Other,random
C16H20O3,260.141245,Other,random
C18H28O1,260.214015,Other,random
C9H15N2O5P1,262.071861,Other,random
C18H30O1,262.229665,Other,random
C11H8N2O4S1,264.02048,Other,random
C10H16O8,264.08452,Other,random
C18H32O1,264.245315,Other,random
C_8H_6N7O9P3S1,264.822164,Other,random
C18H34O1,266.260965,Other,random
C_10H_12N7O11P3S1,266.765044,Other,random
C16H13N1O3,267.089544,Other,random
C17H17O2N1,267.125929,Other,random
C10H8O3N2S2,267.997637,Other,random
C7H13O7N2P1,268.046041,Other,random
C20H12O1,268.088815,Other,random
C20H28,268.2191,Other,random
C17H19O2N1,269.141579,Other,random
C19H10O2,270.06808,Other,random
C19H26O1,270.198365,Other,random
C10H10F1N3O5,271.0604502,Other,random
C10H16Cl_1O6N3S1,271.1071,Other,random
C19H28O1,272.214015,Other,random
C20H32,272.2504,Other,random
C14H10O2S2,274.012224,Other,random
C11H17N1O7,275.100504,Other,random
C14H15O5N1,277.095024,Other,random
C5H12O9P2,277.995661,Other,random
C14H14O6,278.07904,Other,random
C20H38,278.29735,Other,random
C11H13N5O2S1,279.078997,Other,random
C18H14N1F1O1,279.1059422,Other,random
C_9H_10N7O11P3S1,280.780694,Other,random
C9H16N1O7P1,281.066442,Other,random
C18H19O2N1,281.141579,Other,random
C_8H_4N7O10P3S1,282.832729,Other,random
C8H14N1O8P1,283.045707,Other,random
C17H17N1O3,283.120844,Other,random
C2H7O10P3,283.925214,Other,random
C15H8O6,284.03209,Other,random
C16H12O5,284.068475,Other,random
C20H28O1,284.214015,Other,random
C_10H_10N7O12P3S1,284.775609,Other,random
C11H14N2O7,286.080103,Other,random
C20H30O1,286.229665,Other,random
C21H34,286.26605,Other,random
C17H21O3N1,287.152144,Other,random
C18H8O4,288.04226,Other,random
C20H32O1,288.245315,Other,random
C20H34O1,290.260965,Other,random
C11H17N1O8,291.095419,Other,random
C5H10O10P2,291.974926,Other,random
C6H12O9S2,291.992279,Other,random
C12H20O8,292.11582,Other,random
C20H36O1,292.276615,Other,random
C5H_6O15,293.876775,Other,random
C11H18O9,294.095085,Other,random
C19H22O1N2,294.173213,Other,random
C20H38O1,294.292265,Other,random
C_8H_8N7O11P3S1,294.796344,Other,random
C14H12N6O2,296.102174,Other,random
C11H15N5O3S1,297.089562,Other,random
C18H19N1O3,297.136494,Other,random
C_9H_8N7O12P3S1,298.791259,Other,random
C19H25N1O2,299.188529,Other,random
C17H18O5,302.115425,Other,random
C9H11N3O7P1,304.033465,Other,random
C15H12O7,304.058305,Other,random
C10H16N4O5S1,304.084143,Other,random
C9H12N3O7P1,305.04129,Other,random
C10H15N3O6S1,305.068159,Other,random
C11H20O5N3P1,305.11406,Other,random
C12H23O6N3,305.158687,Other,random
C18H10O5,306.052825,Other,random
C10H17N3O6S1,307.083809,Other,random
neugc_C11H17N1O9,307.0903183,Other,random
C18H12O5,308.068475,Other,random
C10H17N2O7P1,308.077341,Other,random
C15H16O7,308.089605,Other,random
C12H20O9,308.110735,Other,random
C20H24O1N2,308.188863,Other,random
C19H20N1O3,310.144319,Other,random
C22H30O1,310.229665,Other,random
C19H21O3N1,311.152144,Other,random
C8H13N2O9P1,312.035871,Other,random
C22H32O1,312.245315,Other,random
C_8H_6N7O12P3S1,312.806909,Other,random
C16H10O7,314.042655,Other,random
C22H34O1,314.260965,Other,random
C12H12O10,316.04305,Other,random
C11H14N2O7P1,317.053866,Other,random
C11H13N1O8P1,318.037882,Other,random
C20H18O2N2,318.136828,Other,random
C20H30O3,318.219495,Other,random
C21H34O2,318.25588,Other,random
C22H38O1,318.292265,Other,random
C9H13O7N4P1,320.052189,Other,random
C22H40O1,320.307915,Other,random
C6H11O10N1S2,320.982443,Other,random
C9H12N3O8P1,321.036205,Other,random
C22H42O1,322.323565,Other,random
C9H14N3O8P1,323.051855,Other,random
C12H21N1O9,323.121634,Other,random
C20H21N1O3,323.152144,Other,random
C18H12O6,324.06339,Other,random
C15H16O8,324.08452,Other,random
C12H22O6P2,324.089166,Other,random
C12H20O10,324.10565,Other,random
C17H12O7,328.058305,Other,random
C10H13N6O5P1,328.068507,Other,random
C10H12N5O6P1,329.052523,Other,random
C10H11N4O7P1,330.036539,Other,random
C10H13N5O6P1,330.060348,Other,random
C21H20O2N2,332.152478,Other,random
C11H14N2O6S2,334.029332,Other,random
C9H14O7N5P1,335.063088,Other,random
C21H24N2O2,336.183778,Other,random
C9H15N4O4P2S1,337.028929,Other,random
C9H15O8N4P1,338.062754,Other,random
C9H14N3O9P1,339.04677,Other,random
C15H17N1O8,339.095419,Other,random
C18H12O7,340.058305,Other,random
C11H21N2O6P1S1,340.085798,Other,random
C25H40,340.313,Other,random
C11H20O7S1N1P1,341.069814,Other,random
C18H14O7,342.073955,Other,random
C6H2I2O1,343.8195,Other,random
C27H36O_1,344.286785,Other,random
C6H4I2O1,345.8352,Other,random
C12H10O12,346.01723,Other,random
C10H11N4O8P1,346.031454,Other,random
C10H14N5O7P1,347.063088,Other,random
C12H17N3O7S1,347.078724,Other,random
C16H28O8,348.17842,Other,random
C24H44O1,348.339215,Other,random
C3H13O11P3S1,349.939151,Other,random
C21H22O3N2,350.163043,Other,random
C25H34O1,350.260965,Other,random
C24H46O1,350.354865,Other,random
C12H16O12,352.06418,Other,random
C21H23O4N1,353.162709,Other,random
C18H14N2O6,354.085188,Other,random
C14H17O6N3S1,355.083809,Other,random
C18H30O7,358.199155,Other,random
C14H20N2O9,360.116883,Other,random
C24H40O2,360.30283,Other,random
C14H23O10N1,365.132199,Other,random
C27H44,368.3443,Other,random
C17H22O9,370.126385,Other,random
C5H11O13P3,371.941259,Other,random
C11H12N5O8P1,373.042353,Other,random
C22H18N2O4,374.126658,Other,random
C24H38O3,374.282095,Other,random
C20H7O1Cl2N3,374.9966,Other,random
C11H19O5N4P2S1,381.055144,Other,random
C27H44O1,384.339215,Other,random
C10H15N3O6S2e1,384.9847,Other,random
C9H12N2O11P2,385.991639,Other,random
C24H38O4,390.27701,Other,random
C27H40O2,396.30283,Other,random
C30H40,400.313,Other,random
C10H16O11N2P2,402.022939,Other,random
C30H48,408.3756,Other,random
C10H14N5O9P3S_1,409.028372,Other,random
C18H24O11,416.131865,Other,random
C24H32O6,416.21989,Other,random
C17H32N6O4S1,416.220576,Other,random
C27H44O3,416.329045,Other,random
C11H22N2O9P2S1,420.052131,Other,random
C23H35N1O4S1,421.228681,Other,random
C12H19O7N4P2S1,425.044974,Other,random
C19H19O5N7,425.144768,Other,random
C19H21N7O5,427.160418,Other,random
C18H34N6O4S1,430.236226,Other,random
C27H44O4,432.32396,Other,random
C3H2N7O11P3S1,436.874594,Other,random
C17H19N4O8P1,438.094054,Other,random
C27H18O6,438.11034,Other,random
C46H77N_2O_8P_1,442.663294,Other,random
C35H46O_1,450.365035,Other,random
C7H12O12N5P3,450.969539,Other,random
C30H44O3,452.329045,Other,random
C22H27O4N7,453.212453,Other,random
C18H30O13,454.168645,Other,random
C20H21N7O6,455.155333,Other,random
C25H32N2O6,456.226038,Other,random
C1N7O14P3S1,458.843689,Other,random
C9H13N2O14P3,465.957972,Other,random
C18H30O14,470.16356,Other,random
C2H2N7O14P3S1,472.859339,Other,random
C20H39N7O4S1,473.278425,Other,random
C35H56,476.4382,Other,random
C32H60O2,476.45933,Other,random
C9H14N5O12P3,476.985189,Other,random
C25H38N2O5S1,478.250145,Other,random
C4H2N7O13P3S1,480.864424,Other,random
C17H28N2O12S1,484.1363,Other,random
C17H30O12N2S1,486.15195,Other,random
C18H30O15,486.158475,Other,random
C28H30O4N4,486.226706,Other,random
C10H14N5O12P3,488.985189,Other,random
C5H4N7O13P3S1,494.880074,Other,random
C9H16O13N5P3,494.995754,Other,random
C19H20N3O11P1,497.08355,Other,random
C4H6N7O14P3S1,500.890639,Other,random
C10H14N5O13P3,504.980104,Other,random
C10H13N4O14P3,505.96412,Other,random
C5H8N7O14P3S1,514.906289,Other,random
C23H21O11N3,515.117612,Other,random
C21H25N1O14,515.127509,Other,random
C15H17N5O10P2S1,521.017143,Other,random
C46H78N_2O_5,522.629627,Other,random
C27H27O10N1,525.163499,Other,random
C18H28O18,532.12757,Other,random
C29H31O9N1,537.199884,Other,random
C15H21N5O13P2,541.061116,Other,random
C15H22N5O13P2,542.068941,Other,random
C40H64,544.5008,Other,random
C28H51N1O9,545.356384,Other,random
C29H31O10N1,553.194799,Other,random
C21H41N5O12,555.275175,Other,random
C7H10N7O15P3S1,556.916854,Other,random
C34H32O4N4,560.242356,Other,random
C27H20N2O12,564.101628,Other,random
S2O9C20H32N6,564.167223,Other,random
C44H72O_2,568.57357,Other,random
C10H15N5O15P4,568.951522,Other,random
C8H12N7O15P3S1,570.932504,Other,random
C14H24N7O10P3S1,575.051829,Other,random
C14H26N7O11P3S1,593.062394,Other,random
C35H32O4M1g1N4,596.2274,Other,random
C23H43O13N5,597.28574,Other,random
C16H28N7O10P3S1,603.083129,Other,random
C14H21N6O13P3S1,606.010025,Other,random
C35H30O5M1g1N4,610.2067,Other,random
C45H72,612.5634,Other,random
C34H63N1O8,613.455369,Other,random
C12H26N7O14P3S1,617.047139,Other,random
C17H30N7O10P3S1,617.098779,Other,random
C16H27N6O12P3S1,620.06206,Other,random
C27H24O17,620.101355,Other,random
C16H26N5O13P3S1,621.046076,Other,random
C15H23N5O16P3,622.035274,Other,random
C13H21N6O15P3S1,625.999855,Other,random
C24H27N4O14P1,626.126144,Other,random
C30H32N2O13,628.190443,Other,random
C16H26N7O12P3S1,633.057309,Other,random
C28H39O13S_2N6P1,634.287133,Other,random
C15H30N7O13P3S1,641.083524,Other,random
C21H26N7O13P2,646.106389,Other,random
C13H28N7O15P3S1,647.057704,Other,random
C17H28N7O12P3S1,647.072959,Other,random
C24H40O20,648.2113,Other,random
C10H16N5O18P5,648.917855,Other,random
C14H22N7O15P3S1,653.010754,Other,random
C15H30N7O14P3S1,657.078439,Other,random
C15H32N7O14P3S1,659.094089,Other,random
C20H29N3O18P2,661.092143,Other,random
C15H24N7O15P3S1,667.026404,Other,random
C21H33N7O12P2S1,669.138321,Other,random
C19H32N7O12P3S1,675.104259,Other,random
C50H80,680.626,Other,random
C14H20N7O17P3S1,682.984934,Other,random
C28H38N5O13P1,683.220378,Other,random
C16H30N7O15P3S1,685.073354,Other,random
C39H60O10,688.41865,Other,random
C19H31N6O14P3S1,692.08319,Other,random
C34H64N1O11P1,693.421702,Other,random
C43H71O5P1,698.503913,Other,random
C39H60O11,704.413565,Other,random
C19H29N6O15P3S1,706.062455,Other,random
C19H32N7O14P3S1,707.094089,Other,random
C43H87O5P1,714.629113,Other,random
C20H34O14N7P3S1,721.109739,Other,random
C19H29N6O16P3S1,722.05737,Other,random
C34H42O14N4,730.269756,Other,random
C23H34N4O19P2,732.129257,Other,random
C21H36N7O14P3S1,735.125389,Other,random
C39H42O11N4,742.285011,Other,random
C21H34N7O15S1P3,749.104654,Other,random
C21H35N7O15P3S1,750.112479,Other,random
C29H34N5O17P1,755.168738,Other,random
C30H43N6O15P1,758.252407,Other,random
C21H32N7O16P3S1,763.083919,Other,random
C21H36N7O16P3S1,767.115219,Other,random
C29H49O17N3P2,773.253728,Other,random
C22H38N7O16P3S1,781.130869,Other,random
C22H35N8O16P3S1,792.110468,Other,random
C23H37N7O16P3S1,792.123044,Other,random
H39C24O16N7P3S1,806.138694,Other,random
C23H38O17N7P3S1,809.125784,Other,random
C30H50O25,810.264125,Other,random
C24H40O17N7P3S1,823.141434,Other,random
C31H52N7O17P1,825.315736,Other,random
H41C26O16N7P3S1,832.154344,Other,random
C25H41O16N8P3S1,834.157418,Other,random
C27H40O17N7P3S1,859.141434,Other,random
C28H41N5O22P2,861.171851,Other,random
C43H50O15N4,862.327271,Other,random
C45H72O16,868.48204,Other,random
C32H52N7O19P1,869.305566,Other,random
C41H60N12O10,880.455538,Other,random
H49C31O16N7P3S1,900.216944,Other,random
C46H63N10O7o1,914.4213,Other,random
C30H48O18N7P3S1,919.198949,Other,random
C44H48O15o1N4,919.2448,Other,random
C44H49O15o1N4,920.2527,Other,random
C60H98O6N1P1,959.713177,Other,random
C36H60O30,972.31695,Other,random
C34H53N7O23P2,989.266814,Other,random
C35H53N7O25P2,1033.256644,Other,random
C51H80O22,1044.51413,Other,random
C37H58N8O24P2,1060.303928,Other,random
C38H58N8O26P2,1104.293758,Other,random
C56H75N15O10o1,1164.5154,Other,random
C60H64O28,1232.35842,Other,random
C59H83N16O13P1o1,1301.5395,Other,random
