Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
309.089931724963,0,0,0,0,0,0,0,0,,None,310.097208191843,0,1,NA,NA,NA,NA,NA,NA,NA,308.744799145918,0.255200854082318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.092467825971,0,0,0,0,0,0,0,0,,None,310.099744292851,0,0,NA,NA,NA,NA,NA,NA,NA,308.747332415093,0.252667584907272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.097975360503,15,18,7,0,0,0,0,0,CHO,Lignin,310.105251827383,0.00356368307418238,1,C15H18O7,0,0.304347826086957,7,0,0,67.9,308.752833799862,0.247166200137542,-0.266666666666667,0.466666666666667,1.2,0,0,NA,Lignin,Lignin,Other,67.9,-142.523575004171,0.0700326590252781,0.0618199067663912,1018.5,-2137.85362506257
309.109272591537,14,18,6,2,0,0,0,0,CHON,Lignin,310.116549058417,-0.202303350162695,1,C14H18O6N2,0,0.222222222222222,7,1,-1,60.3,308.764118416307,0.235881583692674,0,0.428571428571429,1.28571428571429,0.142857142857143,0,NA,Lignin,Lignin,Protein,60.3,-133.761524868223,0.0826402046717468,0.0732315805816258,844.2,-1872.66134815512
309.111084421564,0,0,0,0,0,0,0,0,,None,310.118360888444,0,1,NA,NA,NA,NA,NA,NA,NA,308.765928223229,0.234071776771259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.128867575889,0,0,0,0,0,0,0,0,,None,310.136144042769,0,0,NA,NA,NA,NA,NA,NA,NA,308.783691520725,0.216308479275256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.134353166055,16,22,6,0,0,0,0,0,CHO,Lignin,310.141629632935,0.0283930439554365,1,C16H22O6,0,0.230769230769231,6,0,0,78.1125,308.789170985632,0.210829014368244,-0.625,0.375,1.375,0,0,NA,Lignin,Lignin,Other,78.1125,-146.627868873126,0.0553982333765033,0.0502743808432079,1249.8,-2346.04590197002
309.145865583266,0,0,0,0,0,0,0,0,,None,310.153142050146,0,1,NA,NA,NA,NA,NA,NA,NA,308.800670547975,0.199329452025154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.147434227219,0,0,0,0,0,0,0,0,,None,310.154710694099,0,1,NA,NA,NA,NA,NA,NA,NA,308.802237440366,0.197762559634043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.153036500828,17,26,3,0,0,1,0,0,CHOS,Lipid,310.160312967708,-0.153394248154472,1,C17H26O3S,0.0769230769230769,0.172413793103448,5,2,1,90.4764705882353,308.807833458426,0.192166541573727,-1.05882352941176,0.176470588235294,1.52941176470588,0,0,NA,Other,Lipid,Other,90.4764705882353,-153.947041702537,0.0435872598930757,0.0393052040358774,1538.1,-2617.09970894313
309.165257980411,0,0,0,0,0,0,0,0,,None,310.172534447291,0,0,NA,NA,NA,NA,NA,NA,NA,308.820041291396,0.179958708604033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.170753415953,17,26,5,0,0,0,0,0,CHO,Lipid,310.178029882833,-0.0191429824001587,1,C17H26O5,0,0.172413793103448,5,0,0,87.1235294117647,308.825530590686,0.17446940931444,-0.941176470588236,0.294117647058824,1.52941176470588,0,0,NA,Other,Lipid,Other,87.1235294117647,-150.249304639851,0.0457734572745861,0.0416627241479679,1481.1,-2554.23817887746
309.17409112543,14,30,5,0,0,1,0,0,CHOS,Protein,310.18136759231,0.0875977515309475,1,C14H30O5S,0,0,0,-5,-6,96.9428571428571,308.828864573246,0.171135426753722,-1.28571428571429,0.357142857142857,2.14285714285714,0,0,NA,Other,Protein,Other,96.9428571428571,-157.0494327582,0.048108907494817,0.0433422320818193,1357.2,-2198.6920586148
309.18379364592,0,0,0,0,0,0,0,0,,None,310.1910701128,0,0,NA,NA,NA,NA,NA,NA,NA,308.838556259815,0.161443740184723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.2016603178,0,0,0,0,0,0,0,0,,None,310.20893678468,0,1,NA,NA,NA,NA,NA,NA,NA,308.85640298161,0.143597018390153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309.207092865879,18,30,4,0,0,0,0,0,CHO,Lipid,310.214369332759,0.129325539940353,1,C18H30O4,0,0.125,4,0,0,95.1333333333333,308.861829463657,0.138170536342898,-1.22222222222222,0.222222222222222,1.66666666666667,0,0,NA,Lipid,Lipid,Other,95.1333333333333,-153.468358654717,0.0384371945724269,0.0350573323370597,1712.4,-2762.43045578491
310.033097685578,20,9,1,1,0,1,0,0,CHONS,ConHC,311.040374152458,0.355110625971956,2,C20H9ONS,0.823529411764706,0.828571428571429,17,16,14,63.15,309.686911958995,0.313088041004733,-0.0999999999999996,0.05,0.45,0.05,0,NA,Other,Cond Hydrocarbon,Other,63.15,-140.614601111634,0.0574545598331949,0.0482983460263744,1263,-2812.29202223269
310.051262032608,0,0,0,0,0,0,0,0,,None,311.058538499488,0,1,NA,NA,NA,NA,NA,NA,NA,309.705056023553,0.294943976446916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.069356802076,0,0,0,0,0,0,0,0,,None,311.076633268956,0,1,NA,NA,NA,NA,NA,NA,NA,309.72313058824,0.276869411760117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
