Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
84,159.066405,159.06632888865147,159.06628233291582,1353502.9,nan,683983.9,9.62,-1,0.29268135878829066,0.9845768481348997,0.0,0.5907461088809398,2.0,1.7142857142857142,0.5714285714285714,O4,de-protonated,0,,C7 H12 O4,7,12,4,,,,,,,
115,171.066343,171.06622018535978,171.06628233291582,1223221.8,nan,888573.3,8.3,-1,-0.36329518119508963,0.9763362704722317,0.0,0.585801762283339,3.0,1.5,0.5,O4,de-protonated,0,,C8 H12 O4,8,12,4,,,,,,,
130,179.035056,179.03490217143892,179.0349822039598,1201716.9,nan,805690.7,7.99,-1,-0.44702169318571133,0.9643908701298209,0.0,0.5786345220778926,6.0,0.8888888888888888,0.4444444444444444,O4,de-protonated,0,,C9 H8 O4,9,8,4,,,,,,,
214,209.095115,209.09484417885915,209.09481955701582,1149463.3,nan,528590.4,7.13,-1,0.11775443971049059,0.9974871753489176,0.0,0.5984923052093506,0.0,2.375,0.5,P1 O4,de-protonated,0,,C8 H19 O4 P1,8,19,4,,,,,1,,
221,211.134349,211.1340702422398,211.1339679712561,2401406.0,nan,578124.4,17.44,-1,0.48438905720178205,0.9583197333193395,0.0,0.5749918399916036,3.0,1.6666666666666667,0.25,O3,de-protonated,0,,C12 H20 O3,12,20,3,,,,,,,
231,213.077218,213.07693168066925,213.0768470169655,8743248.0,nan,521068.0,69.92,-1,0.39733882367214723,0.9717596475866084,0.0,0.583055788551965,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,,,
232,213.113585,213.1132985391303,213.11323252634983,1857885.9,nan,513530.5,12.94,-1,0.30975448918254755,0.9827410614480463,0.0,0.5896446368688277,3.0,1.6363636363636365,0.36363636363636365,O4,de-protonated,0,,C11 H18 O4,11,18,4,,,,,,,
234,213.964175,213.96388522866715,213.9638088409311,1868190.5,nan,476933.1,13.02,-1,0.3570124146598792,0.9771383187135645,0.0,0.5862829912281387,6.0,0.7142857142857143,0.42857142857142855,N1 S2 O3,de-protonated,0,,C7 H5 O3 S2 N1,7,5,3,2,1,,,,,
235,214.108859,214.10856866556264,214.10848149854283,1293525.4,nan,492178.0,8.27,-1,0.4071161460004964,0.9703737712099049,0.0,0.5822242627259429,3.0,1.7,0.4,N1 O4,de-protonated,0,,C10 H17 O4 N1,10,17,4,,1,,,,,
238,215.056502,215.05620797737296,215.05611157205922,6820926.0,nan,510138.6,53.65,-1,0.4482798142129783,0.9641937848108489,0.0,0.5785162708865094,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,,,
239,215.092859,215.09256483587293,215.0924970814435,8751180.0,nan,495027.5,69.52,-1,0.3150013615396949,0.9821567093459221,0.0,0.5892940256075533,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,,
240,215.129261,215.1289666941978,215.12888259082783,3948122.0,nan,522583.0,30.03,-1,0.39094411200660517,0.9726488782117945,0.0,0.5835893269270767,2.0,1.8181818181818181,0.36363636363636365,O4,de-protonated,0,,C11 H20 O4,11,20,4,,,,,,,
242,217.042769,217.0424672468991,217.0423900599604,9511740.0,nan,518747.5,75.76,-1,0.3556307072599628,0.9797959429707316,0.9929402959325054,0.9850536841554411,8.0,0.9166666666666666,0.16666666666666666,P1 O2,de-protonated,0,,C12 H11 O2 P1,12,11,2,,,,,1,,
245,217.072143,217.07184113257665,217.07176163653722,9639752.0,nan,523056.7,76.81,-1,0.36622008700575254,0.9759583369170309,0.0,0.5855750021502185,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,,
247,217.108557,217.10825499085476,217.10814714592152,8443734.0,nan,528732.9,66.98,-1,0.49673370003564016,0.9562160080938054,0.0,0.5737296048562832,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,,,
248,218.046119,218.04581334189996,218.0457448950327,1158468.6,nan,511198.8,7.09,-1,0.31391058464916954,0.9822789701979606,0.9929402959325054,0.9865435004917786,8.0,1.0,0.18181818181818182,13C1 P1 O2,de-protonated,1,242,C11 H11 O2 13C1 P1,11,11,2,,,1,,1,,
248,218.046119,218.04581334189996,218.04588124063082,1158468.6,nan,511198.8,7.09,-1,-0.3113965302873071,0.982559202794741,0.0,0.5895355216768445,8.0,0.8181818181818182,0.36363636363636365,N1 O4,de-protonated,0,,C11 H9 O4 N1,11,9,4,,1,,,,,
250,219.030296,219.02998651152137,219.02989682353152,2170696.8,nan,522959.6,15.41,-1,0.4094783002544259,0.9700341994585058,0.0,0.5820205196751035,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,,,
252,219.051399,219.05108942938932,219.0510261916309,1521361.0,nan,475854.0,10.07,-1,0.2886896241051325,0.9849915250960256,0.0,0.5909949150576154,3.0,1.5,0.875,O7,de-protonated,0,,C8 H12 O7,8,12,7,,,,,,,
253,219.066682,219.06637236990846,219.06628233291582,2469207.0,nan,506029.8,17.86,-1,0.4110034263908644,0.9698139746464822,0.0,0.5818883847878893,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,,,,
254,219.087804,219.08749428770247,219.0874117010152,6149727.5,nan,482322.4,48.12,-1,0.37695770201863577,0.9745462179840308,0.0,0.5847277307904185,2.0,1.7777777777777777,0.6666666666666666,O6,de-protonated,0,,C9 H16 O6,9,16,6,,,,,,,
