Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
141,194.082275,194.08217725705998,194.0822667500151,4313385.0,nan,572555.3,34.44,-1,-0.4611083568369567,0.9621549351588974,0.0,0.5772929610953385,5.0,1.3,0.3,N1 O3,de-protonated,0,,C10 H13 O3 N1,10,13,3,,1,,,,,
194,220.147385,220.14714483833055,220.1471894834994,1420556.9,nan,563829.8,9.23,-1,-0.20279690583738452,0.9925654094902331,0.0,0.5955392456941399,0.0,2.4,0.2,N1 P1 O2,de-protonated,0,,C10 H24 O2 N1 P1,10,24,2,,1,,,1,,
213,227.020111,227.0198332860277,227.0197260626749,1624522.5,nan,495790.0,10.82,-1,0.47230852874799467,0.9603315125680281,0.0,0.5761989075408168,6.0,0.8888888888888888,0.7777777777777778,O7,de-protonated,0,,C9 H8 O7,9,8,7,,,,,,,
242,236.096589,236.09626169251112,236.09620273743482,1208376.6,nan,477715.4,7.28,-1,0.24970785474142607,0.9887497095112816,0.0,0.593249825706769,1.0,2.111111111111111,0.4444444444444444,N1 S1 O4,de-protonated,0,,C9 H19 O4 S1 N1,9,19,4,1,1,,,,,
253,238.963399,238.96305602837475,238.96308056511668,2621078.5,nan,519980.2,18.65,-1,-0.10268005364867716,0.9980887801160435,0.0,0.5988532680696261,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,,
255,239.038346,239.0380026188673,239.0379733847747,1474487.3,nan,443578.4,9.42,-1,0.1222989477113911,0.9972897454709231,0.0,0.5983738472825538,11.0,0.6923076923076923,0.07692307692307693,N2 P1 O1,de-protonated,0,,C13 H9 O1 N2 P1,13,9,1,,2,,,1,,
256,239.056573,239.0562295192757,239.05611157205922,9314495.0,nan,438614.2,72.57,-1,0.4933871620804199,0.4783955414658278,0.8929744756128384,0.644227115124632,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,,
265,240.051809,240.05146008134557,240.05136054425222,1206643.8,nan,602235.7,7.2,-1,0.41464915309130596,0.9692844269037524,0.0,0.5815706561422515,6.0,1.1,0.6,N1 O6,de-protonated,0,,C10 H11 O6 N1,10,11,6,,1,,,,,
280,242.176641,242.1762804713476,242.1761671368831,1446685.9,nan,630050.1,9.12,-1,0.46798355864385105,0.9610404063114142,0.0,0.5766242437868485,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,,,
291,245.049358,245.04898177493564,245.0489181913795,1907998.9,nan,548845.4,12.79,-1,0.25947291100242087,0.9878580664334337,0.0,0.5927148398600601,4.0,1.4,0.5,S1 O5,de-protonated,0,,C10 H14 O5 S1,10,14,5,1,,,,,,
