Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
78,159.066421,159.06633704104382,159.06628233291582,1368511.4,nan,504634.8,9.76,-1,0.34393290144404165,0.9787651663174665,0.0,0.5872590997904799,2.0,1.7142857142857142,0.5714285714285714,O4,de-protonated,0,,C7 H12 O4,7,12,4,,,,,,,
173,213.113641,213.11332286587634,213.11323252634983,1189121.9,nan,552663.0,7.44,-1,0.42390388169452353,0.9679204923039451,0.0,0.5807522953823671,3.0,1.6363636363636365,0.36363636363636365,O4,de-protonated,0,,C11 H18 O4,11,18,4,,,,,,,
179,215.092931,215.0926042900316,215.0924970814435,6348909.5,nan,474040.7,50.0,-1,0.4984301617190952,0.9559231333157155,0.0,0.5735538799894293,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,,
183,217.072176,217.07184071438186,217.07176163653722,4287847.0,nan,505131.8,32.97,-1,0.3642935591879881,0.9762075920877785,0.0,0.5857245552526671,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,,
186,219.030321,219.02997723015392,219.02989682353152,1948517.5,nan,566873.8,13.64,-1,0.3671034117631614,0.9758436337025492,0.0,0.5855061802215296,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,,,
188,220.061917,220.06156876046674,220.06153130510882,1314686.4,nan,519721.4,8.35,-1,0.17020402295750872,0.9947573297335915,0.0,0.5968543978401549,7.0,1.0,0.36363636363636365,N1 O4,de-protonated,0,,C11 H11 O4 N1,11,11,4,,1,,,,,
190,221.009581,221.00922865443917,221.0091613786252,1993593.0,nan,525219.7,13.92,-1,0.3044028290131941,0.983327321899533,0.0,0.5899963931397197,8.0,0.6,0.6,O6,de-protonated,0,,C10 H6 O6,10,6,6,,,,,,,
192,221.045942,221.04558949689465,221.0455468880095,3500935.5,nan,504459.6,26.29,-1,0.19276065832709993,0.9932806472754838,0.0,0.5959683883652903,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,,,
195,221.082384,221.08203133899917,221.0819323973938,8137110.0,nan,467330.5,64.33,-1,0.4475336554443422,0.9725117682511134,0.9597958408171957,0.9674253972775464,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,,,
196,222.041193,222.04083618468266,222.0407958602025,1446296.5,nan,497361.1,9.43,-1,0.1816084291943332,0.9940333993806687,0.0,0.5964200396284012,7.0,0.9,0.5,N1 O5,de-protonated,0,,C10 H9 O5 N1,10,9,5,,1,,,,,
197,222.085717,222.0853599917696,222.0852872324661,1502122.5,nan,474213.1,9.88,-1,0.3276187468295252,0.9807128035489424,0.9597958408171957,0.9723460184562438,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,195,C11 H14 O4 13C1,11,14,4,,,1,,,,
200,223.025244,223.0248829209979,223.02481144310323,1912743.8,nan,516618.4,13.25,-1,0.3204930169066643,0.9815349646272522,0.0,0.5889209787763513,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,,
