Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O
183,207.012373,207.0121952781451,207.0121387588021,1444750.6,nan,511648.7,9.71,-1,0.27302429379043036,0.9865654638068396,0.0,0.5919392782841038,7.0,0.8,0.3,S1 O3,de-protonated,0,,C10 H8 O3 S1,10,8,3,1,,,,,
201,211.097841,211.09765331456472,211.0975824618718,2212725.8,nan,443255.5,16.07,-1,0.3356395278819027,0.9797665981522767,0.0,0.587859958891366,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,,
207,212.020354,212.02016406475335,212.0200604152962,1408694.3,nan,459749.6,9.34,-1,0.48886627492754314,0.957562329331166,0.0,0.5745373975986996,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,,,
217,213.077102,213.07690948757156,213.0768470169655,1496617.1,nan,629348.3,10.07,-1,0.29318345436420096,0.9845242977783135,0.0,0.5907145786669881,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,,
223,215.038578,215.0383807039522,215.03835350732982,1293155.5,nan,415254.1,8.32,-1,0.1264733567482836,0.9971018435169235,0.0,0.5982611061101542,4.0,1.3333333333333333,0.4444444444444444,S1 O4,de-protonated,0,,C9 H12 O4 S1,9,12,4,1,,,,,
224,215.05637,215.05617266056132,215.05611157205922,1430505.9,nan,429384.5,9.46,-1,0.2840584331537552,0.9854657093742133,0.0,0.591279425624528,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,,
225,215.092754,215.0925565718286,215.0924970814435,2044918.9,nan,546009.5,14.57,-1,0.2765804754016583,0.9862156498328749,0.0,0.5917293898997249,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,
228,217.07203,217.07182774479884,217.07176163653722,1480132.9,nan,421156.8,9.87,-1,0.30454565403651024,0.9833118039846904,0.0,0.5899870823908142,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,
229,217.108453,217.10825065597095,217.10814714592152,2027986.1,nan,539276.2,14.43,-1,0.4767672277088613,0.9595944280003446,0.0,0.5757566568002067,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,,
233,219.030141,219.02993396938598,219.02989682353152,1431319.3,nan,491135.2,9.45,-1,0.16959262183914733,0.9947948291472258,0.0,0.5968768974883355,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,,
234,221.045856,221.04564405348933,221.0455468880095,1623691.3,nan,379050.7,10.98,-1,0.43957221117059464,0.9655472965162811,0.0,0.5793283779097687,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,,
235,221.082236,221.0820239647663,221.0819323973938,14923161.0,nan,473663.5,121.03,-1,0.4141784518541349,0.9838438190370085,0.9964610781285451,0.9888907226736231,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,,
236,222.077502,222.077287537526,222.0771813695868,1328274.9,nan,457903.4,8.54,-1,0.47806775340383023,0.9593782358718222,0.0,0.5756269415230933,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,,,
237,222.085523,222.08530851796448,222.0852872324661,1883925.9,nan,448302.6,13.13,-1,0.09584380236287311,0.998334594445851,0.9964610781285451,0.9975851879189287,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,235,C11 H14 O4 13C1,11,14,4,,,1,,,
241,223.025097,223.02488022654495,223.02481144310323,1649021.3,nan,476348.1,11.19,-1,0.308411612475597,0.9828890973197871,0.0,0.5897334583918723,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,
244,224.956486,224.95626451630136,224.9562949082681,1515623.6,nan,574631.8,10.01,-1,-0.13510165049662787,0.9966935940817472,0.0,0.5980161564490483,3.0,1.75,0.75,N2 S2 P1 O3,de-protonated,0,,C4 H7 O3 S2 N2 P1,4,7,3,2,2,,,1,
245,225.040742,225.04052031081903,225.04046150758123,1920136.5,nan,508679.0,13.34,-1,0.2613007341534395,0.9876874605336586,0.0,0.5926124763201952,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,,
246,225.077114,225.0768922221155,225.0768470169655,1624982.6,nan,495087.9,10.91,-1,0.20084318134481646,0.9927074465418882,0.0,0.5956244679251329,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,,
249,227.056399,227.05617239506384,227.05611157205922,2507678.8,nan,413886.7,18.17,-1,0.26787653587358784,0.9870640327401018,0.0,0.5922384196440611,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,,,
250,227.09282,227.09259330624081,227.0924970814435,2771117.0,nan,492683.1,20.33,-1,0.4237251276656481,0.9679471033001759,0.0,0.5807682619801054,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,,,
251,227.129185,227.12895821755438,227.12888259082783,1834171.4,nan,477819.9,12.63,-1,0.33296833803410286,0.9800841561582657,0.0,0.5880504936949594,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,,,
252,228.160842,228.1606127015642,228.1605170724051,1266004.3,nan,549267.0,7.95,-1,0.4191310587741037,0.9686274166769889,0.0,0.5811764500061933,2.0,1.9166666666666667,0.25,N1 O3,de-protonated,0,,C12 H23 O3 N1,12,23,3,,1,,,,
256,229.072046,229.07181447933303,229.07176163653722,3580351.5,nan,499250.7,26.81,-1,0.2306822780454159,0.99039079902038,0.0,0.594234479412228,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,,,
257,229.108457,229.1082253905344,229.10814714592152,2309326.0,nan,430706.9,16.42,-1,0.34151824734318276,0.9790591538978465,0.0,0.5874354923387078,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,,,
258,229.144833,229.14460130182115,229.14453265530582,3112924.5,nan,505346.0,22.99,-1,0.2995773651472896,0.9838474718227255,0.0,0.5903084830936353,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,,
260,231.033582,231.03334569556733,231.0332681269015,1575636.5,nan,536010.0,10.42,-1,0.3357467366452126,0.9797538020895561,0.0,0.5878522812537337,4.0,1.3333333333333333,0.5555555555555556,S1 O5,de-protonated,0,,C9 H12 O5 S1,9,12,5,1,,,,,
262,231.087686,231.0874495636193,231.0874117010152,2568426.3,nan,481921.8,18.53,-1,0.1638453769313145,0.9951407985172614,0.0,0.5970844791103569,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,,,
263,231.124127,231.1238904747475,231.12379721039952,2032889.1,nan,437217.1,14.16,-1,0.40352550930314496,0.9708864058504673,0.0,0.5825318435102803,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,,,
265,232.094176,232.09393710900602,232.0938940625005,1871234.9,nan,467104.3,12.83,-1,0.18547021964634214,0.9937777488014525,0.0,0.5962666492808715,3.0,1.875,0.625,N3 O5,de-protonated,0,,C8 H15 O5 N3,8,15,5,,3,,,,
269,233.045864,233.04562278804303,233.0455468880095,1261959.3,nan,364247.8,7.85,-1,0.3256875513638394,0.9809373408320238,0.0,0.5885624044992143,8.0,0.8333333333333334,0.4166666666666667,O5,de-protonated,0,,C12 H10 O5,12,10,5,,,,,,
271,233.082236,233.08199469933953,233.0819323973938,1663766.3,nan,406575.3,11.13,-1,0.26729633256930807,0.987119646937697,0.0,0.5922717881626182,7.0,1.0769230769230769,0.3076923076923077,O4,de-protonated,0,,C13 H14 O4,13,14,4,,,,,,
272,233.154973,233.1547315219496,233.15470341616242,26490932.0,nan,449273.0,213.99,-1,0.12054565817657702,0.9969038589429107,0.991357135085124,0.994685169399796,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,,
273,234.158335,234.15809107496483,234.1580582512347,4022736.0,nan,447791.3,30.2,-1,0.14017766618152125,0.9964409221635558,0.991357135085124,0.9944074073321831,5.0,1.5714285714285714,0.14285714285714285,13C1 O2,de-protonated,1,272,C14 H22 O2 13C1,14,22,2,,,1,,,
274,235.025078,235.02483196116452,235.02481144310323,1525557.6,nan,452208.4,9.93,-1,0.08730168174543293,0.998618029463687,0.0,0.5991708176782122,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,,,
276,235.061524,235.06127787228053,235.0611969524875,2196292.8,nan,547939.2,15.38,-1,0.34424989777149606,0.9787264243402181,0.0,0.5872358546041309,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,,,
280,237.040795,237.040544045263,237.04046150758123,2767483.5,nan,442623.8,20.01,-1,0.34820081454574636,0.9782406952654378,0.0,0.5869444171592626,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,,
281,237.077208,237.0769569564595,237.0768470169655,3072138.8,nan,483281.3,22.48,-1,0.46372935771226165,0.9617318419708152,0.0,0.5770391051824891,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,,,
283,237.11355,237.11329886782914,237.11323252634983,1181337.9,nan,429812.7,7.13,-1,0.27978817801143685,0.9858963401025256,0.0,0.5915378040615153,5.0,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,,C13 H18 O4,13,18,4,,,,,,
286,238.963234,238.9629783568465,238.96308056511668,4677538.5,nan,413143.8,35.5,-1,-0.4277157373036064,0.9673505279273455,0.0,0.5804103167564073,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,
287,239.019979,239.0197232184576,239.01972606267492,2264250.3,nan,415302.0,15.91,-1,-0.011899508684791936,0.9999743075032798,0.0,0.5999845845019678,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,,
288,239.056404,239.05614812962483,239.05611157205922,3708873.5,nan,462259.9,27.64,-1,0.15292462245454577,0.9957656421619395,0.0,0.5974593852971637,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,
289,239.067697,239.06744110208365,239.0673449613515,2600910.3,nan,502087.1,18.65,-1,0.40214916081311264,0.9710817741341896,0.0,0.5826490644805138,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,,,
290,239.092811,239.092555040836,239.0924970814435,3058137.0,nan,457470.2,22.36,-1,0.24241410004180347,0.9893938869724125,0.0,0.5936363321834475,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,,
291,239.129195,239.12893895210323,239.12888259082783,21242344.0,nan,447405.0,169.95,-1,0.2356941360961211,0.9904051926865753,0.9832282175496929,0.9875344026318225,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,,,
292,239.140483,239.1402269245742,239.1401159801201,1219181.0,nan,402988.6,7.43,-1,0.4639307530578017,0.9616992403813567,0.0,0.577019544228814,4.0,1.6666666666666667,0.25,N2 O3,de-protonated,0,,C12 H20 O3 N2,12,20,3,,2,,,,
295,240.13255,240.13229150513553,240.13223742590012,2553232.5,nan,469157.3,18.13,-1,0.22520606142376667,0.9908395422391018,0.9832282175496929,0.9877950123633383,4.0,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,291,C12 H20 O4 13C1,12,20,4,,,1,,,
298,241.035694,241.035433302561,241.03537612715292,2258960.0,nan,476897.4,15.75,-1,0.23720753771701855,0.9898422928385219,0.0,0.5939053757031131,6.0,1.0,0.7,O7,de-protonated,0,,C10 H10 O7,10,10,7,,,,,,
299,241.072109,241.07184821375262,241.07176163653722,3489567.5,nan,473863.5,25.67,-1,0.3591346195459924,0.9768688927158049,0.0,0.5861213356294829,5.0,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,,C11 H14 O6,11,14,6,,,,,,
300,241.108477,241.10821612505885,241.10814714592152,2157359.0,nan,514401.1,14.94,-1,0.28609210489674874,0.9852583994688482,0.0,0.5911550396813089,4.0,1.5,0.4166666666666667,O5,de-protonated,0,,C12 H18 O5,12,18,5,,,,,,
305,241.144826,241.14456503641142,241.14453265530582,2649406.3,nan,466883.5,18.9,-1,0.13428090299714304,0.9967335796470425,0.0,0.5980401477882255,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,,
308,242.067306,242.06704278668053,242.06701060873021,3140807.8,nan,471274.4,22.86,-1,0.1329299281046924,0.9967988699189607,0.0,0.5980793219513764,5.0,1.3,0.6,N1 O6,de-protonated,0,,C10 H13 O6 N1,10,13,6,,1,,,,
309,242.140156,242.139892609015,242.13978162749882,22066918.0,nan,444626.4,175.41,-1,0.4583365666999137,0.4812999805474535,0.8843699161556753,0.6425279547907422,3.0,1.75,0.3333333333333333,N1 O4,de-protonated,0,,C12 H21 O4 N1,12,21,4,,1,,,,
310,242.176475,242.17621152044075,242.1761671368831,20387574.0,nan,436090.8,161.88,-1,0.18326971714510623,0.9939870735736112,0.986204255575352,0.9908739463743075,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,,
312,243.051385,243.05111938672286,243.0510261916309,1401196.9,nan,491330.0,8.83,-1,0.38343838086042176,0.9736752092896007,0.0,0.5842051255737604,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,,,
313,243.08777,243.08750429798766,243.0874117010152,2502780.5,nan,491872.9,17.71,-1,0.3809204754890981,0.9740152888103701,0.0,0.5844091732862221,4.0,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,,C11 H16 O6,11,16,6,,,,,,
314,243.12411,243.12384420936218,243.12379721039952,3192972.0,nan,448170.9,23.28,-1,0.1933128850352708,0.9932422230740224,0.0,0.5959453338444134,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,,
318,243.1605,243.16023412061477,243.16018271978382,5837979.5,nan,448746.6,44.6,-1,0.21138670969971776,0.9919248655090471,0.0,0.5951549193054283,2.0,1.8461538461538463,0.3076923076923077,O4,de-protonated,0,,C13 H24 O4,13,24,4,,,,,,
319,243.179832,243.17956607346818,243.17952197195538,2526884.0,nan,472901.6,17.91,-1,0.1813537276550554,0.9940500738247736,0.986204255575352,0.9909117465250049,2.0,2.0833333333333335,0.25,13C1 N1 O3,de-protonated,1,310,C12 H25 O3 N1 13C1,12,25,3,,1,1,,,
325,245.049222,245.04895151442682,245.0489181913795,3875273.0,nan,464479.1,28.77,-1,0.1359852863860442,0.9966502741270195,0.0,0.5979901644762117,4.0,1.4,0.5,S1 O5,de-protonated,0,,C10 H14 O5 S1,10,14,5,1,,,,,
326,245.066948,245.0666774711969,245.0666762561089,1838032.6,nan,463996.5,12.35,-1,0.004958193458515809,0.9999955393330777,0.0,0.5999973235998466,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,,,
327,245.103378,245.10310738235194,245.1030617654932,3264992.3,nan,443506.5,23.68,-1,0.18611296978154804,0.9937346830607549,0.0,0.5962408098364529,3.0,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,,C11 H18 O6,11,18,6,,,,,,
328,245.139835,245.13956429344114,245.1394472748775,1438192.1,nan,485136.1,9.06,-1,0.4773550929040024,0.9594967714789716,0.0,0.5756980628873829,2.0,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H22 O5,12,22,5,,,,,,
330,246.10985,246.10957692778257,246.1095441269785,1303956.0,nan,541642.1,7.98,-1,0.13327725334803842,0.9967821469325033,0.0,0.598069288159502,3.0,1.8888888888888888,0.5555555555555556,N3 O5,de-protonated,0,,C9 H17 O5 N3,9,17,5,,3,,,,
331,247.0252,247.0249246954402,247.02481144310323,1330081.6,nan,398589.9,8.19,-1,0.4584654323253332,0.9625793259439432,0.0,0.5775475955663659,9.0,0.6666666666666666,0.5,O6,de-protonated,0,,C12 H8 O6,12,8,6,,,,,,
332,247.061498,247.06122260691717,247.0611969524875,1784113.5,nan,413312.5,11.82,-1,0.10383836061566815,0.9980454593600542,0.0,0.5988272756160324,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,,
334,247.082628,247.08235255538563,247.0823263205869,2195514.8,nan,465625.6,15.11,-1,0.10617837024290204,0.9979564662618932,0.0,0.5987738797571359,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,,,
336,247.119068,247.11879246651628,247.1187118299712,1310538.5,nan,412576.3,8.03,-1,0.32630691735713935,0.9808654670576442,0.0,0.5885192802345866,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,,,
337,247.170666,247.17039034067983,247.17035348064042,2318945.0,nan,398931.3,16.1,-1,0.14912807663348812,0.9959728601804416,0.0,0.597583716108265,5.0,1.5,0.125,O2,de-protonated,0,,C16 H24 O2,16,24,2,,,,,,
338,248.020384,248.02010626839984,248.02006041529623,1185363.3,nan,478876.7,7.03,-1,0.1848765923922118,0.9938173925033017,0.0,0.596290435501981,9.0,0.6363636363636364,0.5454545454545454,N1 O6,de-protonated,0,,C11 H7 O6 N1,11,7,6,,1,,,,
339,248.114323,248.11404503930277,248.1139608021642,1595900.3,nan,501181.1,10.31,-1,0.3395098699546182,0.9793021655057279,0.0,0.5875812993034367,2.0,1.9,0.6,N1 O6,de-protonated,0,,C10 H19 O6 N1,10,19,6,,1,,,,
340,249.040786,249.04050577985814,249.04046150758123,2488977.3,nan,437856.6,17.45,-1,0.17777142172557547,0.994282145037663,0.0,0.5965692870225978,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,,
341,249.077179,249.07689869110342,249.0768470169655,2385057.3,nan,432330.9,16.62,-1,0.20746263067152682,0.9922207300698382,0.0,0.595332438041903,7.0,1.0769230769230769,0.38461538461538464,O5,de-protonated,0,,C13 H14 O5,13,14,5,,,,,,
345,249.149949,249.149668513633,249.1496180357341,4270273.0,nan,440608.8,31.71,-1,0.2026007476688627,0.9925797314921073,0.0,0.5955478388952644,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,,,
346,249.153294,249.15301350547526,249.1529893391041,1490370.6,nan,452691.6,9.46,-1,0.09699410481120527,0.9982944129905041,0.0,0.5989766477943025,0.0,2.1666666666666665,0.25,S1 O3,de-protonated,0,,C12 H26 O3 S1,12,26,3,1,,,,,
349,250.14521,250.14492708640483,250.1448670079271,3769461.8,nan,434766.4,27.7,-1,0.2401747373396287,0.9895879162848686,0.0,0.5937527497709212,5.0,1.5,0.21428571428571427,N1 O3,de-protonated,0,,C14 H21 O3 N1,14,21,3,,1,,,,
353,251.056421,251.0561358641566,251.05611157205922,2695174.5,nan,463852.5,18.95,-1,0.09675963364071566,0.9983026421181926,0.0,0.5989815852709156,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,,,
354,251.059832,251.0595468558379,251.0594828754292,1416200.0,nan,491214.5,8.8,-1,0.25484163340289984,0.9882851096742545,0.0,0.5929710658045527,2.0,1.7777777777777777,0.6666666666666666,S1 O6,de-protonated,0,,C9 H16 O6 S1,9,16,6,1,,,,,
356,251.092804,251.09251877542627,251.0924970814435,2605590.5,nan,484097.6,18.24,-1,0.08639837122135906,0.9986464607451081,0.0,0.5991878764470648,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,,,
358,251.129163,251.12887768675446,251.12888259082783,1692710.5,nan,528837.8,10.99,-1,-0.01952811366694626,0.999930807441203,0.0,0.5999584844647218,5.0,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,,C14 H20 O4,14,20,4,,,,,,
364,252.97897,252.97868017547185,252.97873062959468,13568343.0,nan,419078.8,105.31,-1,-0.1994401770557851,0.33093620334130597,0.805106851328613,0.5206044625362288,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,
365,253.035743,253.0354530370147,253.03537612715292,3512176.5,nan,424109.2,25.44,-1,0.30394904835983344,0.9833765784098729,0.0,0.5900259470459237,7.0,0.9090909090909091,0.6363636363636364,O7,de-protonated,0,,C11 H10 O7,11,10,7,,,,,,
366,253.053853,253.05356299284827,253.05362344925268,1316472.5,nan,480880.5,8.0,-1,-0.23890748367236245,0.9896969361760275,0.0,0.5938181617056165,11.0,0.7857142857142857,0.07142857142857142,N2 P1 O1,de-protonated,0,,C14 H11 O1 N2 P1,14,11,1,,2,,,1,
367,253.072139,253.07184894825264,253.07176163653722,3904896.5,nan,441829.1,28.55,-1,0.34500773556843545,0.9786336661198944,0.0,0.5871801996719367,6.0,1.1666666666666667,0.5,O6,de-protonated,0,,C12 H14 O6,12,14,6,,,,,,
369,253.108436,253.10814585973205,253.10814714592152,1823632.6,nan,372761.5,12.02,-1,-0.005081580690514528,0.9999953145591125,0.0,0.5999971887354675,5.0,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,,C13 H18 O5,13,18,5,,,,,,
370,253.144846,253.14455577093588,253.14453265530582,14588321.0,nan,421750.5,113.41,-1,0.0913139612960414,0.9807488863063302,0.9915398658487508,0.9850652781232985,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,,,
