Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
159,199.007344,199.00713252289657,199.00705337837383,1605218.9,nan,612024.0,11.18,-1,0.39769707354549105,0.9717094278707952,0.0,0.5830256567224771,5.0,1.0,0.5,S1 O4,de-protonated,0,,C8 H8 O4 S1,8,8,4,1,,,,
192,209.009498,209.00925411247974,209.0091613786252,1235670.1,nan,520457.0,7.93,-1,0.44368320468776046,0.9649113546431808,0.0,0.5789468127859084,7.0,0.6666666666666666,0.6666666666666666,O6,de-protonated,0,,C9 H6 O6,9,6,6,,,,,
194,209.08227,209.0820258766734,209.0819323973938,1777646.8,nan,565186.9,12.48,-1,0.44709401011811767,0.9643795555589014,0.0,0.5786277333353408,5.0,1.2727272727272727,0.36363636363636365,O4,de-protonated,0,,C11 H14 O4,11,14,4,,,,,
199,211.061513,211.0612624632458,211.0611969524875,3975828.3,nan,523492.3,30.76,-1,0.3103875049047807,0.9826710638557933,0.0,0.5896026383134759,5.0,1.2,0.5,O5,de-protonated,0,,C10 H12 O5,10,12,5,,,,,
200,211.097839,211.09758834553708,211.0975824618718,1975200.8,nan,461126.9,14.05,-1,0.02787177947930866,0.9998590540455609,0.0,0.5999154324273365,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,
203,212.02041,212.02015635608993,212.0200604152962,1868001.6,nan,547485.1,13.16,-1,0.4525080954103955,0.9635276616952013,0.0,0.5781165970171208,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,,
208,213.015644,213.01538713118973,213.01530938748922,1577023.1,nan,584330.9,10.72,-1,0.36496766699461053,0.9761205179626468,0.0,0.5856723107775881,6.0,0.8571428571428571,0.8571428571428571,N2 O6,de-protonated,0,,C7 H6 O6 N2,7,6,6,,2,,,
209,213.040812,213.0405550496367,213.04046150758123,1507912.0,nan,628218.7,10.15,-1,0.4390811718070627,0.9656228889406256,0.0,0.5793737333643754,5.0,1.1111111111111112,0.6666666666666666,O6,de-protonated,0,,C9 H10 O6,9,10,6,,,,,
210,213.077167,213.07690993183405,213.0768470169655,5066581.0,nan,502594.7,39.87,-1,0.2952684415565311,0.9843051453515066,0.0,0.5905830872109039,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,
211,213.113548,213.1132908139471,213.11323252634983,1637217.6,nan,577882.8,11.23,-1,0.2735052937092993,0.9865184063925111,0.0,0.5919110438355066,3.0,1.6363636363636365,0.36363636363636365,O4,de-protonated,0,,C11 H18 O4,11,18,4,,,,,
216,215.056452,215.05618851827035,215.05611157205922,4115478.8,nan,511935.7,31.73,-1,0.3577959750186325,0.977039018564092,0.0,0.5862234111384552,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,
217,215.092787,215.09252340053243,215.0924970814435,7314468.0,nan,496991.1,58.29,-1,0.12236172478574918,0.9972869661428517,0.0,0.598372179685711,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,
219,217.072092,217.07182198690393,217.07176163653722,5223155.5,nan,508216.2,40.92,-1,0.27802034799174813,0.9860727608222879,0.0,0.5916436564933727,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,
220,217.108494,217.10822386894893,217.10814714592152,4902144.5,nan,467143.6,38.26,-1,0.3533862197877669,0.9775951592502711,0.0,0.5865570955501627,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,
221,219.066607,219.06633052398976,219.06628233291582,1167189.5,nan,567254.2,7.24,-1,0.21998398580841447,0.9912576010341004,0.0,0.5947545606204603,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,,
222,221.04584,221.04555711059456,221.0455468880095,2368958.8,nan,454850.5,17.11,-1,0.046246509784172024,0.9996120037870272,0.0,0.5997672022722162,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,
224,221.082284,221.08200099250345,221.0819323973938,11187405.0,nan,475942.2,89.88,-1,0.31027008356040925,0.9866713163578509,0.9797055759995124,0.9838850202145155,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,
225,222.077539,222.07725276753519,222.0771813695868,1564744.0,nan,517759.2,10.47,-1,0.3215006059358675,0.981419765746291,0.0,0.5888518594477745,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,,
226,222.085624,222.08533774133699,222.0852872324661,1178955.1,nan,616194.4,7.28,-1,0.22743006308202265,0.9906585742278925,0.9797055759995124,0.9862773749365404,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,224,C11 H14 O4 13C1,11,14,4,,,1,,
230,223.025144,223.0248546969693,223.02481144310323,1756852.1,nan,461392.2,12.05,-1,0.19394194658270578,0.9931983205603216,0.0,0.5959189923361929,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,
231,223.061555,223.06126557898511,223.0611969524875,2484930.0,nan,474854.9,18.06,-1,0.3076577125281478,0.9829719334771196,0.0,0.5897831600862717,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,
233,223.097874,223.09758446129908,223.0975824618718,1840080.1,nan,547562.3,12.73,-1,0.008962119835724633,0.9999854262217541,0.0,0.5999912557330525,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,,
234,224.056685,224.05639235442186,224.0564459246805,1478979.5,nan,489201.6,9.69,-1,-0.2390926912287299,0.9896810382920519,0.0,0.5938086229752311,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,,
235,225.040778,225.0404821656223,225.04046150758123,2375107.5,nan,471638.3,17.04,-1,0.09179700815592061,0.998472156384613,0.0,0.5990832938307677,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,
236,225.077159,225.07686304773537,225.0768470169655,4448465.5,nan,496556.0,34.04,-1,0.07122354024027662,0.9990799719170949,0.0,0.5994479831502569,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,
238,225.113616,225.11331992960217,225.11323252634983,1655776.0,nan,573876.0,11.14,-1,0.38826350346506344,0.9730175830237733,0.0,0.583810549814264,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,,
240,227.05645,227.0561476341522,227.05611157205922,6018526.5,nan,450508.7,46.91,-1,0.15882458630401947,0.9954333705737253,0.0,0.5972600223442351,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,,
241,227.092865,227.09256251615508,227.0924970814435,7437805.0,nan,457164.9,58.54,-1,0.2881412306786346,0.9850480629746359,0.0,0.5910288377847815,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,,
242,227.129229,227.12892639832324,227.12888259082783,2763771.5,nan,494134.5,20.22,-1,0.19287505365410945,0.993272696498108,0.0,0.5959636178988648,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,,
244,228.051764,228.05145840899274,228.05136054425222,1224555.3,nan,466554.6,7.59,-1,0.42913464884049896,0.9671371496939554,0.0,0.5802822898163732,5.0,1.2222222222222223,0.6666666666666666,N1 O6,de-protonated,0,,C9 H11 O6 N1,9,11,6,,1,,,
245,229.035689,229.03538022073755,229.03537612715292,1187830.3,nan,414480.1,7.24,-1,0.017873154378731864,0.9999420379609921,0.0,0.5999652227765953,5.0,1.1111111111111112,0.7777777777777778,O7,de-protonated,0,,C9 H10 O7,9,10,7,,,,,
246,229.072136,229.07182710263675,229.07176163653722,11694341.0,nan,468453.2,92.83,-1,0.2857886064190662,0.49264471441301455,0.9017481179022585,0.6562860758087121,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,,
247,229.10851,229.10820098477248,229.10814714592152,7103763.5,nan,456717.1,55.43,-1,0.23499317518976653,0.9900301104855338,0.0,0.5940180662913203,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,,
248,229.144912,229.1446028668175,229.14453265530582,2500898.3,nan,457843.9,17.94,-1,0.3064070997903946,0.983108915086442,0.0,0.5898653490518652,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,
252,231.051368,231.05105268924476,231.0510261916309,1960231.3,nan,472071.1,13.52,-1,0.11468295242863506,0.9976163995912066,0.0,0.598569839754724,4.0,1.3333333333333333,0.7777777777777778,O7,de-protonated,0,,C9 H12 O7,9,12,7,,,,,
253,231.087766,231.08745057130272,231.0874117010152,15184950.0,nan,434291.3,121.26,-1,0.1682059928113404,0.9967126603384382,0.9972208154792516,0.9969159223947636,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,,
254,231.124156,231.12384045338663,231.12379721039952,4280389.0,nan,462790.6,32.42,-1,0.18709880869105786,0.9936683437315299,0.0,0.5962010062389179,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,,
255,232.091106,232.0907873201363,232.0907665360875,1602768.8,nan,491905.4,10.61,-1,0.08955138154018291,0.9985459395160501,0.9972208154792516,0.9980158899013307,3.0,1.7777777777777777,0.6666666666666666,13C1 O6,de-protonated,1,253,C9 H16 O6 13C1,9,16,6,,,1,,
256,232.094238,232.0939193099875,232.0938940625005,1683922.1,nan,534227.0,11.27,-1,0.10878134948086997,0.9978551518635054,0.0,0.5987130911181032,3.0,1.875,0.625,N3 O5,de-protonated,0,,C8 H15 O5 N3,8,15,5,,3,,,
259,233.045884,233.04556222632738,233.0455468880095,1542490.0,nan,498241.6,10.11,-1,0.06581682452387491,0.9992142995359505,0.0,0.5995285797215703,8.0,0.8333333333333334,0.4166666666666667,O5,de-protonated,0,,C12 H10 O5,12,10,5,,,,,
260,233.067019,233.0666971578427,233.0666762561089,1779810.8,nan,522275.4,12.05,-1,0.08968134838766403,0.9985417189484102,0.0,0.599125031369046,3.0,1.5555555555555556,0.7777777777777778,O7,de-protonated,0,,C9 H14 O7,9,14,7,,,,,
261,233.082236,233.0819141085344,233.0819323973938,1353961.0,nan,460451.3,8.58,-1,-0.07846536723950533,0.9988834779890082,0.0,0.5993300867934049,7.0,1.0769230769230769,0.3076923076923077,O4,de-protonated,0,,C13 H14 O4,13,14,4,,,,,
262,233.103384,233.10306204000761,233.1030617654932,2094705.8,nan,448232.5,14.61,-1,0.0011776525104150197,0.9999997483551203,0.0,0.5999998490130721,2.0,1.8,0.6,O6,de-protonated,0,,C10 H18 O6,10,18,6,,,,,
263,233.154998,233.15467587276052,233.15470341616242,5374855.0,nan,450578.3,41.33,-1,-0.11813358896581216,0.9974709880743459,0.0,0.5984825928446075,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,
264,235.025161,235.02483281278958,235.02481144310323,1964432.1,nan,552236.1,13.45,-1,0.09092523559500545,0.9985010160092478,0.0,0.5991006096055487,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,,
265,235.061583,235.06125469476981,235.0611969524875,2653855.3,nan,469648.8,19.03,-1,0.24564786981899445,0.9891105880433653,0.0,0.5934663528260191,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,,
267,235.097938,235.0976095769671,235.0975824618718,1907374.5,nan,439303.9,12.99,-1,0.11533549179318615,0.9975892301396708,0.0,0.5985535380838025,6.0,1.2307692307692308,0.3076923076923077,O4,de-protonated,0,,C13 H16 O4,13,16,4,,,,,
268,236.05684,236.05650846979503,236.0564459246805,1416128.3,nan,433094.8,9.01,-1,0.2649582996392006,0.9873425637019353,0.0,0.5924055382211612,7.0,1.0,0.45454545454545453,N1 O5,de-protonated,0,,C11 H11 O5 N1,11,11,5,,1,,,
270,237.040826,237.04049128134218,237.04046150758123,3452894.8,nan,423818.5,25.49,-1,0.12560623940646984,0.9971413908795577,0.0,0.5982848345277346,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,
272,237.077207,237.07687216345522,237.0768470169655,4742126.0,nan,434959.7,35.92,-1,0.10606893939821961,0.9979606720586854,0.0,0.5987764032352112,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,,
274,237.113624,237.1132890454516,237.11323252634983,2467837.5,nan,397086.7,17.52,-1,0.2383633387872596,0.9897435747994002,0.0,0.5938461448796402,5.0,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,,C13 H18 O4,13,18,4,,,,,
277,238.072493,238.0721549383865,238.0720959891585,1893523.6,nan,458292.4,12.87,-1,0.24761082455508918,0.9889368297412914,0.0,0.5933620978447748,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,,
279,239.020037,239.01969586801826,239.01972606267492,1271207.0,nan,481523.4,7.83,-1,-0.126327049055001,0.9971085352673417,0.0,0.598265121160405,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,
280,239.056448,239.05610675003408,239.05611157205922,5767478.5,nan,435371.9,44.21,-1,-0.020171101736188166,0.9999261760911278,0.0,0.5999557056546766,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,
281,239.067655,239.06731371371956,239.0673449613515,1331771.4,nan,451904.5,8.32,-1,-0.13070639966746625,0.9969049008083306,0.0,0.5981429404849984,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,,
282,239.092836,239.09249463212447,239.0924970814435,7690566.0,nan,433056.4,59.77,-1,-0.01024423207172031,0.9999809581776072,0.0,0.5999885749065643,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,
283,239.129235,239.1288935141792,239.12888259082783,14180694.0,nan,414690.1,112.28,-1,0.045679765865047066,0.9924107336954713,0.9774579455492145,0.9864296184369685,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,,
284,239.165705,239.16536339600387,239.1652681002121,1258725.3,nan,434435.2,7.73,-1,0.39845163356335755,0.9716035135809652,0.0,0.5829621081485791,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,
287,240.051763,240.0514185248714,240.05136054425222,2040288.4,nan,401596.1,13.95,-1,0.24153422435812516,0.9894703339174389,0.0,0.5936822003504633,6.0,1.1,0.6,N1 O6,de-protonated,0,,C10 H11 O6 N1,10,11,6,,1,,,
288,240.132651,240.13230626276646,240.13223742590012,1602435.0,nan,393547.4,10.43,-1,0.28666232857948504,0.9852000139940653,0.9774579455492145,0.982103186616125,4.0,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,283,C12 H20 O4 13C1,12,20,4,,,1,,
289,241.035789,241.03544133628893,241.03537612715292,2893959.3,nan,498106.6,20.8,-1,0.27053761592462516,0.9868074561022561,0.0,0.5920844736613536,6.0,1.0,0.7,O7,de-protonated,0,,C10 H10 O7,10,10,7,,,,,
290,241.072176,241.07182821838254,241.07176163653722,10613911.0,nan,418495.6,82.82,-1,0.27619097676626575,0.49312708932818267,0.8929744756128385,0.653066043842045,5.0,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,,C11 H14 O6,11,14,6,,,,,
291,241.108547,241.10819910052797,241.10814714592152,7092390.5,nan,425682.6,54.53,-1,0.2154825834926727,0.9916102318365416,0.0,0.594966139101925,4.0,1.5,0.4166666666666667,O5,de-protonated,0,,C12 H18 O5,12,18,5,,,,,
293,241.144846,241.14449798290676,241.14453265530582,2310070.3,nan,422770.0,16.11,-1,-0.14378264638893823,0.9962558566143884,0.0,0.5977535139686331,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,
297,242.067358,242.0670069936508,242.06701060873021,4193861.0,nan,424527.6,31.24,-1,-0.014934209326132557,0.9999595322079786,0.0,0.5999757193247871,5.0,1.3,0.6,N1 O6,de-protonated,0,,C10 H13 O6 N1,10,13,6,,1,,,
299,242.140223,242.13987175754315,242.13978162749882,8329828.5,nan,428563.5,64.47,-1,0.3722231998462185,0.4875868180466923,0.8843699161556753,0.6463000572902855,3.0,1.75,0.3333333333333333,N1 O4,de-protonated,0,,C12 H21 O4 N1,12,21,4,,1,,,
300,242.176526,242.17617463990894,242.1761671368831,7944820.0,nan,409572.1,61.37,-1,0.030981685482182646,0.4999129244763248,0.8759295984134849,0.6503195940511889,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,
301,243.033693,243.03333886239324,243.0332681269015,1232360.1,nan,536739.4,7.45,-1,0.2910527117443278,0.984746704929541,0.0,0.5908480229577245,5.0,1.2,0.5,S1 O5,de-protonated,0,,C10 H12 O5 S1,10,12,5,1,,,,
302,243.051442,243.0510878048804,243.0510261916309,4725232.0,nan,439558.5,35.51,-1,0.2534992362103269,0.9884074864566783,0.0,0.593044491874007,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,,
303,243.087822,243.08746768699666,243.0874117010152,16570368.0,nan,433252.1,130.66,-1,0.2303121377430797,0.9944128517868265,0.9799857626952726,0.988642016150205,4.0,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,,C11 H16 O6,11,16,6,,,,,
304,243.124174,243.12381956920373,243.12379721039952,7950351.5,nan,422059.1,61.41,-1,0.0919646882478287,0.9984665739317138,0.0,0.5990799443590282,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,
306,243.160493,243.16013845151767,243.16018271978382,2311967.3,nan,452040.2,16.12,-1,-0.1820539269887893,0.9940041785654297,0.0,0.5964025071392578,2.0,1.8461538461538463,0.3076923076923077,O4,de-protonated,0,,C13 H24 O4,13,24,4,,,,,
311,244.091147,244.09078943587883,244.09076653608747,2411445.0,nan,476914.6,16.92,-1,0.09381670468700946,0.9984042405262922,0.9799857626952726,0.9910368493938844,4.0,1.6,0.6,13C1 O6,de-protonated,1,303,C10 H16 O6 13C1,10,16,6,,,1,,
314,245.045902,245.04554134214447,245.0455468880095,1431126.9,nan,440594.9,9.04,-1,-0.022631976409971877,0.9999070651482541,0.0,0.5999442390889524,9.0,0.7692307692307693,0.38461538461538464,O5,de-protonated,0,,C13 H10 O5,13,10,5,,,,,
315,245.058894,245.05853330004592,245.0584340476315,1276764.5,nan,352892.8,7.8,-1,0.4050152969235813,0.9706742274881872,0.0,0.5824045364929124,4.0,1.5,0.5,P1 O5,de-protonated,0,,C10 H15 O5 P1,10,15,5,,,,1,
316,245.067034,245.06667327366952,245.0666762561089,7207776.0,nan,438417.0,55.44,-1,-0.012169909956839442,0.9999731265934311,0.0,0.5999838759560586,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,,
317,245.103426,245.10306515574695,245.1030617654932,15272816.0,nan,413080.1,119.34,-1,0.013831951807410783,0.9976740708338818,0.9953892335048297,0.996760135902261,3.0,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,,C11 H18 O6,11,18,6,,,,,
318,245.139822,245.1394610378114,245.1394472748775,2580864.0,nan,466877.2,18.14,-1,0.056143285148252675,0.9994282248432069,0.0,0.5996569349059241,2.0,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H22 O5,12,22,5,,,,,
320,246.077438,246.07707399961328,246.0771813695868,1212188.3,nan,434042.4,7.22,-1,-0.4363264116434756,0.9660455093818601,0.0,0.579627305629116,8.0,1.0,0.3076923076923077,N1 O4,de-protonated,0,,C13 H13 O4 N1,13,13,4,,1,,,
321,246.10682,246.1064559044055,246.1064166005655,1742633.1,nan,452401.1,11.45,-1,0.15970262190083126,0.9953828563523923,0.9953892335048297,0.9953854072133673,3.0,1.8,0.6,13C1 O6,de-protonated,1,317,C10 H18 O6 13C1,10,18,6,,,1,,
322,246.109904,246.10953989441228,246.1095441269785,1602602.5,nan,472559.8,10.33,-1,-0.017197895520086968,0.9999463347956826,0.0,0.5999678008774095,3.0,1.8888888888888888,0.5555555555555556,N3 O5,de-protonated,0,,C9 H17 O5 N3,9,17,5,,3,,,
323,247.025238,247.02487092841548,247.02481144310323,1482942.4,nan,483340.2,9.38,-1,0.24080703432905523,0.9895333095812469,0.0,0.5937199857487481,9.0,0.6666666666666666,0.5,O6,de-protonated,0,,C12 H8 O6,12,8,6,,,,,
325,247.061594,247.06122681060955,247.0611969524875,2140110.5,nan,444054.7,14.62,-1,0.12085314252501186,0.997353363003209,0.0,0.5984120178019253,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,
327,247.082677,247.08230974229338,247.0823263205869,5934808.0,nan,416897.9,44.87,-1,-0.06709623376305904,0.9991834688702389,0.0,0.5995100813221433,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,,
328,247.097956,247.0975886927842,247.0975824618718,1959134.5,nan,394665.8,13.17,-1,0.025216403691257907,0.9998846294211348,0.0,0.5999307776526809,7.0,1.1428571428571428,0.2857142857142857,O4,de-protonated,0,,C14 H16 O4,14,16,4,,,,,
330,247.119078,247.11871062434165,247.1187118299712,3746535.8,nan,424860.0,27.43,-1,-0.004878746534107636,0.9999956811372578,0.0,0.5999974086823546,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,,
331,248.11438,248.11400939922106,248.1139608021642,2353312.8,nan,453008.2,16.31,-1,0.1958658702772217,0.9930631759771845,0.0,0.5958379055863107,2.0,1.9,0.6,N1 O6,de-protonated,0,,C10 H19 O6 N1,10,19,6,,1,,,
332,249.040813,249.04043939725972,249.04046150758123,3307068.8,nan,446130.6,23.92,-1,-0.08878204519789959,0.9985707980943548,0.0,0.5991424788566129,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,
334,249.077231,249.0768572792529,249.0768470169655,3650637.0,nan,424380.5,26.65,-1,0.04120128993343061,0.999692029887865,0.0,0.599815217932719,7.0,1.0769230769230769,0.38461538461538464,O5,de-protonated,0,,C13 H14 O5,13,14,5,,,,,
337,249.113614,249.11324016135944,249.11323252634983,2514013.0,nan,357552.4,17.59,-1,0.030648751702190724,0.9998295714303722,0.0,0.5998977428582233,6.0,1.2857142857142858,0.2857142857142857,O4,de-protonated,0,,C14 H18 O4,14,18,4,,,,,
338,249.149995,249.14962104347248,249.1496180357341,1302381.3,nan,393836.1,7.93,-1,0.012072016786399253,0.9999735571812891,0.0,0.5999841343087734,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,,
339,250.036183,250.03580617191878,250.03571047977422,1269240.8,nan,529337.4,7.66,-1,0.38271391063037913,0.9737732768699067,0.0,0.584263966121944,8.0,0.8181818181818182,0.5454545454545454,N1 O6,de-protonated,0,,C11 H9 O6 N1,11,9,6,,1,,,
340,250.072544,250.07216705409664,250.0720959891585,1392649.0,nan,480370.1,8.65,-1,0.2841778002429894,0.9854535808991564,0.0,0.5912721485394938,7.0,1.0833333333333333,0.4166666666666667,N1 O5,de-protonated,0,,C12 H13 O5 N1,12,13,5,,1,,,
342,250.145279,250.14490181841023,250.1448670079271,1348393.5,nan,407634.0,8.29,-1,0.13916129299514607,0.9964922557112286,0.0,0.5978953534267372,5.0,1.5,0.21428571428571427,N1 O3,de-protonated,0,,C14 H21 O3 N1,14,21,3,,1,,,
345,251.020065,251.0196849838029,251.01972606267492,2420145.3,nan,422472.3,16.84,-1,-0.16364798360799152,0.9951524713393335,0.0,0.5970914828036,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,,
345,251.020065,251.0196849838029,251.0195638714227,2420145.3,nan,422472.3,16.84,-1,0.48248183665737443,0.9586404387552976,0.0,0.5751842632531785,3.0,2.1666666666666665,0.16666666666666666,N4 S2 P1 O1,de-protonated,0,,C6 H13 O1 S2 N4 P1,6,13,1,2,4,,1,
347,251.056549,251.0561688655822,251.05611157205922,5624257.5,nan,409828.8,42.06,-1,0.22821003092371206,0.9905946945881388,0.0,0.5943568167528832,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,,
