Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P
67,143.0172,143.01715992977316,143.0172241392304,1153439.1,nan,516945.2,7.87,-1,-0.4489631065214263,0.9640865315332906,0.0,0.5784519189199744,3.0,1.3333333333333333,0.3333333333333333,S1 O2,de-protonated,0,,C6 H8 O2 S1,6,8,2,1,,,,
146,182.0824,182.08223766264314,182.0822667500151,1114830.0,nan,597090.1,7.24,-1,-0.15974851629196843,0.9953802084165416,0.0,0.597228125049925,4.0,1.4444444444444444,0.3333333333333333,N1 O3,de-protonated,0,,C9 H13 O3 N1,9,13,3,,1,,,
225,210.041128,210.04087815679566,210.0407958602025,1366593.0,nan,672945.7,9.05,-1,0.3918124229725425,0.9725289323893478,0.0,0.5835173594336086,6.0,1.0,0.5555555555555556,N1 O5,de-protonated,0,,C9 H9 O5 N1,9,9,5,,1,,,
229,211.061547,211.06129396306562,211.0611969524875,3692964.3,nan,549241.0,28.47,-1,0.45963246450381334,0.9623922060485931,0.0,0.5774353236291558,5.0,1.2,0.5,O5,de-protonated,0,,C10 H12 O5,10,12,5,,,,,
230,211.097915,211.09766184924027,211.0975824618718,3591601.0,nan,561894.4,27.63,-1,0.37606952923263415,0.9746644923870821,0.0,0.5847986954322493,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,
231,211.134317,211.13406373530847,211.1339679712561,1664701.8,nan,474080.3,11.49,-1,0.453570087660783,0.9633594457642454,0.0,0.5780156674585472,3.0,1.6666666666666667,0.25,O3,de-protonated,0,,C12 H20 O3,12,20,3,,,,,
235,212.020399,212.02014296202935,212.0200604152962,2474485.5,nan,557176.6,18.27,-1,0.38933454217533675,0.9728705543532009,0.0,0.5837223326119205,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,,
236,212.05678,212.0565238481633,212.0564459246805,1201282.3,nan,429819.3,7.61,-1,0.36746575871290704,0.9757965054994694,0.0,0.5854779032996816,5.0,1.2222222222222223,0.5555555555555556,N1 O5,de-protonated,0,,C9 H11 O5 N1,9,11,5,,1,,,
241,213.077187,213.07692765447084,213.0768470169655,5531245.0,nan,493111.2,43.86,-1,0.3784433009183747,0.9743477953644919,0.0,0.5846086772186951,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,
245,214.072376,214.07211353970618,214.0720959891585,1167441.9,nan,605353.2,7.32,-1,0.08198428478371352,0.9987811500370478,0.0,0.5992686900222287,4.0,1.4444444444444444,0.5555555555555556,N1 O5,de-protonated,0,,C9 H13 O5 N1,9,13,5,,1,,,
248,215.05646,215.05619445969825,215.05611157205922,2959158.3,nan,473722.2,22.19,-1,0.3854233130996006,0.9734056205672811,0.0,0.5840433723403686,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,
249,215.092837,215.0925713458447,215.0924970814435,3240259.5,nan,501121.7,24.53,-1,0.34526727902680965,0.978601853520082,0.0,0.5871611121120491,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,
253,217.0721,217.07182815110346,217.07176163653722,2312218.3,nan,556402.7,16.79,-1,0.30641740657992694,0.9831077883697052,0.0,0.5898646730218231,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,
254,217.108527,217.10825503709341,217.10814714592152,2050087.6,nan,486818.9,14.61,-1,0.4969466752482361,0.95617929024129,0.0,0.573707574144774,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,
256,219.030172,219.02989402268622,219.02989682353152,1533429.5,nan,467277.5,10.3,-1,-0.01278750223133294,0.9999703299122741,0.0,0.5999821979473644,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,
257,219.06661,219.06633190864179,219.06628233291582,1601795.3,nan,522417.5,10.87,-1,0.22630468477000829,0.9907503648960528,0.0,0.5944502189376317,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,,
258,221.045831,221.04554671403196,221.0455468880095,3222002.8,nan,468672.6,24.21,-1,-0.0007870665416711206,0.9999998875973098,0.0,0.5999999325583859,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,
259,221.082284,221.08199959994053,221.0819323973938,12285441.0,nan,467041.5,99.2,-1,0.30397122907345997,0.9888646063049713,0.9921836443423613,0.9901922215199273,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,
261,222.077532,222.07724448499127,222.0771813695868,1358207.1,nan,545340.4,8.78,-1,0.2842048159523414,0.985450835240418,0.0,0.5912705011442507,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,,
262,222.085614,222.08532645969603,222.0852872324661,1730178.3,nan,554871.7,11.86,-1,0.176631376272114,0.9943550401982892,0.9921836443423613,0.9934864818559181,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,259,C11 H14 O4 13C1,11,14,4,,,1,,
266,223.025099,223.02480851927507,223.02481144310323,1433838.0,nan,536713.4,9.4,-1,-0.013109878420137161,0.9999688150979243,0.0,0.5999812890587546,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,
267,223.061564,223.0612734051461,223.0611969524875,2808060.3,nan,482041.5,20.78,-1,0.34274297652034924,0.97891028919473,0.0,0.5873461735168379,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,
268,223.097914,223.09762329137703,223.0975824618718,2427658.3,nan,544104.8,17.63,-1,0.1830118676021989,0.9939411063641412,0.0,0.5963646638184847,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,,
269,224.056806,224.05651229021558,224.0564459246805,1784192.4,nan,391715.2,12.22,-1,0.2962000704886611,0.9842067359775526,0.0,0.5905240415865315,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,,
270,225.040815,225.04051821044237,225.04046150758123,2088962.9,nan,565969.4,14.73,-1,0.25196740516958477,0.9885463613465999,0.0,0.5931278168079599,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,
271,225.077146,225.0768490967328,225.0768470169655,3713553.3,nan,409909.8,28.08,-1,0.009240254216179477,0.9999845076142055,0.0,0.5999907045685233,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,
272,225.113563,225.11326598275406,225.11323252634983,1531935.5,nan,518132.2,10.15,-1,0.14862033586093806,0.9960001813183355,0.0,0.5976001087910012,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,,
274,226.036053,226.0357530955244,226.03571047977422,1407116.5,nan,405532.8,9.12,-1,0.1885354755869828,0.9935710476549605,0.0,0.5961426285929763,6.0,1.0,0.6666666666666666,N1 O6,de-protonated,0,,C9 H9 O6 N1,9,9,6,,1,,,
