Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O,17O
206,211.09794,211.09765224340677,211.0975824618718,1199408.3,nan,639269.7,7.59,-1,0.3305652966142816,0.9803677548493372,0.0,0.5882206529096023,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,,
231,217.006295,217.00598831523845,217.0060045505761,1246876.1,nan,376093.2,7.93,-1,-0.07481515402050103,0.9989848915203247,0.0,0.5993909349121948,9.0,0.6363636363636364,0.2727272727272727,P1 O3,de-protonated,0,,C11 H7 O3 P1,11,7,3,,,,1,,
233,217.072168,217.0718611042059,217.07176163653722,4734645.0,nan,573956.5,37.0,-1,0.45822481901913703,0.96261785082461,0.0,0.577570710494766,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,
235,217.108562,217.1082549876131,217.10814714592152,5065410.5,nan,535074.7,39.75,-1,0.4967187689216613,0.9562185817452367,0.0,0.573731149047142,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,,
236,219.087779,219.08746564693917,219.0874117010152,1305773.1,nan,614471.6,8.41,-1,0.24623013952775036,0.9890591873474767,0.0,0.593435512408486,2.0,1.7777777777777777,0.6666666666666666,O6,de-protonated,0,,C9 H16 O6,9,16,6,,,,,,
242,221.082344,221.08202425709598,221.0819323973938,19392680.0,nan,512723.9,158.21,-1,0.4155007203461234,0.9761930311834073,0.9976773717343687,0.9847867674037918,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,,
244,222.085678,222.08535504278763,222.0852872324661,2478125.3,nan,536738.3,18.07,-1,0.30533459631682114,0.9832259588030923,0.9976773717343687,0.9890065239756028,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,242,C11 H14 O4 13C1,11,14,4,,,1,,,
247,223.025139,223.02481303310455,223.02481144310323,1293467.4,nan,535963.4,8.25,-1,0.007129257538097685,0.9999907776747939,0.0,0.5999944666048763,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,
249,223.061617,223.06129091624265,223.0611969524875,1394601.6,nan,568441.0,9.09,-1,0.42124652979543736,0.9683150087226334,0.0,0.58098900523358,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,,
252,225.040822,225.04048957560715,225.04046150758123,1564340.3,nan,569827.9,10.42,-1,0.12472435284994672,0.9971813343614385,0.0,0.5983088006168631,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,,
253,225.077229,225.07689645897267,225.0768470169655,1407938.6,nan,525193.9,9.13,-1,0.21966722842786537,0.9912826494846118,0.0,0.594769589690767,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,,
254,225.113634,225.1133013423446,225.11323252634983,1198545.1,nan,579558.4,7.41,-1,0.305695022934158,0.9831866692032264,0.0,0.5899120015219358,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,,,
256,227.056513,227.0561741180841,227.05611157205922,2617815.3,nan,455587.7,19.09,-1,0.2754650577136283,0.9863258449643265,0.0,0.5917955069785958,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,,,
257,227.092903,227.09256400150412,227.0924970814435,4846053.5,nan,505794.7,37.44,-1,0.2946819532935012,0.9843669430125359,0.0,0.5906201658075215,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,,,
258,227.129304,227.12896488488886,227.12888259082783,3119604.3,nan,482157.6,23.22,-1,0.3623231888953763,0.9764612250394885,0.0,0.5858767350236931,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,,,
259,228.160895,228.16055258005562,228.1605170724051,1548691.0,nan,553851.5,10.28,-1,0.1556257453242487,0.9956150686651306,0.0,0.5973690411990783,2.0,1.9166666666666667,0.25,N1 O3,de-protonated,0,,C12 H23 O3 N1,12,23,3,,1,,,,
263,229.072192,229.07184666059953,229.07176163653722,5669123.5,nan,513915.2,43.93,-1,0.3711678022105921,0.9753124714596266,0.0,0.5851874828757759,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,,,
265,229.108536,229.10819054416686,229.10814714592152,11339026.0,nan,480776.4,90.32,-1,0.18942253201969628,0.496755303139212,0.8929744756128385,0.6552429721286626,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,,,
266,229.144909,229.14456342764134,229.14453265530582,16002337.0,nan,461510.9,128.48,-1,0.13429225285908647,0.9924948583583113,0.979184607713258,0.98717075810029,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,,
268,230.148295,230.1479462131664,230.1478874903781,2528440.8,nan,526803.7,18.23,-1,0.2551524105744367,0.9882566883670245,0.979184607713258,0.984627856105518,2.0,2.0,0.36363636363636365,13C1 O4,de-protonated,1,266,C11 H22 O4 13C1,11,22,4,,,1,,,
269,231.051357,231.05100532009217,231.0510261916309,1386281.5,nan,538977.0,8.88,-1,-0.09033302764905186,0.9985204641734866,0.0,0.599112278504092,4.0,1.3333333333333333,0.7777777777777778,O7,de-protonated,0,,C9 H12 O7,9,12,7,,,,,,
270,231.087815,231.08746320329433,231.0874117010152,8927288.0,nan,460708.2,70.58,-1,0.22286925428536788,0.9910278084164351,0.0,0.5946166850498611,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,,,
271,231.124192,231.12384008675596,231.12379721039952,6272071.5,nan,495702.9,48.86,-1,0.185512513048146,0.9937749195679458,0.0,0.5962649517407674,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,,,
273,232.044131,232.04377613961412,232.0437732403794,5799361.0,nan,495078.7,44.98,-1,0.012494343954711681,0.9999716746951778,0.0,0.5999830048171066,8.0,0.9166666666666666,0.16666666666666666,N1 S1 O2,de-protonated,0,,C12 H11 O2 S1 N1,12,11,2,1,1,,,,
274,232.094242,232.09388697907718,232.0938940625005,1965013.5,nan,524731.3,13.61,-1,-0.030519645316890193,0.9998310041293084,0.0,0.599898602477585,3.0,1.875,0.625,N3 O5,de-protonated,0,,C8 H15 O5 N3,8,15,5,,3,,,,
275,233.00963,233.009272046515,233.00916137862518,1182031.0,nan,347560.3,7.2,-1,0.47495080954493457,0.9598954746493124,0.0,0.5759372847895874,9.0,0.5454545454545454,0.5454545454545454,O6,de-protonated,0,,C11 H6 O6,11,6,6,,,,,,
276,233.067014,233.06665586267806,233.0666762561089,1234790.6,nan,595275.9,7.63,-1,-0.08750041478288818,0.9986117348574208,0.0,0.5991670409144525,3.0,1.5555555555555556,0.7777777777777778,O7,de-protonated,0,,C9 H14 O7,9,14,7,,,,,,
277,233.103416,233.10305774605965,233.1030617654932,1824373.8,nan,567560.4,12.46,-1,-0.017243160731802498,0.9999460519357212,0.0,0.5999676311614327,2.0,1.8,0.6,O6,de-protonated,0,,C10 H18 O6,10,18,6,,,,,,
278,233.155073,233.15471458056982,233.15470341616242,8795019.0,nan,452190.3,69.49,-1,0.047884118283744635,0.9926608566034549,0.997049147549712,0.9944161729819577,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,,
279,234.158354,234.15799236643127,234.1580582512347,1402410.9,nan,554335.3,8.94,-1,-0.28136893483589526,0.9857376683312612,0.997049147549712,0.9902622600186415,5.0,1.5714285714285714,0.14285714285714285,13C1 O2,de-protonated,1,278,C14 H22 O2 13C1,14,22,2,,,1,,,
280,235.025217,235.02485258932518,235.02481144310323,1644691.6,nan,513364.1,10.91,-1,0.17507182196389323,0.994454007958069,0.0,0.5966724047748414,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,,,
281,235.061635,235.06127047265545,235.0611969524875,2069922.9,nan,354308.4,14.36,-1,0.31277032916482506,0.982406339704923,0.0,0.5894438038229538,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,,,
286,237.040813,237.0404421321065,237.04046150758123,2316767.5,nan,523327.7,16.36,-1,-0.08173910309784106,0.9987884248946514,0.0,0.5992730549367908,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,,
289,237.077227,237.07685601544958,237.0768470169655,3319279.0,nan,454948.4,24.51,-1,0.03795598005544194,0.9997386289481739,0.0,0.5998431773689044,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,,,
292,238.072486,238.07211182701053,238.0720959891585,2255250.0,nan,538879.4,15.86,-1,0.06652544459994117,0.9991972967219988,0.0,0.5995183780331992,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,,,
294,239.020124,239.01974679113144,239.01972606267492,1917730.8,nan,415632.4,13.11,-1,0.08672278585827418,0.9986362838811477,0.0,0.5991817703286886,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,,
295,239.035354,239.03497674234018,239.03498220395983,1319081.3,nan,400884.4,8.25,-1,-0.022848620734932136,0.9999052774815459,0.0,0.5999431664889275,11.0,0.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H8 O4,14,8,4,,,,,,
297,239.056471,239.05609367468915,239.05611157205922,3372338.3,nan,458278.9,24.94,-1,-0.07486681663815584,0.9989834898097708,0.0,0.5993900938858625,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,
298,239.067707,239.06732963869322,239.0673449613515,2820407.0,nan,458253.5,20.45,-1,-0.06409348074520885,0.9992548911961081,0.0,0.5995529347176648,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,,,
301,239.092879,239.0925015580515,239.0924970814435,4205889.5,nan,463065.1,31.71,-1,0.018723331208330533,0.9999363928033369,0.0,0.5999618356820021,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,,
303,239.129267,239.1288894414779,239.12888259082783,21910864.0,nan,435999.8,175.62,-1,0.028648358962572427,0.9997064777898262,0.9966979737111787,0.9985030761583673,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,,,
304,239.165671,239.16529332485305,239.1652681002121,3177824.5,nan,491925.3,23.36,-1,0.10546949877211424,0.9979836339532308,0.0,0.5987901803719384,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,,
