Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,17O
82,159.066278,159.06625466204207,159.06628233291582,1504023.0,nan,711305.7,10.95,-1,-0.17395813457726875,0.9945241502335255,0.0,0.5967144901401152,2.0,1.7142857142857142,0.5714285714285714,O4,de-protonated,0,,C7 H12 O4,7,12,4,,,,,,
159,215.092842,215.09259628016875,215.0924970814435,9621669.0,nan,506695.9,76.59,-1,0.4611910066501302,0.9621416272560489,0.0,0.5772849763536293,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,
163,217.072113,217.07185942400264,217.07176163653722,5887920.0,nan,497613.4,45.92,-1,0.45048450652388744,0.9638471805510259,0.0,0.5783083083306155,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,
166,218.046201,218.04594355763106,218.04588124063082,1284788.9,nan,390088.2,8.11,-1,0.2857976490459682,0.9852885047795061,0.0,0.5911731028677036,8.0,0.8181818181818182,0.36363636363636365,N1 O4,de-protonated,0,,C11 H9 O4 N1,11,9,4,,1,,,,
169,219.030259,219.02999765168636,219.02989682353152,1814465.0,nan,518845.0,12.46,-1,0.4603396901724463,0.9622785969830476,0.0,0.5773671581898285,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,,
170,219.06665,219.0663885072424,219.06628233291582,1595087.8,nan,548956.4,10.66,-1,0.4846675876298118,0.9582728006306415,0.0,0.5749636803783849,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,,,
171,219.087728,219.08746642357914,219.0874117010152,1736664.3,nan,452003.6,11.74,-1,0.24977502589508863,0.9887436902625444,0.0,0.5932462141575267,2.0,1.7777777777777777,0.6666666666666666,O6,de-protonated,0,,C9 H16 O6,9,16,6,,,,,,
173,220.025454,220.02518870153642,220.0251457957245,1239253.0,nan,522904.5,7.68,-1,0.19500412897992878,0.9931238710199695,0.0,0.5958743226119817,8.0,0.7,0.5,N1 O5,de-protonated,0,,C10 H7 O5 N1,10,7,5,,1,,,,
177,221.045868,221.0455986512867,221.0455468880095,3952630.8,nan,516340.7,29.81,-1,0.23417471156212163,0.9900990939535543,0.0,0.5940594563721325,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,,
185,223.025149,223.02487179508088,223.02481144310323,3199274.5,nan,494225.2,23.66,-1,0.27060656283643597,0.9868007755465462,0.0,0.5920804653279277,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,
186,223.036356,223.03607875059782,223.0360448323955,1321647.3,nan,462973.8,8.34,-1,0.15207498117701615,0.9958124648189081,0.0,0.5974874788913448,7.0,0.8888888888888888,0.5555555555555556,N2 O5,de-protonated,0,,C9 H8 O5 N2,9,8,5,,2,,,,
187,223.061566,223.06128865053373,223.0611969524875,3390265.8,nan,464642.2,25.21,-1,0.4110891875060948,0.9698015681072164,0.0,0.5818809408643298,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,,
