Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O
116,187.097592,187.09752642934737,187.0975824618718,1087695.3,nan,601531.3,7.02,-1,-0.29948288857324484,0.9838575754769401,0.0,0.590314545286164,2.0,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,,C9 H16 O4,9,16,4,,,,,,
124,194.082288,194.08218273476479,194.0822667500151,1871179.9,nan,563720.8,13.73,-1,-0.43288473344646783,0.9665700327443013,0.0,0.5799420196465808,5.0,1.3,0.3,N1 O3,de-protonated,0,,C10 H13 O3 N1,10,13,3,,1,,,,
232,238.963458,238.96309767150782,238.96308056511668,1945923.9,nan,503464.3,13.48,-1,0.07158591653776612,0.9990705904924885,0.0,0.5994423542954931,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,
277,247.09807,247.0976634418612,247.0975824618718,2032315.3,nan,519635.3,13.96,-1,0.32772473356666243,0.9807004436920491,0.0,0.5884202662152295,7.0,1.1428571428571428,0.2857142857142857,O4,de-protonated,0,,C14 H16 O4,14,16,4,,,,,,
285,249.040993,249.0405754000753,249.04046150758123,3181570.8,nan,412528.0,23.25,-1,0.4573252611050085,0.9627617145902271,0.0,0.5776570287541363,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,,
303,252.979251,252.97881101864203,252.97873062959468,3438776.5,nan,400460.6,25.13,-1,0.3177699846733755,0.9818445500740417,0.0,0.589106730044425,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,
304,253.035896,253.035455696724,253.03537612715292,3529937.3,nan,452230.2,25.86,-1,0.3144602636309581,0.9822174099691711,0.0,0.5893304459815026,7.0,0.9090909090909091,0.6363636363636364,O7,de-protonated,0,,C11 H10 O7,11,10,7,,,,,,
309,253.145092,253.14465107615445,253.14453265530582,9042177.0,nan,418172.7,70.09,-1,0.467799353120866,0.48053523284594335,0.8676488643339466,0.6353806854411447,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,,,
313,255.051596,255.05114424134064,255.05102619163094,5167176.0,nan,426139.8,38.99,-1,0.4628474210078346,0.9618744548839601,0.0,0.5771246729303761,6.0,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,,C11 H12 O7,11,12,7,,,,,,
316,255.12435,255.1238978278739,255.1237972103995,3658344.3,nan,451411.0,26.88,-1,0.3943868643467388,0.9721718304041898,0.0,0.5833030982425138,4.0,1.5384615384615385,0.38461538461538464,O5,de-protonated,0,,C13 H20 O5,13,20,5,,,,,,
321,257.140024,257.13956037263824,257.13944727487745,1950691.4,nan,470158.3,13.07,-1,0.4398304577037756,0.9655075095604535,0.0,0.5793045057362721,3.0,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,,C13 H22 O5,13,22,5,,,,,,
325,259.082908,259.082433331074,259.0823263205869,3987266.3,nan,439000.9,29.28,-1,0.41303661516780954,0.9695191917558869,0.0,0.5817115150535321,4.0,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,,C11 H16 O7,11,16,7,,,,,,
329,259.15556,259.15508491818696,259.15509733935545,1263714.6,nan,445418.3,7.59,-1,-0.04792947782816595,0.9995832566169046,0.0,0.5997499539701427,2.0,1.8461538461538463,0.38461538461538464,O5,de-protonated,0,,C13 H24 O5,13,24,5,,,,,,
