Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O
107,173.081898,173.0818608947418,173.0819323973938,1611670.5,nan,683573.4,11.68,-1,-0.4131144772265884,0.9695078757525073,0.0,0.5817047254515043,2.0,1.75,0.5,O4,de-protonated,0,,C8 H14 O4,8,14,4,,,,,,
110,174.105433,174.1053920795856,174.1053246704937,1098894.1,nan,574751.6,7.17,-1,0.38717421215874426,0.9731667246093977,0.0,0.5839000347656386,1.0,2.25,0.125,N1 P1 O1,de-protonated,0,,C8 H18 O1 N1 P1,8,18,1,,1,,,1,
172,213.149897,213.1497105440362,213.1496180357341,1161410.6,nan,501533.2,7.21,-1,0.4340064173764377,0.9663995093730854,0.0,0.5798397056238512,2.0,1.8333333333333333,0.25,O3,de-protonated,0,,C12 H22 O3,12,22,3,,,,,,
176,215.092796,215.09260230201403,215.0924970814435,6220048.0,nan,482580.6,48.97,-1,0.48918754470660064,0.9575077358072248,0.0,0.5745046414843349,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,
184,221.009469,221.00925324802307,221.0091613786252,1851877.4,nan,512769.3,12.77,-1,0.41568140112496327,0.9691336945862702,0.0,0.5814802167517621,8.0,0.6,0.6,O6,de-protonated,0,,C10 H6 O6,10,6,6,,,,,,
185,221.045839,221.0456231124564,221.0455468880095,2827251.8,nan,463460.4,20.78,-1,0.34483593075394536,0.9786547118821997,0.0,0.5871928271293197,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,,
190,223.02513,223.02490673478556,223.02481144310323,2331905.0,nan,537171.2,16.7,-1,0.4272694222289927,0.9674175091188391,0.0,0.5804505054713034,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,,
191,223.061528,223.06130459911455,223.0611969524875,2718223.5,nan,495954.3,19.88,-1,0.4825878660834582,0.9586226399589503,0.0,0.5751735839753701,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,,
193,223.097828,223.09760446380878,223.0975824618718,1413405.9,nan,592387.8,9.16,-1,0.09862023929810339,0.9982367951345158,0.0,0.5989420770807095,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,,,
196,225.040757,225.0405262216748,225.04046150758123,4078120.3,nan,488929.1,30.83,-1,0.28756648092979387,0.9851072062162094,0.0,0.5910643237297256,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,,
