Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O
117,165.019397,165.0192832542241,165.0193321394818,1489285.0,nan,909201.1,10.77,-1,-0.29623958040717546,0.9842025558504204,0.0,0.5905215335102522,6.0,0.75,0.5,O4,de-protonated,0,,C8 H6 O4,8,6,4,,,,,,
213,207.01242,207.0121986186108,207.0121387588021,2756670.8,nan,453307.5,20.76,-1,0.2891608629601626,0.984942858365741,0.0,0.5909657150194446,7.0,0.8,0.3,S1 O3,de-protonated,0,,C10 H8 O3 S1,10,8,3,1,,,,,
214,208.074543,208.07431889619997,208.07441846473083,1381521.1,nan,515051.7,9.18,-1,-0.4785236531782661,0.9593023217872059,0.0,0.5755813930723235,1.0,2.2857142857142856,0.5714285714285714,N1 P1 O4,de-protonated,0,,C7 H16 O4 N1 P1,7,16,4,,1,,,1,
226,210.041114,210.04088485552748,210.0407958602025,1897742.1,nan,502207.6,13.52,-1,0.4237049503076649,0.9679501064313355,0.0,0.5807700638588013,6.0,1.0,0.5555555555555556,N1 O5,de-protonated,0,,C9 H9 O5 N1,9,9,5,,1,,,,
234,211.06151,211.0612782400704,211.0611969524875,2914398.0,nan,562016.9,21.95,-1,0.3851375054959396,0.9734445194436199,0.0,0.5840667116661719,5.0,1.2,0.5,O5,de-protonated,0,,C10 H12 O5,10,12,5,,,,,,
235,211.097893,211.0976611468143,211.0975824618718,3465834.0,nan,478881.5,26.57,-1,0.3727420350447615,0.9751052471350958,0.0,0.5850631482810574,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,,
236,211.134262,211.13403005359405,211.1339679712561,2536054.3,nan,506610.1,18.78,-1,0.29404239654152087,0.9844341968037895,0.0,0.5906605180822737,3.0,1.6666666666666667,0.25,O3,de-protonated,0,,C12 H20 O3,12,20,3,,,,,,
241,212.020378,212.02014378232056,212.0200604152962,3263901.0,nan,521420.0,24.88,-1,0.39320347421894103,0.972336253153731,0.0,0.5834017518922385,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,,,
247,213.015633,213.01539623130438,213.01530938748922,7829739.5,nan,478749.4,63.1,-1,0.40768813942968885,0.9702917136008584,0.0,0.582175028160515,6.0,0.8571428571428571,0.8571428571428571,N2 O6,de-protonated,0,,C7 H6 O6 N2,7,6,6,,2,,,,
248,213.077168,213.07693107357917,213.0768470169655,4394240.0,nan,487888.7,34.34,-1,0.39448966347039627,0.9721575252641884,0.0,0.583294515158513,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,,
251,214.051251,214.0510115768306,214.0509666210591,1171914.9,nan,437625.5,7.36,-1,0.21002367898522867,0.9920282525528595,0.0,0.5952169515317157,9.0,0.75,0.25,N1 O3,de-protonated,0,,C12 H9 O3 N1,12,9,3,,1,,,,
253,215.056439,215.05619700035433,215.05611157205922,2367395.5,nan,578688.4,17.26,-1,0.397237234895015,0.9717738806071917,0.0,0.583064328364315,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,,
255,215.092802,215.09255990714948,215.0924970814435,4569008.0,nan,447570.4,35.59,-1,0.2920869246211155,0.9846389500105311,0.0,0.5907833700063186,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,,
256,215.129186,215.12894381389077,215.12888259082783,2097340.5,nan,549177.3,15.01,-1,0.28458783500176354,0.9854118810164464,0.0,0.5912471286098678,2.0,1.8181818181818181,0.36363636363636365,O4,de-protonated,0,,C11 H20 O4,11,20,4,,,,,,
261,217.07204,217.0717928340092,217.07176163653722,3100768.3,nan,539356.9,23.36,-1,0.14371962402724703,0.9962591319920454,0.0,0.5977554791952272,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,,
