Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
198,213.113401,213.1132095662356,213.11323252634983,1168833.0,nan,594915.3,7.33,-1,-0.10773668978755574,0.9978961061315311,0.0,0.5987376636789187,3.0,1.6363636363636365,0.36363636363636365,O4,de-protonated,0,,C11 H18 O4,11,18,4,,,,,,,
212,219.045405,219.04518572243052,219.04515296481642,1543572.9,nan,694323.8,10.39,-1,0.1495473131904097,0.9959502317212231,0.0,0.5975701390327338,12.0,0.5333333333333333,0.13333333333333333,O2,de-protonated,0,,C15 H8 O2,15,8,2,,,,,,,
217,220.147352,220.1471275500811,220.1471894834994,1621293.1,nan,662436.0,10.97,-1,-0.28132731759877483,0.985741856878052,0.0,0.5914451141268312,0.0,2.4,0.2,N1 P1 O2,de-protonated,0,,C10 H24 O2 N1 P1,10,24,2,,1,,,1,,
237,227.016386,227.0161293080186,227.0161925680527,5644396.0,nan,652911.1,43.98,-1,-0.27865868676939565,0.9860091831120892,0.0,0.5916055098672535,6.0,1.2857142857142858,0.14285714285714285,N4 S1 P1 O1,de-protonated,0,,C7 H9 O1 S1 N4 P1,7,9,1,1,4,,,1,,
238,227.016927,227.01667030547924,227.01657269060783,19306604.0,nan,480114.4,156.39,-1,0.4299900674669878,0.4835040959115448,0.9178259550481461,0.6572328395661853,1.0,2.4,0.8,N2 S2 O4,de-protonated,0,,C5 H12 O4 S2 N2,5,12,4,2,2,,,,,
245,229.013376,229.0131099344915,229.0132151878758,1943422.4,nan,732029.3,13.44,-1,-0.45959524309009103,0.9623981808468317,0.0,0.577438908508099,6.0,1.1666666666666667,0.6666666666666666,N4 P1 O4,de-protonated,0,,C6 H7 O4 N4 P1,6,7,4,,4,,,1,,
262,233.155104,233.1548184939336,233.15470341616242,12288508.0,nan,472070.4,98.01,-1,0.49356830243579136,0.47838002307522076,0.859523230357577,0.6308373059881633,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,,,
267,235.09796,235.09766537450216,235.0975824618718,1427221.0,nan,490977.7,9.14,-1,0.35267325796791726,0.9776844569487203,0.0,0.5866106741692322,6.0,1.2307692307692308,0.3076923076923077,O4,de-protonated,0,,C13 H16 O4,13,16,4,,,,,,,
271,237.040883,237.04057925475627,237.04046150758123,2397238.0,nan,517907.3,17.01,-1,0.49673871832119226,0.9562151430844068,0.0,0.5737290858506441,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,,,
279,238.963396,238.96308323081132,238.96308056511668,3408726.0,nan,470888.4,25.22,-1,0.011155257252155599,0.9999774208231451,0.0,0.599986452493887,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,,
280,239.020122,239.01980896454927,239.01972606267492,2324845.8,nan,493305.8,16.41,-1,0.34684114033537633,0.9784084530455512,0.0,0.5870450718273307,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,,,
281,239.056538,239.05622479361884,239.05611157205922,4196733.0,nan,480450.2,31.62,-1,0.4736191803306656,0.9601155038078005,0.0,0.5760693022846803,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,,
283,239.092924,239.09261062282923,239.0924970814435,3579276.3,nan,441868.4,26.6,-1,0.47488477102297133,0.9599063997644501,0.0,0.57594383985867,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,,,
295,241.144957,241.14463399093975,241.14453265530582,1750762.4,nan,551081.7,11.66,-1,0.4202277895862834,0.9684656377191152,0.0,0.5810793826314691,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,,,
302,243.051456,243.0511240421618,243.0510261916309,1897746.3,nan,470069.3,12.84,-1,0.40259254373616515,0.9710189059316641,0.0,0.5826113435589985,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,,,,
304,243.124236,243.12390370054501,243.12379721039952,1865521.1,nan,506503.7,12.58,-1,0.4380079067536591,0.9657878377413698,0.0,0.5794727026448219,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,,,
312,245.139843,245.13950123963295,245.1394472748775,1352078.0,nan,421791.5,8.37,-1,0.22013901082638707,0.9912453290856567,0.0,0.5947471974513939,2.0,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H22 O5,12,22,5,,,,,,,
316,246.109997,246.10965068589715,246.1095441269785,6383406.5,nan,464452.8,48.67,-1,0.43297353226710694,0.9665565481423818,0.0,0.579933928885429,3.0,1.8888888888888888,0.5555555555555556,N3 O5,de-protonated,0,,C9 H17 O5 N3,9,17,5,,3,,,,,
317,247.025203,247.02485239007783,247.02481144310323,1623481.0,nan,532326.7,10.54,-1,0.1657605742274065,0.9950268202495225,0.0,0.5970160921497135,9.0,0.6666666666666666,0.5,O6,de-protonated,0,,C12 H8 O6,12,8,6,,,,,,,
323,247.119123,247.11877194923352,247.1187118299712,1837537.5,nan,512078.1,12.26,-1,0.24328089876273085,0.989318310197279,0.0,0.5935909861183674,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,,,,
324,247.170782,247.17043070675507,247.17035348064042,1315063.9,nan,558625.9,8.07,-1,0.3124408472440578,0.982443060444809,0.0,0.5894658362668854,5.0,1.5,0.125,O2,de-protonated,0,,C16 H24 O2,16,24,2,,,,,,,
327,249.040919,249.0405589286541,249.04046150758123,1905185.8,nan,429178.0,12.79,-1,0.39118572249647965,0.9726155281140421,0.0,0.5835693168684252,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,,,
332,249.150075,249.14971441629461,249.1496180357341,3128913.0,nan,473655.8,22.59,-1,0.38683808254097274,0.9732126661940159,0.0,0.5839275997164095,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,,,,
333,250.145319,250.1449537447907,250.1448670079271,1698306.1,nan,510419.6,11.13,-1,0.3467465259048885,0.9784201032984059,0.0,0.5870520619790435,5.0,1.5,0.21428571428571427,N1 O3,de-protonated,0,,C14 H21 O3 N1,14,21,3,,1,,,,,
336,251.020153,251.01978363847059,251.01972606267492,1232255.9,nan,461352.8,7.39,-1,0.2293676141251454,0.9904994926103959,0.0,0.5942996955662375,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,,,,
337,251.056585,251.05621546746505,251.05611157205922,2722703.8,nan,510952.3,19.19,-1,0.41383340631785204,0.969403296401387,0.0,0.5816419778408322,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,,,,
338,251.059954,251.05958445165155,251.0594828754292,2989457.3,nan,497127.9,21.31,-1,0.40459026351553085,0.9707348365323519,0.0,0.5824409019194111,2.0,1.7777777777777777,0.6666666666666666,S1 O6,de-protonated,0,,C9 H16 O6 S1,9,16,6,1,,,,,,
