Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
79,159.0663,159.06630040360935,159.06628233291582,1120083.9,nan,848708.4,7.5,-1,0.11360480211887496,0.9976609538306188,0.0,0.5985965722983713,2.0,1.7142857142857142,0.5714285714285714,O4,de-protonated,0,,C7 H12 O4,7,12,4,,,,
154,202.990613,202.99044440300887,202.9903544860981,1149113.9,nan,362695.7,7.17,-1,0.4429614943049975,0.9650233961738665,0.0,0.5790140377043198,9.0,0.5,0.3,P1 O3,de-protonated,0,,C10 H5 O3 P1,10,5,3,,,,1
186,215.16558,215.1653645593227,215.1652681002121,1191879.5,nan,644578.0,7.35,-1,0.44830242101791334,0.9641902387459973,0.0,0.5785141432475983,1.0,2.0,0.25,O3,de-protonated,0,,C12 H24 O3,12,24,3,,,,
198,219.087736,219.08750546866622,219.0874117010152,1889742.6,nan,562071.7,13.07,-1,0.4279919612043499,0.9673090406359878,0.0,0.5803854243815927,2.0,1.7777777777777777,0.6666666666666666,O6,de-protonated,0,,C9 H16 O6,9,16,6,,,,
202,221.009486,221.00924807465407,221.0091613786252,1699797.4,nan,463859.2,11.42,-1,0.3922734619606962,0.9724651437402906,0.0,0.5834790862441743,8.0,0.6,0.6,O6,de-protonated,0,,C10 H6 O6,10,6,6,,,,
203,221.045852,221.04561393473438,221.0455468880095,4819428.0,nan,476697.4,36.85,-1,0.3033163337116128,0.9834451391095377,0.0,0.5900670834657226,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,
211,223.025112,223.02486631945015,223.02481144310323,3209998.3,nan,549397.5,23.73,-1,0.24605489661666177,0.9890746696875503,0.0,0.5934448018125301,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,
214,223.061552,223.06130617924575,223.0611969524875,3340573.3,nan,520947.3,24.79,-1,0.4896717122164071,0.9574253991291372,0.0,0.5744552394774822,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,
216,223.097928,223.09768203928758,223.0975824618718,2123820.3,nan,559188.9,14.87,-1,0.4463401829299941,0.9644974145519914,0.0,0.5786984487311948,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,
217,223.134323,223.1340768992563,223.1339679712561,1504059.4,nan,540165.0,9.82,-1,0.4881730970519253,0.957680009782021,0.0,0.5746080058692126,4.0,1.5384615384615385,0.23076923076923078,O3,de-protonated,0,,C13 H20 O3,13,20,3,,,,
218,224.056779,224.05652935006893,224.0564459246805,1628089.3,nan,484826.1,10.75,-1,0.3723409432863593,0.9751581239730985,0.0,0.5850948743838591,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,
220,225.040786,225.04053256406155,225.04046150758123,3326547.5,nan,505723.7,24.5,-1,0.31574979826639554,0.9820725835542409,0.0,0.5892435501325445,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,
221,225.077201,225.07694742395333,225.0768470169655,5551202.5,nan,492286.6,42.51,-1,0.4461009168959513,0.9645347846230092,0.0,0.5787208707738055,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,
223,226.072385,226.07212759494197,226.0720959891585,1814020.5,nan,425591.3,12.25,-1,0.13980400074727806,0.9964598378464893,0.0,0.5978759027078936,5.0,1.3,0.5,N1 O5,de-protonated,0,,C10 H13 O5 N1,10,13,5,,1,,
224,227.020062,227.01980094871573,227.0197260626749,1232277.0,nan,607628.6,7.54,-1,0.3298657880257484,0.9804499377766379,0.0,0.5882699626659827,6.0,0.8888888888888888,0.7777777777777778,O7,de-protonated,0,,C9 H8 O7,9,8,7,,,,
226,227.056461,227.0561998086691,227.05611157205922,8044452.5,nan,484992.4,62.69,-1,0.3886114726119091,0.9729698569469115,0.0,0.5837819141681468,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,
229,227.129246,227.1289845286258,227.12888259082783,3312067.3,nan,480294.1,24.38,-1,0.4488103706404251,0.9641105189285836,0.0,0.5784663113571501,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,
231,229.035704,229.03543519345027,229.03537612715292,1813233.0,nan,495623.6,12.15,-1,0.25789159016573293,0.9880047215548755,0.0,0.5928028329329252,5.0,1.1111111111111112,0.7777777777777778,O7,de-protonated,0,,C9 H10 O7,9,10,7,,,,
235,229.10852,229.10825091328772,229.10814714592152,13101840.0,nan,478568.6,102.87,-1,0.4529187088760998,0.9602986276978374,0.9755593405928336,0.9664029128558359,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,
237,229.144882,229.14461277338341,229.14453265530582,17861408.0,nan,479680.3,141.13,-1,0.34963992665456656,0.4890312264507529,0.8843699161556753,0.6471667023327219,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,
238,229.181206,229.18093663362535,229.1809181646901,1233455.5,nan,569611.7,7.49,-1,0.08058670590972325,0.9988223268279696,0.0,0.5992933960967817,1.0,2.0,0.23076923076923078,O3,de-protonated,0,,C13 H26 O3,13,26,3,,,,
