Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
189,203.092849,203.0925977918936,203.0924970814435,1375239.9,nan,613129.8,9.16,-1,0.49588464153031775,0.9563622470094656,0.0,0.5738173482056793,2.0,1.7777777777777777,0.5555555555555556,O5,de-protonated,0,,C9 H16 O5,9,16,5,,,,
190,203.104067,203.10381575964033,203.10373047073583,1421707.6,nan,516962.1,9.56,-1,0.41992780882449904,0.9685099272524169,0.0,0.5811059563514501,2.0,2.0,0.5,N2 O4,de-protonated,0,,C8 H16 O4 N2,8,16,4,,2,,
191,203.129096,203.12884468767857,203.12888259082783,1193363.9,nan,564139.0,7.63,-1,-0.18659655278626586,0.9937021849067195,0.0,0.5962213109440316,1.0,2.0,0.4,O4,de-protonated,0,,C10 H20 O4,10,20,4,,,,
198,207.030247,207.02998447133905,207.02989682353152,1397941.8,nan,577567.8,9.29,-1,0.42335821481563723,0.9680016925042692,0.0,0.5808010155025615,7.0,0.8,0.5,O5,de-protonated,0,,C10 H8 O5,10,8,5,,,,
203,209.009509,209.0092407806917,209.0091613786252,1502055.0,nan,648462.4,10.16,-1,0.3798975411703655,0.9741528445779462,0.0,0.5844917067467676,7.0,0.6666666666666666,0.6666666666666666,O6,de-protonated,0,,C9 H6 O6,9,6,6,,,,
205,209.082268,209.0819995714997,209.0819323973938,2188416.8,nan,533571.9,15.93,-1,0.3212812561529963,0.9814448739131564,0.0,0.5888669243478938,5.0,1.2727272727272727,0.36363636363636365,O4,de-protonated,0,,C11 H14 O4,11,14,4,,,,
206,210.041117,210.04084581467845,210.0407958602025,1835988.0,nan,587813.2,12.97,-1,0.2378322541395378,0.9897889935938949,0.0,0.5938733961563369,6.0,1.0,0.5555555555555556,N1 O5,de-protonated,0,,C9 H9 O5 N1,9,9,5,,1,,
207,210.077435,210.07716371025927,210.0771813695868,1281121.0,nan,529891.3,8.3,-1,-0.08406114088499647,0.9987186552344399,0.0,0.599231193140664,5.0,1.3,0.4,N1 O4,de-protonated,0,,C10 H13 O4 N1,10,13,4,,1,,
210,211.025161,211.02488698541816,211.0248114431032,1709619.9,nan,573470.3,11.84,-1,0.35797835545155,0.9770158758146075,0.0,0.5862095254887645,6.0,0.8888888888888888,0.6666666666666666,O6,de-protonated,0,,C9 H8 O6,9,8,6,,,,
211,211.061535,211.06126088083795,211.0611969524875,3604545.0,nan,565552.7,27.67,-1,0.3028901160693068,0.9834912460306029,0.0,0.5900947476183617,5.0,1.2,0.5,O5,de-protonated,0,,C10 H12 O5,10,12,5,,,,
212,211.09789,211.0976157763124,211.0975824618718,2475598.0,nan,511434.2,18.24,-1,0.15781535824063325,0.9954910915455261,0.0,0.5972946549273156,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,
215,212.020417,212.02014012392186,212.0200604152962,2230427.3,nan,569865.4,16.19,-1,0.3759485093363499,0.9746805876321376,0.0,0.5848083525792825,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,
216,212.056749,212.0564720194624,212.0564459246805,1302952.5,nan,622015.7,8.43,-1,0.12305582972369791,0.9972561415025188,0.0,0.5983536849015113,5.0,1.2222222222222223,0.5555555555555556,N1 O5,de-protonated,0,,C9 H11 O5 N1,9,11,5,,1,,
221,213.040827,213.04054719010438,213.04046150758123,1501711.4,nan,519249.7,10.09,-1,0.4021889670305419,0.9710761325907487,0.0,0.5826456795544491,5.0,1.1111111111111112,0.6666666666666666,O6,de-protonated,0,,C9 H10 O6,9,10,6,,,,
222,213.077188,213.07690808556157,213.0768470169655,3900700.8,nan,492082.3,30.14,-1,0.2866036217588829,0.9852060302218589,0.0,0.5911236181331153,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,
223,213.113544,213.1132639810331,213.11323252634983,1224618.0,nan,551567.7,7.78,-1,0.1475961060420789,0.9960550130265868,0.0,0.5976330078159521,3.0,1.6363636363636365,0.36363636363636365,O4,de-protonated,0,,C11 H18 O4,11,18,4,,,,
224,214.072422,214.07213922412848,214.0720959891585,1193483.3,nan,530246.8,7.51,-1,0.20196452872333384,0.9926260894796856,0.0,0.5955756536878113,4.0,1.4444444444444444,0.5555555555555556,N1 O5,de-protonated,0,,C9 H13 O5 N1,9,13,5,,1,,
225,215.056459,215.05617339488833,215.05611157205922,2526457.0,nan,540685.3,18.54,-1,0.28747301649948465,0.9851168131208743,0.0,0.5910700878725246,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,
226,215.092807,215.09252129038288,215.0924970814435,3928070.5,nan,485412.3,30.19,-1,0.11255129633931887,0.9977040850182667,0.0,0.59862245101096,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,
227,215.129219,215.12893318569346,215.12888259082783,1394068.0,nan,529924.0,9.13,-1,0.23518397445076503,0.9900139952408482,0.0,0.5940083971445089,2.0,1.8181818181818181,0.36363636363636365,O4,de-protonated,0,,C11 H20 O4,11,20,4,,,,
230,217.050971,217.05067966039516,217.05063226843782,1162472.0,nan,581092.1,7.2,-1,0.2183451706302233,0.9913868118889557,0.0,0.5948320871333734,8.0,0.8333333333333334,0.3333333333333333,O4,de-protonated,0,,C12 H10 O4,12,10,4,,,,
231,217.072126,217.07183459957167,217.07176163653722,2508272.0,nan,522629.0,18.38,-1,0.336124026013623,0.9797087389850435,0.0,0.587825243391026,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,
232,217.108531,217.10823949490234,217.10814714592152,2196477.8,nan,536462.0,15.79,-1,0.4253593521406659,0.967703426942657,0.0,0.5806220561655941,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,
235,219.030213,219.02991596980533,219.02989682353152,1155421.9,nan,456474.1,7.14,-1,0.08741397449413632,0.998614474493243,0.0,0.5991686846959458,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,
237,219.066635,219.06633786508712,219.06628233291582,1440492.0,nan,628870.3,9.51,-1,0.25349483595052985,0.9884078865590654,0.0,0.5930447319354393,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,
238,219.102981,219.10268376058744,219.1026678423001,1169658.0,nan,636919.5,7.21,-1,0.07265218403226723,0.999042710663349,0.0,0.5994256263980094,6.0,1.2307692307692308,0.23076923076923078,O3,de-protonated,0,,C13 H16 O3,13,16,3,,,,
240,221.045881,221.0455781744858,221.0455468880095,2881262.3,nan,506964.1,21.34,-1,0.1415385956722841,0.9963716054730591,0.0,0.5978229632838354,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,
241,221.082285,221.08198206981933,221.0819323973938,9113853.0,nan,479371.4,72.82,-1,0.22467881015839622,0.9826433635863623,0.9915628293468891,0.986211149890573,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,
243,222.077461,222.07715520855302,222.0771813695868,1569924.4,nan,561851.6,10.51,-1,-0.11780153920333403,0.9974851673148594,0.0,0.5984911003889156,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,
244,222.085677,222.08537118493092,222.0852872324661,1290887.6,nan,533978.4,8.2,-1,0.378019029833714,0.974404538224475,0.9915628293468891,0.9812678546734407,6.0,1.2727272727272727,0.36363636363636365,13C1 O4,de-protonated,1,241,C11 H14 O4 13C1,11,14,4,,,1,
246,223.025192,223.02488348369755,223.02481144310323,1827068.3,nan,516444.3,12.63,-1,0.32301605302243164,0.9812458475313635,0.0,0.5887475085188181,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,
247,223.06153,223.06122137922088,223.0611969524875,2169866.8,nan,489809.3,15.46,-1,0.10950686945677843,0.9978264774354623,0.0,0.5986958864612774,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,
249,223.09793,223.0976212745659,223.0975824618718,2167833.3,nan,586099.9,15.44,-1,0.17397182735978864,0.994523290522465,0.0,0.596713974313479,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,
250,224.056775,224.05646351775616,224.0564459246805,1974168.3,nan,536122.6,13.75,-1,0.07852072981640827,0.9988819027523701,0.0,0.599329141651422,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,
252,225.040787,225.0404726885879,225.04046150758123,1939748.0,nan,574345.3,13.47,-1,0.04968442827994039,0.999552186520366,0.0,0.5997313119122196,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,
253,225.077187,225.07687258393295,225.0768470169655,3384626.8,nan,505197.2,25.33,-1,0.11359216992082954,0.9976614733698909,0.0,0.5985968840219345,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,
254,225.113618,225.1133034791889,225.11323252634983,1776705.4,nan,532669.0,12.13,-1,0.3151873315341497,0.9821358239129376,0.0,0.5892814943477626,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,
255,226.036031,226.0357138271261,226.03571047977422,1313334.9,nan,445383.7,8.32,-1,0.014808951520278448,0.9999602081793751,0.0,0.5999761249076251,6.0,1.0,0.6666666666666666,N1 O6,de-protonated,0,,C9 H9 O6 N1,9,9,6,,1,,
256,226.072395,226.07207772257465,226.0720959891585,1381061.6,nan,461631.5,8.88,-1,-0.08079981640777797,0.9988160936027091,0.0,0.5992896561616254,5.0,1.3,0.5,N1 O5,de-protonated,0,,C10 H13 O5 N1,10,13,5,,1,,
258,227.056481,227.0561608931936,227.05611157205922,4084822.8,nan,484907.3,31.07,-1,0.21722002566781703,0.9914749731767765,0.0,0.5948849839060658,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,
259,227.092882,227.0925617885358,227.0924970814435,4895333.5,nan,476430.5,37.72,-1,0.2849371649171278,0.9853763086829793,0.0,0.5912257852097875,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,
260,227.129285,227.12896468387223,227.12888259082783,1549172.5,nan,426251.5,10.26,-1,0.3614381555593262,0.9765747232678826,0.0,0.5859448339607296,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,
261,228.051662,228.05133903191293,228.05136054425222,1244910.9,nan,639520.3,7.75,-1,-0.09433111574677927,0.9983867071351755,0.0,0.5990320242811052,5.0,1.2222222222222223,0.6666666666666666,N1 O6,de-protonated,0,,C9 H11 O6 N1,9,11,6,,1,,
263,228.160899,228.1605757178417,228.1605170724051,1672731.9,nan,609091.0,11.27,-1,0.25703586826742253,0.9880837182471361,0.0,0.5928502309482817,2.0,1.9166666666666667,0.25,N1 O3,de-protonated,0,,C12 H23 O3 N1,12,23,3,,1,,
