"Sample_ID","NPOC_mg_C_per_L","TN_mg_N_per_L","Flags","Outlier"
"RC2_0116_OCN-3",1.603,0.3693,NA,NA
"RC2_0113_OCN-3",0.869,0.08801,NA,NA
"RC2_0113_OCN-1",0.7457,0.08856,NA,NA
"RC2_0117_OCN-2",1.817,1.246,NA,NA
"RC2_0118_OCN-1",2.087,1.191,NA,NA
"RC2_0115_OCN-3",1.148,0.0873,NA,NA
"RC2_0117_OCN-1",1.897,1.274,NA,NA
"RC2_0118_OCN-2",1.927,1.175,NA,NA
"RC2_0117_OCN-3",1.876,1.313,NA,NA
"RC2_0116_OCN-2",1.646,0.3678,NA,NA
"RC2_0116_OCN-1",1.67,0.373,NA,NA
"RC2_0114_OCN-1",1.029,0.08084,NA,NA
"RC2_0115_OCN-2",1.164,0.1017,NA,NA
"RC2_0113_OCN-2",0.7849,0.07837,NA,NA
"RC2_0114_OCN-3",0.9678,0.09242,NA,NA
"RC2_0114_OCN-2",1.013,0.09282,NA,NA
"RC2_0123_OCN-1",1.902,1.48,NA,NA
"RC2_0119_OCN-1",0.6638,0.0699,"NPOC_CV_Flag",NA
"RC2_0123_OCN-2",1.878,1.458,NA,NA
"RC2_0124_OCN-3",1.824,1.241,NA,NA
"RC2_0121_OCN-2",1.146,0.1031,NA,NA
"RC2_0122_OCN-3",1.821,0.3949,NA,NA
"RC2_0122_OCN-2",1.821,0.3946,NA,NA
"RC2_0121_OCN-3",1.12,0.0961,NA,NA
"RC2_0119_OCN-3",0.6244,0.07662,"NPOC_CV_Flag",NA
"RC2_0120_OCN-2",1.081,0.0829,NA,NA
"RC2_0121_OCN-1",1.179,0.1006,NA,NA
"RC2_0123_OCN-3",1.883,1.464,NA,NA
"RC2_0122_OCN-1",1.622,0.3739,NA,NA
"RC2_0120_OCN-1",1.055,0.0807,NA,NA
"RC2_0120_OCN-3",0.9712,0.08009,NA,NA
"RC2_0124_OCN-2",1.794,1.217,NA,NA
"RC2_0119_OCN-2",1.155,0.2613,"NPOC_CV_Flag","TRUE"
"RC2_0124_OCN-1",1.762,1.223,NA,NA
